"model","n","rmse_min","rmse_1se","rmse_diff_1se_minus_min","mae_min","mae_1se","r2_min","r2_1se"
"pooled_lasso",555,15.2967624581015,15.8054158550639,0.508653396962439,10.1581957463234,9.80500824195748,0.605881773925377,0.579235270402194
"pooled_lasso_state_interactions",555,14.6922042228507,15.1265539068463,0.434349683995611,10.1412971620357,9.91126798513561,0.636418826533998,0.614603760280068
"separate_lasso_CA",347,15.8351784432386,15.6257218402124,-0.209456603026226,12.188017405043,11.8771617374655,0.571162015422629,0.582431719825526
"separate_lasso_FL",208,10.4406935389008,10.4093278023429,-0.0313657365578877,7.88574148368405,7.34697458140855,0.369254947450166,0.373038999925975
"separate_state_lasso",555,14.0581116370246,13.9019914583725,-0.15612017865207,10.5756329155967,10.1793618663667,0.667124792884515,0.674477127803313
