"model","lambda_rule","rmse_raw","mae_raw","r2_raw","rmse_log","mae_log","r2_log","rmse_diff_log_minus_raw"
"pooled_lasso","1se",15.8054158550639,9.80500824195748,0.579235270402194,21.4659694764017,10.6724609660316,0.223880689694705,5.66055362133773
"pooled_lasso","min",15.2967624581015,10.1581957463234,0.605881773925377,24.9856270868917,11.1883037604078,-0.051496863835141,9.68886462879023
"pooled_lasso_state_interactions","1se",15.1265539068463,9.91126798513561,0.614603760280068,22.8100064652174,10.7512575558929,0.123648587767427,7.68345255837116
"pooled_lasso_state_interactions","min",14.6922042228507,10.1412971620357,0.636418826533998,21.745764756514,11.2482962289084,0.203516386493914,7.05356053366332
"separate_lasso_CA","1se",15.6257218402124,11.8771617374655,0.582431719825526,23.999026445743,14.4129833468599,0.0150037627461949,8.37330460553061
"separate_lasso_CA","min",15.8351784432386,12.188017405043,0.571162015422629,25.1003405276944,14.6494198824787,-0.0774733811043171,9.26516208445575
"separate_lasso_FL","1se",10.4093278023429,7.34697458140855,0.373038999925975,7.90723704555765,4.45028064572533,0.638219901310221,-2.50209075678526
"separate_lasso_FL","min",10.4406935389008,7.88574148368405,0.369254947450166,8.28450793371755,4.56799899633996,0.602873752168543,-2.15618560518325
"separate_state_lasso","1se",13.9019914583725,10.1793618663667,0.674477127803313,19.5840006187102,10.6792136858942,0.354003295492154,5.68200916033764
"separate_state_lasso","min",14.0581116370246,10.5756329155967,0.667124792884515,20.4848914108196,10.8711576404664,0.293202822781345,6.42677977379499
"state_time_baseline","none",21.9314762498759,14.983185050086,0.189854160857864,21.8548070825593,15.2048202782749,0.195508557938635,-0.0766691673166484
