"fold","validation_year","n_train_years","train_year_min","train_year_max","n_train_rows","n_val_rows"
1,2017,5,2012,2016,337,69
2,2018,6,2012,2017,406,70
3,2019,7,2012,2018,476,70
4,2020,8,2012,2019,546,71
5,2022,9,2012,2020,617,71
6,2023,10,2012,2022,688,70
7,2024,11,2012,2023,758,70
8,2025,12,2012,2024,828,70
