"model","lambda_rule","fold","validation_year","term","coefficient","lambda"
"pooled_lasso","1se",1,2017,"coc_homeownership_rate_pct",0,4.02399318418939
"pooled_lasso","1se",1,2017,"coc_housing_cost_burdened_households_pct",0,4.02399318418939
"pooled_lasso","1se",1,2017,"coc_income_inequality_ratio",0,4.02399318418939
"pooled_lasso","1se",1,2017,"coc_annual_hpi_change_pct",0,4.02399318418939
"pooled_lasso","1se",1,2017,"coc_real_gdp_per_capita_2017_usd",0,4.02399318418939
"pooled_lasso","1se",1,2017,"state_real_minimum_wage_2025_usd",0,4.02399318418939
"pooled_lasso","1se",1,2017,"state_medicaid_expansion",0,4.02399318418939
"pooled_lasso","1se",1,2017,"coc_hic_temporary_beds_per_10k",3.7033469758028,4.02399318418939
"pooled_lasso","1se",1,2017,"coc_hic_psh_beds_per_10k",6.54825518577516,4.02399318418939
"pooled_lasso","1se",1,2017,"state_homeless_funding_per_capita",0,4.02399318418939
"pooled_lasso","1se",1,2017,"state_anticamping_strictness",0,4.02399318418939
"pooled_lasso","1se",1,2017,"state_tanf_max_benefit_3person",0,4.02399318418939
"pooled_lasso","1se",1,2017,"state_ssi_state_supplement",0,4.02399318418939
"pooled_lasso","1se",1,2017,"state_labor_force_participation",0,4.02399318418939
"pooled_lasso","1se",1,2017,"state_substance_use_disorder_rate",0,4.02399318418939
"pooled_lasso","1se",1,2017,"state_serious_mental_illness_rate",0,4.02399318418939
"pooled_lasso","1se",1,2017,"state_uninsured_rate",0,4.02399318418939
"pooled_lasso","1se",1,2017,"state_average_student_debt_per_borrower",0,4.02399318418939
"pooled_lasso","1se",1,2017,"state_avg_in_state_tuition",0,4.02399318418939
"pooled_lasso","1se",1,2017,"state_pct_age_18_24",0,4.02399318418939
"pooled_lasso","1se",1,2017,"state_pct_age_65plus",0,4.02399318418939
"pooled_lasso","1se",1,2017,"state_avg_household_size",0,4.02399318418939
"pooled_lasso","1se",1,2017,"state_real_median_rent_2025_usd",0,4.02399318418939
"pooled_lasso","1se",1,2017,"state_real_median_home_price_2025_usd",0,4.02399318418939
"pooled_lasso","1se",1,2017,"state_home_price_to_income_ratio",0,4.02399318418939
"pooled_lasso","1se",1,2017,"state_rental_vacancy_rate",0,4.02399318418939
"pooled_lasso","1se",1,2017,"state_real_home_price_growth_pct",0,4.02399318418939
"pooled_lasso_state_interactions","min",1,2017,"(Intercept)",26.1159706105816,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"control_state_florida",17.1828171661979,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"control_time_index",0.537744605681895,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_log_estimated_population",-7.94750623275466,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_population_density_per_sq_mile",-6.57847654453125,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_contributing_counties",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_contains_split_county_flag",0.590123915387008,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_housing_units_per_1000_residents",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_permits_per_1000_housing_units",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_multifamily_permit_share_pct",0.620339881399569,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_birth_rate_per_1000",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_death_rate_per_1000",-0.409930694905674,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_international_migration_rate_per_1000",-3.41933306090916,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_domestic_migration_rate_per_1000",-3.83824343508207,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_group_quarters_per_1000_residents",2.63952910236249,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_population_growth_rate_pct",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_housing_supply_growth_rate_pct",0.262915407687888,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_poverty_all_pct",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_poverty_child_pct",-1.12335139425221,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_real_median_household_income_2025_usd",0,0.276627216886791
