"model","lambda_rule","term","n_folds","n_selected","selection_freq","mean_coef","sd_coef","mean_coef_when_selected","sign_consistency"
"pooled_lasso","min","coc_birth_rate_per_1000",8,2,0.25,-0.0852333266777642,0.164978482382148,-0.340933306711057,1
"pooled_lasso","min","coc_death_rate_per_1000",8,2,0.25,0.0522375420981017,0.133927754650116,0.208950168392407,1
"pooled_lasso","min","coc_contains_split_county_flag",8,2,0.25,0.0332044986750998,0.092353429165761,0.132817994700399,1
"pooled_lasso","min","coc_contributing_counties",8,2,0.25,-0.00163648856792026,0.00304968441538284,-0.00654595427168106,1
"pooled_lasso","min","coc_real_gdp_per_capita_2017_usd",8,1,0.125,-0.0487363568544326,0.137847233688387,-0.389890854835461,1
"pooled_lasso","min","coc_housing_units_per_1000_residents",8,1,0.125,0.00609017026952281,0.0172256027846411,0.0487213621561825,1
"pooled_lasso","min","coc_high_school_graduate_pct",8,1,0.125,-0.0025645712136439,0.00725370278401365,-0.0205165697091512,1
"pooled_lasso","min","coc_domestic_migration_rate_per_1000",8,0,0,0,0,NA,NA
"pooled_lasso","min","coc_homeownership_rate_pct",8,0,0,0,0,NA,NA
"pooled_lasso","min","coc_housing_supply_growth_rate_pct",8,0,0,0,0,NA,NA
"pooled_lasso","min","coc_multifamily_permit_share_pct",8,0,0,0,0,NA,NA
"pooled_lasso","min","coc_permits_per_1000_housing_units",8,0,0,0,0,NA,NA
"pooled_lasso","min","coc_poverty_all_pct",8,0,0,0,0,NA,NA
"pooled_lasso","min","coc_poverty_child_pct",8,0,0,0,0,NA,NA
"pooled_lasso","min","coc_real_median_household_income_2025_usd",8,0,0,0,0,NA,NA
"pooled_lasso","min","coc_real_per_capita_personal_income_2025_usd",8,0,0,0,0,NA,NA
"pooled_lasso","min","state_average_student_debt_per_borrower",8,0,0,0,0,NA,NA
"pooled_lasso","min","state_avg_household_size",8,0,0,0,0,NA,NA
"pooled_lasso","min","state_avg_in_state_tuition",8,0,0,0,0,NA,NA
"pooled_lasso","min","state_home_price_to_income_ratio",8,0,0,0,0,NA,NA
"pooled_lasso","min","state_labor_force_participation",8,0,0,0,0,NA,NA
"pooled_lasso","min","state_medicaid_expansion",8,0,0,0,0,NA,NA
"pooled_lasso","min","state_pct_age_18_24",8,0,0,0,0,NA,NA
"pooled_lasso","min","state_pct_age_65plus",8,0,0,0,0,NA,NA
"pooled_lasso","min","state_real_home_price_growth_pct",8,0,0,0,0,NA,NA
"pooled_lasso","min","state_real_median_home_price_2025_usd",8,0,0,0,0,NA,NA
"pooled_lasso","min","state_real_median_rent_2025_usd",8,0,0,0,0,NA,NA
"pooled_lasso","min","state_real_minimum_wage_2025_usd",8,0,0,0,0,NA,NA
