"model","evaluation","n","rmse","mae","r2","mse","rmse_index","mae_index","mse_index","r2_pct"
"Multiple regression","rolling-origin, raw target",555,16.0632364626714,11.4594372036372,0.565396140055975,258.027565655696,70.1485990673977,70.0697006165175,49.2082595111851,56.5396140055975
"Relaxed LASSO (state + time controls)","in-sample, back-transformed log target†",887,17.0010242091084,10.4174624471307,0.56660673226341,289.034824158688,66.2791559193855,77.0782076890333,43.9292650938621,56.660673226341
"Rolling-origin LASSO (provided code)","rolling-origin, raw target",555,16.4969027771032,10.0698121528687,0.541612987773606,272.147801237195,68.3045508341539,79.739256492872,46.6551166465552,54.1612987773606
"Neural net (32-16 + dropout)","rolling-origin, raw target",555,12.6388277921446,8.42852885466117,0.730945000058001,159.739967959487,89.154908419995,95.2668428783495,79.485976953777,73.0945000058001
"Random forest","rolling-origin, raw target",555,11.2681353434474,8.02959334092641,0.786139004753116,126.970874118248,100,100,100,78.6139004753116
