"sample_id","model","lambda_rule","fold","validation_year","term","coefficient","lambda"
"S0_primary","pooled_lasso","min",1,2017,"coc_housing_cost_burdened_households_pct",3.96960087841114,0.651484478321249
"S0_primary","pooled_lasso","min",1,2017,"coc_population_density_per_sq_mile",-3.58802576366424,0.651484478321249
"S0_primary","pooled_lasso","min",1,2017,"coc_international_migration_rate_per_1000",-3.25612714815587,0.651484478321249
"S0_primary","pooled_lasso","min",1,2017,"control_time_index",-3.14218484328993,0.651484478321249
"S0_primary","pooled_lasso","min",1,2017,"coc_income_inequality_ratio",-2.89740085542533,0.651484478321249
"S0_primary","pooled_lasso","min",1,2017,"coc_unemployment_rate_pct",-2.49477870037192,0.651484478321249
"S0_primary","pooled_lasso","min",1,2017,"coc_real_gdp_quantity_index",2.08374403853805,0.651484478321249
"S0_primary","pooled_lasso","min",1,2017,"control_state_florida",1.42774226435343,0.651484478321249
"S0_primary","pooled_lasso","min",1,2017,"coc_permits_value_per_1000_housing_units_2025_usd",0.74336632193291,0.651484478321249
"S0_primary","pooled_lasso","min",1,2017,"coc_population_growth_rate_pct",-0.646477159548811,0.651484478321249
"S0_primary","pooled_lasso","min",1,2017,"coc_housing_supply_growth_rate_pct",0.346881097176804,0.651484478321249
"S0_primary","pooled_lasso","min",1,2017,"coc_contributing_counties",-0.339430270708087,0.651484478321249
"S0_primary","pooled_lasso","min",1,2017,"coc_annual_hpi_change_pct",-0.253593489455802,0.651484478321249
"S0_primary","pooled_lasso","min",1,2017,"coc_relative_home_price_index_2000_base",0.206518006570604,0.651484478321249
"S0_primary","pooled_lasso","min",2,2018,"(Intercept)",40.8601349484444,0.641519665786302
"S0_primary","pooled_lasso","min",2,2018,"coc_hic_psh_beds_per_10k",15.6031787376438,0.641519665786302
"S0_primary","pooled_lasso","min",2,2018,"coc_log_estimated_population",-8.40815846890826,0.641519665786302
"S0_primary","pooled_lasso","min",2,2018,"coc_population_density_per_sq_mile",-4.6007741706399,0.641519665786302
"S0_primary","pooled_lasso","min",2,2018,"coc_hic_temporary_beds_per_10k",4.01359373365641,0.641519665786302
"S0_primary","pooled_lasso","min",2,2018,"coc_housing_cost_burdened_households_pct",3.70604193748222,0.641519665786302
"S0_primary","pooled_lasso","min",2,2018,"coc_international_migration_rate_per_1000",-2.58309819808736,0.641519665786302
"S0_primary","pooled_lasso","min",2,2018,"coc_income_inequality_ratio",-2.2375319745458,0.641519665786302
"S0_primary","pooled_lasso","min",2,2018,"coc_real_gdp_quantity_index",2.21874453141048,0.641519665786302
"S0_primary","pooled_lasso","min",2,2018,"control_time_index",-2.20784187559465,0.641519665786302
"S0_primary","pooled_lasso","min",2,2018,"coc_unemployment_rate_pct",-1.18761525456397,0.641519665786302
"S0_primary","pooled_lasso","min",2,2018,"coc_permits_value_per_1000_housing_units_2025_usd",0.689747348907995,0.641519665786302
"S0_primary","pooled_lasso","min",2,2018,"coc_contributing_counties",-0.570444154557156,0.641519665786302
"S0_primary","pooled_lasso","min",2,2018,"coc_annual_hpi_change_pct",-0.517557370366192,0.641519665786302
"S0_primary","pooled_lasso","min",2,2018,"coc_population_growth_rate_pct",-0.489264219675536,0.641519665786302
"S0_primary","pooled_lasso","min",2,2018,"control_state_florida",0.379469110833648,0.641519665786302
"S0_primary","pooled_lasso","min",3,2019,"(Intercept)",37.2020421213603,0.651303525503346
"S0_primary","pooled_lasso","min",3,2019,"coc_hic_psh_beds_per_10k",14.8274227502998,0.651303525503346
"S0_primary","pooled_lasso","min",3,2019,"coc_log_estimated_population",-8.29156685640249,0.651303525503346
"S0_primary","pooled_lasso","min",3,2019,"coc_population_density_per_sq_mile",-4.96567643480808,0.651303525503346
"S0_primary","pooled_lasso","min",3,2019,"coc_hic_temporary_beds_per_10k",4.74905571376035,0.651303525503346
"S0_primary","pooled_lasso","min",3,2019,"coc_housing_cost_burdened_households_pct",3.57474573019278,0.651303525503346
"S0_primary","pooled_lasso","min",3,2019,"coc_international_migration_rate_per_1000",-2.39767007466348,0.651303525503346
"S0_primary","pooled_lasso","min",3,2019,"coc_real_gdp_quantity_index",1.49863487112424,0.651303525503346
"S0_primary","pooled_lasso","min",3,2019,"coc_income_inequality_ratio",-1.40766357244409,0.651303525503346
"S0_primary","pooled_lasso","min",3,2019,"control_time_index",-1.1118912935601,0.651303525503346
"S0_primary","pooled_lasso","min",3,2019,"coc_annual_hpi_change_pct",-0.895398771206759,0.651303525503346
"S0_primary","pooled_lasso","min",3,2019,"coc_contributing_counties",-0.819376331197617,0.651303525503346
"S0_primary","pooled_lasso","min",3,2019,"coc_population_growth_rate_pct",-0.5032965294003,0.651303525503346
"S0_primary","pooled_lasso","min",3,2019,"control_state_florida",0.363976119367461,0.651303525503346
"S0_primary","pooled_lasso","min",3,2019,"coc_poverty_all_pct",-0.243967470052437,0.651303525503346
"S0_primary","pooled_lasso","min",3,2019,"coc_birth_rate_per_1000",-0.137954498626807,0.651303525503346
"S0_primary","pooled_lasso","min",4,2020,"(Intercept)",36.5956899256723,0.670091742505107
"S0_primary","pooled_lasso","min",4,2020,"coc_hic_psh_beds_per_10k",14.155319491062,0.670091742505107
"S0_primary","pooled_lasso","min",4,2020,"coc_log_estimated_population",-8.11373126622593,0.670091742505107
"S0_primary","pooled_lasso","min",4,2020,"coc_population_density_per_sq_mile",-4.83567520396655,0.670091742505107
"S0_primary","pooled_lasso","min",4,2020,"coc_hic_temporary_beds_per_10k",4.07701047478024,0.670091742505107
"S0_primary","pooled_lasso","min",4,2020,"coc_housing_cost_burdened_households_pct",3.86035146959333,0.670091742505107
"S0_primary","pooled_lasso","min",4,2020,"control_state_florida",-3.55073037273148,0.670091742505107
"S0_primary","pooled_lasso","min",4,2020,"coc_international_migration_rate_per_1000",-2.08182996179108,0.670091742505107
"S0_primary","pooled_lasso","min",4,2020,"coc_annual_hpi_change_pct",-1.24744153990703,0.670091742505107
"S0_primary","pooled_lasso","min",4,2020,"coc_housing_units_per_1000_residents",1.15939757817848,0.670091742505107
"S0_primary","pooled_lasso","min",4,2020,"coc_income_inequality_ratio",-1.07261597857877,0.670091742505107
"S0_primary","pooled_lasso","min",4,2020,"coc_real_gdp_quantity_index",0.653368256967066,0.670091742505107
"S0_primary","pooled_lasso","min",4,2020,"control_time_index",-0.54808489009334,0.670091742505107
"S0_primary","pooled_lasso","min",4,2020,"coc_contributing_counties",-0.361648782490761,0.670091742505107
"S0_primary","pooled_lasso","min",4,2020,"coc_population_growth_rate_pct",-0.352081983456719,0.670091742505107
"S0_primary","pooled_lasso","min",4,2020,"coc_birth_rate_per_1000",-0.0874873500552566,0.670091742505107
"S0_primary","pooled_lasso","min",4,2020,"state_rental_vacancy_rate",0.0549248673390896,0.670091742505107
"S0_primary","pooled_lasso","min",4,2020,"state_real_minimum_wage_2025_usd",0.0315174827743255,0.670091742505107
"S0_primary","pooled_lasso","min",5,2022,"(Intercept)",37.4343632116657,0.677350788674731
"S0_primary","pooled_lasso","min",5,2022,"coc_hic_psh_beds_per_10k",12.5176708879872,0.677350788674731
"S0_primary","pooled_lasso","min",5,2022,"coc_log_estimated_population",-7.43706619622415,0.677350788674731
"S0_primary","pooled_lasso","min",5,2022,"coc_hic_temporary_beds_per_10k",4.83355636221158,0.677350788674731
"S0_primary","pooled_lasso","min",5,2022,"control_state_florida",-4.72243654372493,0.677350788674731
"S0_primary","pooled_lasso","min",5,2022,"coc_population_density_per_sq_mile",-4.49019655762442,0.677350788674731
"S0_primary","pooled_lasso","min",5,2022,"coc_housing_cost_burdened_households_pct",3.18044228065753,0.677350788674731
"S0_primary","pooled_lasso","min",5,2022,"coc_international_migration_rate_per_1000",-1.85017291370746,0.677350788674731
"S0_primary","pooled_lasso","min",5,2022,"coc_housing_units_per_1000_residents",1.37022401127995,0.677350788674731
"S0_primary","pooled_lasso","min",5,2022,"coc_annual_hpi_change_pct",-1.29776337170534,0.677350788674731
"S0_primary","pooled_lasso","min",5,2022,"state_real_minimum_wage_2025_usd",1.13866296529346,0.677350788674731
"S0_primary","pooled_lasso","min",5,2022,"control_time_index",-0.582420593981859,0.677350788674731
"S0_primary","pooled_lasso","min",5,2022,"coc_population_growth_rate_pct",-0.470923934256789,0.677350788674731
"S0_primary","pooled_lasso","min",5,2022,"coc_income_inequality_ratio",-0.320497499387421,0.677350788674731
"S0_primary","pooled_lasso","min",5,2022,"coc_contributing_counties",-0.283587421009477,0.677350788674731
"S0_primary","pooled_lasso","min",5,2022,"state_anticamping_strictness",-0.154145830507106,0.677350788674731
