"sample_id","model","fold","validation_year","lambda_min","lambda_1se","n_inner_splits","n_grid"
"S4_persistence","pooled_lasso_state_interactions_plus_prior",1,2017,1.63829370894979,1.63829370894979,3,100
"S4_persistence","pooled_lasso",2,2018,0.641519665786302,3.42359750720548,4,95
"S4_persistence","pooled_lasso_state_interactions",2,2018,0.546257330090195,1.14981931807692,4,100
"S4_persistence","pooled_lasso_plus_prior",2,2018,1.49940310383508,1.49940310383508,4,98
"S4_persistence","pooled_lasso_state_interactions_plus_prior",2,2018,1.55634246220856,1.55634246220856,4,58
"S4_persistence","pooled_lasso",3,2019,0.651303525503346,2.62932357304179,5,97
"S4_persistence","pooled_lasso_state_interactions",3,2019,0.505320238102894,1.06365066348858,5,100
"S4_persistence","pooled_lasso_plus_prior",3,2019,1.56441221322619,1.56441221322619,5,98
"S4_persistence","pooled_lasso_state_interactions_plus_prior",3,2019,1.6238202719563,1.6238202719563,5,71
"S4_persistence","pooled_lasso",4,2020,0.670091742505107,2.70517192933615,6,93
"S4_persistence","pooled_lasso_state_interactions",4,2020,0.519897260822864,1.09433389902649,6,87
"S4_persistence","pooled_lasso_plus_prior",4,2020,1.2414255754033,1.2414255754033,6,77
"S4_persistence","pooled_lasso_state_interactions_plus_prior",4,2020,1.28856831877304,1.28856831877304,6,100
"S4_persistence","pooled_lasso",6,2023,0.677350788674731,2.73447682400388,7,100
"S4_persistence","pooled_lasso_state_interactions",6,2023,0.525529263100142,1.00791796650894,7,91
"S4_persistence","pooled_lasso_plus_prior",6,2023,1.07970224461464,1.07970224461464,7,74
"S4_persistence","pooled_lasso_state_interactions_plus_prior",6,2023,1.12070359567596,1.12070359567596,7,85
"S4_persistence","pooled_lasso",7,2024,1.01289653366463,3.09323965921,8,100
"S4_persistence","pooled_lasso_state_interactions",7,2024,0.493546579004371,0.946578048485834,8,100
"S4_persistence","pooled_lasso_plus_prior",7,2024,1.00854777109389,1.00854777109389,8,54
"S4_persistence","pooled_lasso_state_interactions_plus_prior",7,2024,1.04684705354049,1.04684705354049,8,82
"S4_persistence","pooled_lasso",8,2025,1.04279555532098,2.90164057703818,9,77
"S4_persistence","pooled_lasso_state_interactions",8,2025,0.508115253457899,0.974519458719222,9,100
"S4_persistence","pooled_lasso_plus_prior",8,2025,1.03775570928143,1.03775570928143,9,62
"S4_persistence","pooled_lasso_state_interactions_plus_prior",8,2025,1.07716415393769,1.07716415393769,9,63
"S4b_persistence_full_enum","pooled_lasso",1,2017,0.833047856007142,4.8791786350713,3,100
"S4b_persistence_full_enum","pooled_lasso_state_interactions",1,2017,0.336996143739991,1.02913753001599,3,100
"S4b_persistence_full_enum","pooled_lasso_plus_prior",1,2017,1.74326322221262,1.74326322221262,3,66
"S4b_persistence_full_enum","pooled_lasso_state_interactions_plus_prior",1,2017,1.80946309141057,1.80946309141057,3,96
"S4b_persistence_full_enum","pooled_lasso",2,2018,0.834095125959884,3.36725641881132,4,100
"S4b_persistence_full_enum","pooled_lasso_state_interactions",2,2018,0.337419799995732,0.938890636968972,4,100
"S4b_persistence_full_enum","pooled_lasso_plus_prior",2,2018,1.79432681047914,1.79432681047914,4,60
"S4b_persistence_full_enum","pooled_lasso_state_interactions_plus_prior",2,2018,1.86246580328215,1.86246580328215,4,59
"S4b_persistence_full_enum","pooled_lasso",3,2019,0.779237534290949,2.37967883678418,5,100
"S4b_persistence_full_enum","pooled_lasso_state_interactions",3,2019,0.31522804148632,0.877140750677097,5,88
"S4b_persistence_full_enum","pooled_lasso_plus_prior",3,2019,1.53011589909501,1.53011589909501,5,62
"S4b_persistence_full_enum","pooled_lasso_state_interactions_plus_prior",3,2019,1.58822156614925,1.58822156614925,5,68
"S4b_persistence_full_enum","pooled_lasso",4,2020,0.854203217670835,2.37687119472556,6,99
"S4b_persistence_full_enum","pooled_lasso_state_interactions",4,2020,0.314856122598085,0.96152510448609,6,100
"S4b_persistence_full_enum","pooled_lasso_plus_prior",4,2020,1.28347146920869,1.28347146920869,6,60
"S4b_persistence_full_enum","pooled_lasso_state_interactions_plus_prior",4,2020,1.33221089209004,1.33221089209004,6,87
"S4b_persistence_full_enum","pooled_lasso",6,2023,0.874684851032861,2.21764491472225,7,100
"S4b_persistence_full_enum","pooled_lasso_state_interactions",6,2023,0.322405576324596,0.897112667726012,7,94
"S4b_persistence_full_enum","pooled_lasso_plus_prior",6,2023,1.09044235611812,1.09044235611812,7,57
"S4b_persistence_full_enum","pooled_lasso_state_interactions_plus_prior",6,2023,1.13185155951501,1.13185155951501,7,60
"S4b_persistence_full_enum","pooled_lasso",7,2024,0.912565267975089,2.53926706653175,8,100
"S4b_persistence_full_enum","pooled_lasso_state_interactions",7,2024,0.33636815683717,1.02721974875333,8,100
"S4b_persistence_full_enum","pooled_lasso_plus_prior",7,2024,0.979255519470064,0.979255519470064,8,52
"S4b_persistence_full_enum","pooled_lasso_state_interactions_plus_prior",7,2024,1.01644243793095,1.01644243793095,8,58
"S4b_persistence_full_enum","pooled_lasso",8,2025,0.914531828993533,2.7928480639754,9,75
"S4b_persistence_full_enum","pooled_lasso_state_interactions",8,2025,0.369959177586143,1.23995616033687,9,100
"S4b_persistence_full_enum","pooled_lasso_plus_prior",8,2025,1.04543673529923,1.04543673529923,9,49
"S4b_persistence_full_enum","pooled_lasso_state_interactions_plus_prior",8,2025,1.08513686448781,1.08513686448781,9,59
"S5_no_hpi_fl518","pooled_lasso",1,2017,0.679541223676333,3.62650712596648,3,100
"S5_no_hpi_fl518","pooled_lasso_state_interactions",1,2017,0.250641149620775,1.01184264673355,3,100
"S5_no_hpi_fl518","pooled_lasso",2,2018,0.611995772855457,2.97589161208026,4,100
"S5_no_hpi_fl518","pooled_lasso_state_interactions",2,2018,0.298398825623634,1.00011429499721,4,100
"S5_no_hpi_fl518","pooled_lasso",3,2019,0.624516600357189,2.52118429392202,5,94
"S5_no_hpi_fl518","pooled_lasso_state_interactions",3,2019,0.484856113661917,1.02057564313896,5,100
"S5_no_hpi_fl518","pooled_lasso",4,2020,0.645040832792273,2.37270515134659,6,73
"S5_no_hpi_fl518","pooled_lasso_state_interactions",4,2020,0.500790517276932,0.960471272033701,6,83
"S5_no_hpi_fl518","pooled_lasso",5,2022,0.653837771529567,2.40506363285187,7,100
"S5_no_hpi_fl518","pooled_lasso_state_interactions",5,2022,0.507620198867216,0.973569988439663,7,86
"S5_no_hpi_fl518","pooled_lasso",6,2023,0.614729756577867,2.26120950173716,8,100
"S5_no_hpi_fl518","pooled_lasso_state_interactions",6,2023,0.523789955237185,0.915337822415735,8,86
"S5_no_hpi_fl518","pooled_lasso",7,2024,0.626048599902349,2.52736900252599,9,100
"S5_no_hpi_fl518","pooled_lasso_state_interactions",7,2024,0.403523523424796,0.932191676145823,9,100
"S5_no_hpi_fl518","pooled_lasso",8,2025,0.641884220669369,2.36109393316619,10,86
"S5_no_hpi_fl518","pooled_lasso_state_interactions",8,2025,0.498339817511106,0.870862983955305,10,83
