"model","lambda_rule","sample_id","scope","n","n_cocs","rmse","mae","r2","mean_nonzero_penalized_per_fold","min_nonzero_penalized_per_fold","max_nonzero_penalized_per_fold","final_n","final_rmse","final_mae","final_r2","rmse_diff_vs_final","r2_diff_vs_final"
"pooled_lasso","1se","S0_primary","pooled_all_folds",555,70,15.8054158550639,9.80500824195748,0.579235270402194,3.125,3,4,555,15.8054158550639,9.80500824195748,0.579235270402194,3.37507799486048e-14,1.11022302462516e-16
"pooled_lasso","1se","S1_split_county_excluded","pooled_all_folds",499,63,15.4083467631633,9.70036964737836,0.603659568733985,3.375,3,4,555,15.8054158550639,9.80500824195748,0.579235270402194,-0.397069091900629,0.0244242983317909
"pooled_lasso","1se","S2_stable_cocs","pooled_all_folds",520,65,16.0325792697651,10.3736644354923,0.52534742842232,3,1,5,555,15.8054158550639,9.80500824195748,0.579235270402194,0.227163414701183,-0.0538878419798742
"pooled_lasso","1se","S3_no_structural_beds","pooled_all_folds",555,70,19.2035404750346,12.3765686711633,0.378859161003644,7.875,5,11,555,15.8054158550639,9.80500824195748,0.579235270402194,3.39812461997071,-0.20037610939855
"pooled_lasso","1se","S4_persistence","pooled_all_folds",485,70,16.1317233370177,10.0112695417383,0.559741108478532,3,3,3,555,15.8054158550639,9.80500824195748,0.579235270402194,0.32630748195376,-0.0194941619236625
"pooled_lasso","1se","S4b_persistence_full_enum","pooled_all_folds",408,70,16.0042165378057,9.61522695539716,0.548528330073867,3.71428571428571,3,4,555,15.8054158550639,9.80500824195748,0.579235270402194,0.198800682741842,-0.0307069403283271
"pooled_lasso","1se","S5_no_hpi_fl518","pooled_all_folds",561,71,15.7498051738103,9.90333544799767,0.577716556518798,4.625,3,6,555,15.8054158550639,9.80500824195748,0.579235270402194,-0.0556106812535528,-0.00151871388339619
"pooled_lasso","min","S0_primary","pooled_all_folds",555,70,15.2967624581015,10.1581957463234,0.605881773925377,14,13,15,555,15.2967624581015,10.1581957463234,0.605881773925377,-3.5527136788005e-15,2.22044604925031e-16
"pooled_lasso","min","S1_split_county_excluded","pooled_all_folds",499,63,14.9382703636529,9.84762628376821,0.627473715365254,10.75,8,13,555,15.2967624581015,10.1581957463234,0.605881773925377,-0.358492094448588,0.0215919414398767
"pooled_lasso","min","S2_stable_cocs","pooled_all_folds",520,65,14.3745823326085,9.26776920431531,0.618442920654671,11.875,11,13,555,15.2967624581015,10.1581957463234,0.605881773925377,-0.922180125493018,0.0125611467292938
