"sample_id","model","lambda_rule","n_common_rows","n_common_cocs","sens_rmse","primary_rmse","rmse_diff_sens_minus_primary","sens_mae","primary_mae","sens_r2","primary_r2","r2_diff_sens_minus_primary","pred_correlation"
"S1_split_county_excluded","pooled_lasso","min",499,63,14.9382703636529,14.9142253841455,0.0240449795074316,9.84762628376821,9.6700034530854,0.627473715365254,0.628672003742072,-0.0011982883768179,0.989291459952787
"S1_split_county_excluded","pooled_lasso","1se",499,63,15.4083467631633,15.4737011016808,-0.0653543385175741,9.70036964737836,9.38374048459861,0.603659568733985,0.600290291050608,0.00336927768337725,0.98698123154277
"S1_split_county_excluded","pooled_lasso_state_interactions","min",499,63,14.6845881688819,14.5718425680743,0.112745600807537,10.1702029889493,9.86897645042295,0.640018789764897,0.645525309968375,-0.00550652020347853,0.991390556425334
"S1_split_county_excluded","pooled_lasso_state_interactions","1se",499,63,14.9867364207227,14.7797157980545,0.207020622668194,9.71302668367779,9.47020202617089,0.625052528901422,0.635339723995613,-0.0102871950941907,0.98463057540446
"S2_stable_cocs","pooled_lasso","min",520,65,14.3745823326085,14.9791454377878,-0.604563105179324,9.26776920431531,9.85011288707013,0.618442920654671,0.58567310875864,0.0327698118960303,0.963288350123935
"S2_stable_cocs","pooled_lasso","1se",520,65,16.0325792697651,15.0075573418291,1.02502192793596,10.3736644354923,9.32647081961635,0.52534742842232,0.584099857453618,-0.0587524290312978,0.929319983919813
"S2_stable_cocs","pooled_lasso_state_interactions","min",520,65,13.3223408277773,14.1158660689704,-0.79352524119318,9.50711177564891,9.65749806598543,0.672259488944858,0.632053984196823,0.0402055047480352,0.962070333238559
"S2_stable_cocs","pooled_lasso_state_interactions","1se",520,65,13.9716003097724,14.6407859320284,-0.669185622255917,9.06656095607897,9.50439634246724,0.63953645235776,0.604179914919912,0.0353565374378479,0.960376334587833
"S3_no_structural_beds","pooled_lasso","min",555,70,18.2931778680387,15.2967624581015,2.99641540993722,12.6049327249589,10.1581957463234,0.436354831843449,0.605881773925377,-0.169526942081928,0.856532766220491
"S3_no_structural_beds","pooled_lasso","1se",555,70,19.2035404750346,15.8054158550639,3.39812461997067,12.3765686711633,9.80500824195748,0.378859161003644,0.579235270402194,-0.20037610939855,0.817017335930381
"S3_no_structural_beds","pooled_lasso_state_interactions","min",555,70,17.8223573980268,14.6922042228507,3.13015317517619,12.9356193496532,10.1412971620357,0.464995085929171,0.636418826533998,-0.171423740604827,0.835198273917215
"S3_no_structural_beds","pooled_lasso_state_interactions","1se",555,70,17.812604915024,15.1265539068463,2.68605100817778,12.5591802141034,9.91126798513561,0.465580440454254,0.614603760280068,-0.149023319825813,0.858590934537908
"S4_persistence","pooled_lasso","min",485,70,15.6575877629134,15.4630428753051,0.194544887608341,10.4791902590525,10.3072741054106,0.585240526197507,0.595483234791519,-0.0102427085940116,0.999093701124138
"S4_persistence","pooled_lasso","1se",485,70,16.1317233370177,15.9098158200335,0.221907516984158,10.0112695417383,9.87662407247878,0.559741108478532,0.571770176736634,-0.0120290682581023,0.998539747416886
"S4_persistence","pooled_lasso_state_interactions","min",485,70,15.128370280594,14.9495615739753,0.178808706618749,10.546545108778,10.3333691290289,0.612803968936395,0.621902750487377,-0.00909878155098176,0.999442453329099
"S4_persistence","pooled_lasso_state_interactions","1se",485,70,15.5556612897373,15.3118460959262,0.243815193811114,10.3422924360596,10.0725787132535,0.590622884190539,0.603355244856337,-0.0127323606657981,0.998745793608794
"S4b_persistence_full_enum","pooled_lasso","min",408,70,15.3450890820505,15.09952400504,0.245565077010523,9.91274167725583,10.0043032761973,0.584949927852346,0.598127600917549,-0.0131776730652021,0.995706549636971
"S4b_persistence_full_enum","pooled_lasso","1se",408,70,16.0042165378057,15.3890980923276,0.615118445478144,9.61522695539716,9.44130221657524,0.548528330073867,0.582565824933787,-0.0340374948599196,0.996475198553574
"S4b_persistence_full_enum","pooled_lasso_state_interactions","min",408,70,15.4531565281501,14.783641352039,0.66951517611102,10.7316533067745,10.110030069237,0.579083381155005,0.614766095919848,-0.0356827147648433,0.992847922201466
"S4b_persistence_full_enum","pooled_lasso_state_interactions","1se",408,70,15.3791824901343,14.9368518441093,0.442330646024978,9.98183407238094,9.73519195498633,0.583103579352884,0.606739966003884,-0.023636386651,0.993409339180958
"S5_no_hpi_fl518","pooled_lasso","min",555,70,15.4280621459762,15.2967624581015,0.131299687874725,10.3675051213752,10.1581957463234,0.599086912875355,0.605881773925377,-0.00679486105002192,0.99516348822554
"S5_no_hpi_fl518","pooled_lasso","1se",555,70,15.8216974074146,15.8054158550639,0.0162815523506854,9.9480536910683,9.80500824195748,0.5783679434587,0.579235270402194,-0.000867326943493785,0.995634321382626
"S5_no_hpi_fl518","pooled_lasso_state_interactions","min",555,70,14.8739088467965,14.6922042228507,0.18170462394581,10.5668821337448,10.1412971620357,0.627370095345943,0.636418826533998,-0.00904873118805438,0.991764651929102
"S5_no_hpi_fl518","pooled_lasso_state_interactions","1se",555,70,15.1803924799461,15.1265539068463,0.0538385730998794,10.1114100425742,9.91126798513561,0.611855466240665,0.614603760280068,-0.00274829403940269,0.99675774292252
