year,coc_number,coc_name,count_type,total_homeless,sheltered_homeless,unsheltered_homeless,homeless_individuals,homeless_people_in_families,chronically_homeless_individuals,homeless_veterans,homeless_unaccompanied_youth_under_25
2011,CA-523,"Colusa, Glenn, Trinity Counties CoC",Sheltered and Unsheltered Count,322.0,183.0,139.0,200.0,122.0,94.0,28.0,
2011,CA-524,Yuba City & County/Sutter County CoC,Sheltered and Unsheltered Count,649.0,355.0,294.0,408.0,241.0,51.0,26.0,
2011,CA-525,El Dorado County CoC,Sheltered and Unsheltered Count,170.0,133.0,37.0,107.0,63.0,16.0,2.0,
2011,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Sheltered and Unsheltered Count,406.0,137.0,269.0,189.0,217.0,85.0,25.0,
2011,CA-528,Del Norte County CoC,Sheltered and Unsheltered Count,448.0,27.0,421.0,316.0,132.0,126.0,10.0,
2011,CA-600,Los Angeles City & County CoC,Sheltered and Unsheltered Count,34622.0,16882.0,17740.0,25404.0,9218.0,7668.0,6281.0,
2011,CA-601,San Diego City and County CoC,Sheltered and Unsheltered Count,9436.0,3980.0,5456.0,7763.0,1673.0,2278.0,1649.0,
2011,CA-602,"Santa Ana, Anaheim/Orange County CoC",Sheltered and Unsheltered Count,6939.0,2667.0,4272.0,5231.0,1708.0,1651.0,856.0,
2011,CA-603,Santa Maria/Santa Barbara County CoC,Sheltered and Unsheltered Count,1698.0,830.0,868.0,1377.0,321.0,511.0,158.0,
2011,CA-604,Bakersfield/Kern County CoC,Sheltered and Unsheltered Count,1439.0,606.0,833.0,1236.0,203.0,372.0,173.0,
2011,CA-606,Long Beach CoC,Sheltered and Unsheltered Count,3164.0,961.0,2203.0,2596.0,568.0,1074.0,658.0,
2011,CA-607,Pasadena CoC,Sheltered and Unsheltered Count,1216.0,453.0,763.0,1022.0,194.0,421.0,89.0,
2011,CA-608,Riverside City & County CoC,Sheltered and Unsheltered Count,6203.0,1113.0,5090.0,5655.0,548.0,2515.0,890.0,
2011,CA-609,San Bernardino City & County CoC,Sheltered and Unsheltered Count,2825.0,1133.0,1692.0,1916.0,909.0,169.0,246.0,
2011,CA-611,"Oxnard, San Buenaventura/Ventura County CoC",Sheltered and Unsheltered Count,1810.0,830.0,980.0,1459.0,351.0,503.0,140.0,
2011,CA-612,Glendale CoC,Sheltered and Unsheltered Count,412.0,291.0,121.0,297.0,115.0,102.0,39.0,
