"feature_set","architecture","n","rmse","mae","r2","mean_pred_sd_across_seeds"
"factors","wide_32_16_drop",555,12.6388277921446,8.42852885466117,0.730945000058001,4.72555254088874
"factors","class_16_8",555,12.916873208737,9.11393671282453,0.718976740126689,8.39352517419006
"factors","class_16_8_drop",555,13.207915020449,9.18753726866534,0.706170087255478,4.50639226494312
"factors","shallow_8_drop",555,13.8800427702144,9.7513663256919,0.675504197898825,6.98234349610278
"factors","no_hidden",555,16.0632364626714,11.4594372036372,0.565396140055975,6.32024775014789
"factors_plus_prior","no_hidden",485,10.0494887213152,6.75510499217283,0.82914230632662,3.44022461919102
"factors_plus_prior","wide_32_16_drop",485,10.4321392405692,6.68467199706055,0.815883226489373,4.30493406090177
"factors_plus_prior","shallow_8_drop",485,10.5125240703724,6.93479277624761,0.813034871688958,5.41950096560245
"factors_plus_prior","class_16_8_drop",485,10.558011119569,7.02261977412813,0.811413397884757,3.84560143448115
"factors_plus_prior","class_16_8",485,10.8381998019758,7.08203146344013,0.801271153641278,6.95062717909124
"prior_only","class_16_8",485,8.92931292817781,5.04997467512402,0.865109087765702,0.693313912927003
"prior_only","no_hidden",485,9.05602814574189,4.99287705840734,0.861253469249312,0.942158847940727
