"feature_set","architecture","validation_year","seed","n","rmse","mae","r2","chosen_epochs","inner_best_val_loss"
"factors","class_16_8",2018,42,69,15.8891089759464,11.1627196432427,0.591820956502315,47,0.49229022860527
"factors","class_16_8",2018,123,69,16.8783988386164,11.0847058347312,0.539410422240921,38,0.303817719221115
"factors","class_16_8",2018,2024,69,13.9156303913389,9.65783989962709,0.686918514022846,67,0.241236552596092
"factors","class_16_8",2018,31337,69,14.7856950971497,9.40085379411173,0.646544203212302,55,0.222948312759399
"factors","class_16_8",2019,10,69,15.8949635277566,11.3371253856067,0.566510807961285,27,0.3477503657341
"factors","class_16_8",2019,42,69,15.7938886425892,10.9298881238487,0.57200633017339,104,0.29669588804245
"factors","class_16_8",2019,123,69,17.7889550254686,12.6720698029081,0.457049700915718,96,0.344070285558701
"factors","class_16_8",2019,2024,69,16.7051219187029,10.7343926605076,0.521195193288955,29,0.254846304655075
"factors","class_16_8",2019,31337,69,16.9961467092877,11.2197287928555,0.504367079603329,151,0.259729862213135
"factors","class_16_8",2020,10,70,16.9959107115137,11.1862420556602,0.478814416802337,31,0.336574375629425
"factors","class_16_8",2020,42,70,12.6505811182757,8.77634269011475,0.711248357177795,76,0.336654722690582
"factors","class_16_8",2020,123,70,18.7529518683466,11.694997786292,0.365483689678428,83,0.357328295707703
"factors","class_16_8",2020,2024,70,16.673786298616,12.0957547037511,0.498383314394948,11,0.35674911737442
"factors","class_16_8",2020,31337,70,18.7733942887387,11.1780429151348,0.364099574893403,15,0.367571443319321
"factors","class_16_8",2022,10,70,20.7668712031167,15.7688199843653,0.294557417005125,29,0.500762045383453
"factors","class_16_8",2022,42,70,15.6527955808885,13.1511470935148,0.599222474036784,47,0.585744202136993
"factors","class_16_8",2022,123,70,14.2780152773876,10.2560755277386,0.666531191714814,12,0.544080972671509
"factors","class_16_8",2022,2024,70,15.8777954820024,13.0847980596954,0.587617772584528,15,0.852453291416168
"factors","class_16_8",2022,31337,70,12.9904370726316,10.2386321727509,0.723963151905998,66,0.320054203271866
"factors","class_16_8",2023,10,69,16.360803107477,12.6009199178435,0.525926554260774,19,0.506895005702972
"factors","class_16_8",2023,42,69,16.1312031787704,12.7552835060057,0.539139044240231,26,0.284605234861374
"factors","class_16_8",2023,123,69,12.9224851177253,9.73567417074663,0.704247465655538,14,0.258090317249298
"factors","class_16_8",2023,2024,69,17.2921198900478,13.7996819437191,0.470418422003946,34,0.277036130428314
"factors","class_16_8",2023,31337,69,14.0833330597764,11.5907842853593,0.648724958514257,71,0.225043877959251
"factors","class_16_8",2024,10,70,10.656525088327,8.14190045128629,0.821961275544746,28,0.346600919961929
"factors","class_16_8",2024,42,70,15.0597165147114,11.9673533248736,0.64443676882126,76,0.321872502565384
"factors","class_16_8",2024,123,70,15.5725492814532,10.771333989973,0.619808258809082,110,0.187348693609238
"factors","class_16_8",2024,2024,70,22.2766241057927,16.1347797184037,0.221995688017114,67,0.25593289732933
