"feature_set","architecture","validation_year","seed","chosen_epochs"
"factors","wide_32_16_drop",2023,42,41
"factors","wide_32_16_drop",2023,123,46
"factors","wide_32_16_drop",2023,2024,114
"factors","wide_32_16_drop",2023,31337,50
"factors","wide_32_16_drop",2024,10,68
"factors","wide_32_16_drop",2024,42,32
"factors","wide_32_16_drop",2024,123,27
"factors","wide_32_16_drop",2024,2024,11
"factors","wide_32_16_drop",2024,31337,23
"factors","wide_32_16_drop",2025,10,105
"factors","wide_32_16_drop",2025,42,97
"factors","wide_32_16_drop",2025,123,157
"factors","wide_32_16_drop",2025,2024,72
"factors","wide_32_16_drop",2025,31337,86
"factors","shallow_8_drop",2017,10,123
"factors","shallow_8_drop",2017,42,155
"factors","shallow_8_drop",2017,123,141
"factors","shallow_8_drop",2017,2024,164
"factors","shallow_8_drop",2017,31337,114
"factors","shallow_8_drop",2018,10,73
"factors","shallow_8_drop",2018,42,43
"factors","shallow_8_drop",2018,123,173
"factors","shallow_8_drop",2018,2024,85
"factors","shallow_8_drop",2018,31337,94
"factors","shallow_8_drop",2019,10,91
"factors","shallow_8_drop",2019,42,79
"factors","shallow_8_drop",2019,123,101
"factors","shallow_8_drop",2019,2024,44
"factors","shallow_8_drop",2019,31337,84
"factors","shallow_8_drop",2020,10,53
"factors","shallow_8_drop",2020,42,87
"factors","shallow_8_drop",2020,123,25
"factors","shallow_8_drop",2020,2024,14
"factors","shallow_8_drop",2020,31337,13
"factors","shallow_8_drop",2022,10,69
"factors","shallow_8_drop",2022,42,41
"factors","shallow_8_drop",2022,123,3
"factors","shallow_8_drop",2022,2024,7
"factors","shallow_8_drop",2022,31337,16
"factors","shallow_8_drop",2023,10,49
"factors","shallow_8_drop",2023,42,54
"factors","shallow_8_drop",2023,123,61
"factors","shallow_8_drop",2023,2024,44
"factors","shallow_8_drop",2023,31337,20
"factors","shallow_8_drop",2024,10,50
"factors","shallow_8_drop",2024,42,34
"factors","shallow_8_drop",2024,123,47
"factors","shallow_8_drop",2024,2024,28
"factors","shallow_8_drop",2024,31337,50
"factors","shallow_8_drop",2025,10,41
"factors","shallow_8_drop",2025,42,72
"factors","shallow_8_drop",2025,123,63
"factors","shallow_8_drop",2025,2024,78
"factors","shallow_8_drop",2025,31337,76
"factors_plus_prior","no_hidden",2017,10,300
"factors_plus_prior","no_hidden",2017,42,300
"factors_plus_prior","no_hidden",2017,123,181
"factors_plus_prior","no_hidden",2017,2024,300
"factors_plus_prior","no_hidden",2017,31337,300
"factors_plus_prior","no_hidden",2018,10,300
"factors_plus_prior","no_hidden",2018,42,120
"factors_plus_prior","no_hidden",2018,123,198
"factors_plus_prior","no_hidden",2018,2024,245
"factors_plus_prior","no_hidden",2018,31337,300
"factors_plus_prior","no_hidden",2019,10,300
"factors_plus_prior","no_hidden",2019,42,300
"factors_plus_prior","no_hidden",2019,123,300
"factors_plus_prior","no_hidden",2019,2024,300
"factors_plus_prior","no_hidden",2019,31337,300
"factors_plus_prior","no_hidden",2020,10,300
"factors_plus_prior","no_hidden",2020,42,300
"factors_plus_prior","no_hidden",2020,123,300
"factors_plus_prior","no_hidden",2020,2024,300
"factors_plus_prior","no_hidden",2020,31337,300
"factors_plus_prior","no_hidden",2023,10,80
"factors_plus_prior","no_hidden",2023,42,109
