"feature_set","architecture","state","n","rmse","mae","r2","mean_pred_sd_across_seeds"
"factors","class_16_8","California",347,14.1212794153553,10.4271958426259,0.658967777206505,9.03939214520599
"factors_plus_prior","class_16_8","California",303,11.4966877456478,7.95643751894216,0.775346360683808,7.67159533424091
"prior_only","class_16_8","California",303,9.73126876366976,5.9896025263963,0.839044092444153,0.776769132922582
"factors","class_16_8_drop","California",347,15.1593509093247,11.0367445968986,0.606985534858025,5.02900006606502
"factors_plus_prior","class_16_8_drop","California",303,11.7761522939621,8.1669527731356,0.764291733667572,4.31311647247451
"factors","no_hidden","California",347,17.6612233727264,12.804979689924,0.46655593256468,6.64085413190716
"factors_plus_prior","no_hidden","California",303,10.3454951413882,7.02347852030964,0.818084146339871,3.75164862455664
"prior_only","no_hidden","California",303,9.8333492508331,5.88044934800192,0.835649543354046,0.926820996336282
"factors","shallow_8_drop","California",347,15.7671594598954,11.7983788500384,0.574838194607272,7.53241055582991
"factors_plus_prior","shallow_8_drop","California",303,11.6693802306819,8.39501966348617,0.768546598060276,5.59316877630743
"factors","wide_32_16_drop","California",347,14.1661189305543,10.0334443802965,0.656798569006221,5.26919345042117
"factors_plus_prior","wide_32_16_drop","California",303,11.5008831543582,7.82881030711917,0.775182368092435,4.61901659588204
"factors","class_16_8","Florida",208,10.6074766742179,6.9230669145502,0.348942528892661,7.31604517927406
"factors_plus_prior","class_16_8","Florida",182,9.64268743771848,5.62628951389553,0.484369594479865,5.75033404167172
"prior_only","class_16_8","Florida",182,7.40394717405843,3.48564918646742,0.696003234655163,0.554374727989309
"factors","class_16_8_drop","Florida",208,9.06083908168975,6.1025615816608,0.524958019249223,3.63454175057147
"factors_plus_prior","class_16_8_drop","Florida",182,8.13497511924987,5.11749395709921,0.633009520756566,3.06726595914055
"factors","no_hidden","Florida",208,12.9662045026432,9.21471007507218,0.0272059847745163,5.78538998827064
"factors_plus_prior","no_hidden","Florida",182,9.53632721858172,6.30830730521981,0.495681814776845,2.92175498388451
"prior_only","no_hidden","Florida",182,7.58727125312375,3.51521549935703,0.680762749803158,0.967693842644832
"factors","shallow_8_drop","Florida",208,9.96592748289914,6.33639831632544,0.425314020997526,6.0646835455003
"factors_plus_prior","shallow_8_drop","Florida",182,8.23355168003942,4.50375570573506,0.624061528584421,5.13037268734086
"factors","wide_32_16_drop","Florida",208,9.56257102790748,5.75109766525984,0.470891785537931,3.81861313892837
"factors_plus_prior","wide_32_16_drop","Florida",182,8.35490797762106,4.77987030503989,0.612897762739363,3.78203841200605
