"variable","n","spearman_rho"
"coc_hic_temporary_beds_per_10k",898,0.644
"coc_permits_per_1000_housing_units",898,-0.445
"state_real_median_rent_2025_usd",898,0.418
"coc_domestic_migration_rate_per_1000",898,-0.408
"state_rental_vacancy_rate",898,-0.374
"coc_hic_psh_beds_per_10k",898,0.305
"coc_housing_cost_burdened_households_pct",898,0.248
"state_homeless_funding_per_capita",898,0.205
"coc_population_density_per_sq_mile",898,-0.203
"coc_unemployment_rate_pct",898,0.171
"coc_real_median_household_income_2025_usd",898,0.11
"coc_housing_units_per_1000_residents",898,-0.066
"coc_poverty_all_pct",898,0.052
