"variable_1","variable_2","r","abs_r"
"state_real_median_home_price_2025_usd","state_home_price_to_income_ratio",0.987,0.987
"state_serious_mental_illness_rate","state_pct_age_65plus",0.983,0.983
"state_avg_in_state_tuition","state_real_median_home_price_2025_usd",0.98,0.98
"state_labor_force_participation","state_serious_mental_illness_rate",-0.969,0.969
"state_avg_in_state_tuition","state_home_price_to_income_ratio",0.961,0.961
"state_average_student_debt_per_borrower","state_pct_age_18_24",-0.956,0.956
"state_avg_in_state_tuition","state_real_median_rent_2025_usd",0.956,0.956
"state_pct_age_65plus","state_avg_household_size",-0.955,0.955
"state_tanf_max_benefit_3person","state_avg_in_state_tuition",0.954,0.954
"state_labor_force_participation","state_pct_age_65plus",-0.954,0.954
"state_tanf_max_benefit_3person","state_ssi_state_supplement",0.949,0.949
"state_pct_age_18_24","state_pct_age_65plus",-0.941,0.941
"state_serious_mental_illness_rate","state_avg_household_size",-0.938,0.938
"state_real_median_rent_2025_usd","state_real_median_home_price_2025_usd",0.937,0.937
"state_ssi_state_supplement","state_avg_in_state_tuition",0.934,0.934
"state_real_minimum_wage_2025_usd","state_real_median_home_price_2025_usd",0.933,0.933
"coc_poverty_all_pct","coc_poverty_child_pct",0.923,0.923
"state_real_median_rent_2025_usd","state_home_price_to_income_ratio",0.916,0.916
"state_serious_mental_illness_rate","state_pct_age_18_24",-0.915,0.915
"state_tanf_max_benefit_3person","state_real_median_home_price_2025_usd",0.914,0.914
"state_labor_force_participation","state_avg_household_size",0.912,0.912
"state_real_minimum_wage_2025_usd","state_avg_in_state_tuition",0.907,0.907
"state_average_student_debt_per_borrower","state_pct_age_65plus",0.907,0.907
"state_tanf_max_benefit_3person","state_real_median_rent_2025_usd",0.905,0.905
"state_real_minimum_wage_2025_usd","state_tanf_max_benefit_3person",0.898,0.898
"state_uninsured_rate","state_real_median_home_price_2025_usd",-0.892,0.892
"state_real_minimum_wage_2025_usd","state_real_median_rent_2025_usd",0.89,0.89
"state_labor_force_participation","state_pct_age_18_24",0.89,0.89
"state_uninsured_rate","state_home_price_to_income_ratio",-0.887,0.887
"coc_domestic_migration_rate_per_1000","coc_population_growth_rate_pct",0.886,0.886
"state_real_minimum_wage_2025_usd","state_home_price_to_income_ratio",0.886,0.886
"state_medicaid_expansion","state_real_median_home_price_2025_usd",0.886,0.886
"state_ssi_state_supplement","state_real_median_rent_2025_usd",0.884,0.884
"state_real_minimum_wage_2025_usd","state_uninsured_rate",-0.881,0.881
"state_substance_use_disorder_rate","state_rental_vacancy_rate",-0.876,0.876
"state_ssi_state_supplement","state_labor_force_participation",0.873,0.873
"state_serious_mental_illness_rate","state_average_student_debt_per_borrower",0.873,0.873
"state_tanf_max_benefit_3person","state_home_price_to_income_ratio",0.871,0.871
"state_medicaid_expansion","state_avg_in_state_tuition",0.866,0.866
"state_medicaid_expansion","state_home_price_to_income_ratio",0.863,0.863
"state_substance_use_disorder_rate","state_home_price_to_income_ratio",0.862,0.862
"state_real_minimum_wage_2025_usd","state_anticamping_strictness",-0.86,0.86
"state_avg_in_state_tuition","state_rental_vacancy_rate",-0.86,0.86
"state_home_price_to_income_ratio","state_rental_vacancy_rate",-0.856,0.856
"state_ssi_state_supplement","state_real_median_home_price_2025_usd",0.855,0.855
"state_medicaid_expansion","state_uninsured_rate",-0.852,0.852
"state_real_minimum_wage_2025_usd","state_medicaid_expansion",0.849,0.849
"state_pct_age_18_24","state_avg_household_size",0.846,0.846
"state_average_student_debt_per_borrower","state_avg_household_size",-0.845,0.845
"coc_real_median_household_income_2025_usd","coc_real_per_capita_personal_income_2025_usd",0.842,0.842
"state_ssi_state_supplement","state_serious_mental_illness_rate",-0.831,0.831
"state_ssi_state_supplement","state_home_price_to_income_ratio",0.829,0.829
"state_substance_use_disorder_rate","state_avg_in_state_tuition",0.829,0.829
"state_real_median_home_price_2025_usd","state_rental_vacancy_rate",-0.825,0.825
"state_labor_force_participation","state_average_student_debt_per_borrower",-0.824,0.824
"state_uninsured_rate","state_avg_in_state_tuition",-0.824,0.824
"state_ssi_state_supplement","state_rental_vacancy_rate",-0.821,0.821
"coc_poverty_child_pct","coc_real_median_household_income_2025_usd",-0.817,0.817
"state_medicaid_expansion","state_tanf_max_benefit_3person",0.815,0.815
"state_substance_use_disorder_rate","state_real_median_rent_2025_usd",0.814,0.814
"state_uninsured_rate","state_real_median_rent_2025_usd",-0.814,0.814
"state_substance_use_disorder_rate","state_real_median_home_price_2025_usd",0.811,0.811
"state_ssi_state_supplement","state_pct_age_65plus",-0.809,0.809
"coc_real_per_capita_personal_income_2025_usd","coc_real_gdp_per_capita_2017_usd",0.804,0.804
"state_medicaid_expansion","state_real_median_rent_2025_usd",0.804,0.804
"state_ssi_state_supplement","state_avg_household_size",0.802,0.802
