"variable","n_nonNA","n_unique","pct_unique","freq_ratio","is_constant","is_near_zero_var"
"coc_log_estimated_population",898,898,100,1,FALSE,FALSE
"coc_population_density_per_sq_mile",898,898,100,1,FALSE,FALSE
"coc_contributing_counties",898,8,0.89,5.3,FALSE,FALSE
"coc_contains_split_county_flag",898,2,0.22,7.8,FALSE,FALSE
"coc_housing_units_per_1000_residents",898,861,95.88,1,FALSE,FALSE
"coc_permits_per_1000_housing_units",898,862,95.99,1,FALSE,FALSE
"coc_multifamily_permit_share_pct",898,727,80.96,33,FALSE,FALSE
"coc_birth_rate_per_1000",898,859,95.66,1,FALSE,FALSE
"coc_death_rate_per_1000",898,859,95.66,1,FALSE,FALSE
"coc_international_migration_rate_per_1000",898,859,95.66,1,FALSE,FALSE
"coc_domestic_migration_rate_per_1000",898,859,95.66,1,FALSE,FALSE
"coc_group_quarters_per_1000_residents",898,866,96.44,1,FALSE,FALSE
"coc_population_growth_rate_pct",898,859,95.66,1,FALSE,FALSE
"coc_housing_supply_growth_rate_pct",898,859,95.66,1,FALSE,FALSE
"coc_poverty_all_pct",898,436,48.55,1,FALSE,FALSE
"coc_poverty_child_pct",898,501,55.79,1,FALSE,FALSE
"coc_real_median_household_income_2025_usd",898,859,95.66,1,FALSE,FALSE
"coc_real_per_capita_personal_income_2025_usd",898,858,95.55,1,FALSE,FALSE
"coc_unemployment_rate_pct",898,387,43.1,1.11,FALSE,FALSE
"coc_high_school_graduate_pct",898,470,52.34,1.08,FALSE,FALSE
"coc_homeownership_rate_pct",898,860,95.77,1,FALSE,FALSE
"coc_housing_cost_burdened_households_pct",898,859,95.66,1,FALSE,FALSE
"coc_income_inequality_ratio",898,859,95.66,1,FALSE,FALSE
"coc_annual_hpi_change_pct",898,790,87.97,1.25,FALSE,FALSE
"coc_real_gdp_per_capita_2017_usd",898,862,95.99,1,FALSE,FALSE
"state_real_minimum_wage_2025_usd",898,26,2.9,1,FALSE,FALSE
"state_medicaid_expansion",898,2,0.22,1.09,FALSE,FALSE
"coc_hic_temporary_beds_per_10k",898,898,100,1,FALSE,FALSE
"coc_hic_psh_beds_per_10k",898,839,93.43,60,FALSE,FALSE
"state_homeless_funding_per_capita",898,22,2.45,1.28,FALSE,FALSE
"state_anticamping_strictness",898,2,0.22,3.1,FALSE,FALSE
"state_tanf_max_benefit_3person",898,10,1.11,2.75,FALSE,FALSE
"state_ssi_state_supplement",898,6,0.67,1.08,FALSE,FALSE
"state_labor_force_participation",898,24,2.67,1.59,FALSE,FALSE
"state_substance_use_disorder_rate",898,15,1.67,1.3,FALSE,FALSE
"state_serious_mental_illness_rate",898,6,0.67,1.68,FALSE,FALSE
"state_uninsured_rate",898,23,2.56,1.02,FALSE,FALSE
"state_average_student_debt_per_borrower",898,20,2.23,1,FALSE,FALSE
"state_avg_in_state_tuition",898,26,2.9,1,FALSE,FALSE
"state_pct_age_18_24",898,19,2.12,1.1,FALSE,FALSE
"state_pct_age_65plus",898,26,2.9,1,FALSE,FALSE
"state_avg_household_size",898,15,1.67,1.52,FALSE,FALSE
"state_real_median_rent_2025_usd",898,26,2.9,1,FALSE,FALSE
"state_real_median_home_price_2025_usd",898,26,2.9,1,FALSE,FALSE
"state_home_price_to_income_ratio",898,26,2.9,1,FALSE,FALSE
"state_rental_vacancy_rate",898,23,2.56,1,FALSE,FALSE
"state_real_home_price_growth_pct",898,26,2.9,1,FALSE,FALSE
