"variable","row","value","robust_z","coc","state","predictor_year"
"coc_real_gdp_per_capita_2017_usd",163,173841.764907937,7.05,"CA-512","California",2018
"coc_unemployment_rate_pct",527,24.3,7.04,"CA-613","California",2014
"coc_hic_temporary_beds_per_10k",853,54.7959503183384,7.03,"FL-604","Florida",2015
"coc_international_migration_rate_per_1000",820,18.62381106,6.95,"FL-601","Florida",2022
"coc_international_migration_rate_per_1000",873,18.63080972,6.95,"FL-605","Florida",2023
"coc_permits_value_per_1000_housing_units_2025_usd",717,11988045.0994042,6.92,"FL-512","Florida",2023
"coc_real_gdp_per_capita_2017_usd",18,171066.894020404,6.89,"CA-501","California",2015
"coc_international_migration_rate_per_1000",653,18.4714600373513,6.88,"FL-507","Florida",2024
"coc_real_per_capita_personal_income_2025_usd",102,185400.750879204,6.83,"CA-507","California",2022
"coc_permits_per_1000_housing_units",718,37.8289250478375,6.8,"FL-512","Florida",2024
"coc_real_per_capita_personal_income_2025_usd",168,184388.673208598,6.78,"CA-512","California",2024
"coc_hic_temporary_beds_per_10k",26,53.2313370566847,6.78,"CA-501","California",2024
"coc_housing_supply_growth_rate_pct",600,3.50802459524489,6.74,"FL-503","Florida",2023
"coc_international_migration_rate_per_1000",651,18.0517935253674,6.7,"FL-507","Florida",2022
"coc_international_migration_rate_per_1000",822,18.04356546,6.7,"FL-601","Florida",2024
"coc_housing_supply_growth_rate_pct",601,3.4691711226911,6.65,"FL-503","Florida",2024
"coc_hic_temporary_beds_per_10k",855,52.4299517539845,6.65,"FL-604","Florida",2017
"coc_international_migration_rate_per_1000",860,17.90907607,6.64,"FL-604","Florida",2023
"coc_housing_supply_growth_rate_pct",712,3.46692081027726,6.64,"FL-512","Florida",2017
"coc_housing_supply_growth_rate_pct",835,3.46489271082626,6.64,"FL-602","Florida",2024
"coc_permits_value_per_1000_housing_units_2025_usd",625,11545132.3835811,6.61,"FL-505","Florida",2022
"state_rental_vacancy_rate",550,14.9,6.61,"FL-500","Florida",2011
"state_rental_vacancy_rate",563,14.9,6.61,"FL-501","Florida",2011
"state_rental_vacancy_rate",576,14.9,6.61,"FL-502","Florida",2011
"state_rental_vacancy_rate",589,14.9,6.61,"FL-503","Florida",2011
"state_rental_vacancy_rate",602,14.9,6.61,"FL-504","Florida",2011
"state_rental_vacancy_rate",615,14.9,6.61,"FL-505","Florida",2011
"state_rental_vacancy_rate",628,14.9,6.61,"FL-506","Florida",2011
"state_rental_vacancy_rate",641,14.9,6.61,"FL-507","Florida",2011
"state_rental_vacancy_rate",654,14.9,6.61,"FL-508","Florida",2011
"state_rental_vacancy_rate",667,14.9,6.61,"FL-509","Florida",2011
"state_rental_vacancy_rate",680,14.9,6.61,"FL-510","Florida",2011
"state_rental_vacancy_rate",693,14.9,6.61,"FL-511","Florida",2011
"state_rental_vacancy_rate",706,14.9,6.61,"FL-512","Florida",2011
"state_rental_vacancy_rate",719,14.9,6.61,"FL-513","Florida",2011
"state_rental_vacancy_rate",732,14.9,6.61,"FL-514","Florida",2011
"state_rental_vacancy_rate",745,14.9,6.61,"FL-515","Florida",2011
"state_rental_vacancy_rate",758,14.9,6.61,"FL-517","Florida",2011
"state_rental_vacancy_rate",771,14.9,6.61,"FL-519","Florida",2011
"state_rental_vacancy_rate",784,14.9,6.61,"FL-520","Florida",2011
"state_rental_vacancy_rate",797,14.9,6.61,"FL-600","Florida",2011
"state_rental_vacancy_rate",810,14.9,6.61,"FL-601","Florida",2011
"state_rental_vacancy_rate",823,14.9,6.61,"FL-602","Florida",2011
"state_rental_vacancy_rate",836,14.9,6.61,"FL-603","Florida",2011
"state_rental_vacancy_rate",849,14.9,6.61,"FL-604","Florida",2011
"state_rental_vacancy_rate",862,14.9,6.61,"FL-605","Florida",2011
"state_rental_vacancy_rate",875,14.9,6.61,"FL-606","Florida",2011
"coc_real_per_capita_personal_income_2025_usd",167,180725.890480536,6.57,"CA-512","California",2023
"coc_hic_temporary_beds_per_10k",854,51.9044645644708,6.57,"FL-604","Florida",2016
"coc_hic_temporary_beds_per_10k",857,51.5977798135474,6.52,"FL-604","Florida",2019
"coc_real_gdp_per_capita_2017_usd",162,163861.570472931,6.49,"CA-512","California",2017
"coc_permits_per_1000_housing_units",711,36.2932635735055,6.46,"FL-512","Florida",2016
"coc_housing_supply_growth_rate_pct",743,3.38192047052805,6.45,"FL-514","Florida",2023
"coc_real_per_capita_personal_income_2025_usd",166,178360.257817296,6.44,"CA-512","California",2022
"coc_real_gdp_per_capita_2017_usd",9,163091.24644499,6.44,"CA-500","California",2019
"coc_hic_psh_beds_per_10k",120,46.0633629701105,6.44,"CA-509","California",2013
"coc_international_migration_rate_per_1000",12,17.40711115,6.43,"CA-500","California",2023
"coc_income_inequality_ratio",26,29.930123561994,6.43,"CA-501","California",2024
"coc_hic_psh_beds_per_10k",119,45.9398771881587,6.41,"CA-509","California",2012
"coc_permits_per_1000_housing_units",835,35.9506335466064,6.39,"FL-602","Florida",2024
"coc_permits_value_per_1000_housing_units_2025_usd",624,11226731.2940182,6.39,"FL-505","Florida",2021
