"metric","value"
"n_rows","887"
"n_cols","47"
"n_identifier_cols","6"
"n_control_cols","2"
"n_predictor_cols","38"
"states","California; Florida"
"predictor_years","2011-2024"
"target_years","2012-2025"
"n_cocs","70"
"duplicate_coc_years","0"
"target_min","4.828"
"target_max","165.086"
"target_median","24.12"
"target_mean","33.18"
"target_n_missing","0"
"cols_with_any_missing","0"
"cols_with_infinities","0"
