"state","state_abbr","coc_number","coc_name","predictor_year","target_year","target_homeless_rate_per_10k","control_state_florida","control_time_index","coc_log_estimated_population","coc_population_density_per_sq_mile","coc_contributing_counties","coc_housing_units_per_1000_residents","coc_permits_per_1000_housing_units","coc_multifamily_permit_share_pct","coc_permits_value_per_1000_housing_units_2025_usd","coc_birth_rate_per_1000","coc_death_rate_per_1000","coc_international_migration_rate_per_1000","coc_domestic_migration_rate_per_1000","coc_group_quarters_per_1000_residents","coc_population_growth_rate_pct","coc_housing_supply_growth_rate_pct","coc_poverty_all_pct","coc_poverty_child_pct","coc_real_median_household_income_2025_usd","coc_real_per_capita_personal_income_2025_usd","coc_unemployment_rate_pct","coc_high_school_graduate_pct","coc_homeownership_rate_pct","coc_housing_cost_burdened_households_pct","coc_income_inequality_ratio","coc_annual_hpi_change_pct","coc_real_gdp_per_capita_2017_usd","coc_real_gdp_quantity_index","coc_relative_home_price_index_2000_base","state_real_minimum_wage_2025_usd","state_medicaid_expansion","coc_hic_temporary_beds_per_10k","coc_hic_psh_beds_per_10k","state_anticamping_strictness","state_tanf_max_benefit_3person","state_ssi_state_supplement","state_labor_force_participation_pct","state_real_median_rent_2025_usd","state_rental_vacancy_rate"
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2011,2012,38.3763010425752,0,1,14.4099721183253,1395.56317178235,1,350.955324730941,4.81956128626464,66.6557911908646,1577715.1966164,13.35540428,5.0904729,7.866942887,-1.647538947,16.3758916676876,1.45651833105642,0.602714588540509,10.7,12.6,121300.952496066,94009.2759724237,9.3,86.5,60.6596576810987,42.463427332773,14.6929701686122,-3.17,102326.681247035,66.2,123.44,11.4514534873146,0,10.1707785750314,13.7578681430024,1,638,171,63.3916666666667,1796.44676582249,6.1
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2012,2013,40.8856503743788,0,2,14.4241091445751,1415.43241092688,1,347.532691678823,8.59696202056006,71.7719905299581,2310175.70946961,12.8332037,5.100403928,7.462107939,-0.857008137,16.388144209575,1.42374344252434,0.434625363629215,10.8,12.6,127888.049106688,100515.420886792,7.9,86.5,59.7929285197627,41.8084567880404,14.978749870426,2.81,105752.649100958,69.473,126.92,11.2188649909919,0,9.76139005676733,17.3191218231273,1,638,160.72,63.05,1759.95944546185,5.2
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2013,2014,39.9999365667717,0,3,14.4395359301538,1437.43729099346,1,344.955195092222,11.8369204436554,75.5543891877706,3463133.54156449,13.05355592,5.09518994,8.80117529,-1.164059501,16.328006750874,1.55464011539552,0.801454172,10.5,12.9,126935.932512361,98927.7373057257,6.5,86.5,58.9589265755671,40.8831320079716,15.5191371275983,11.65,115131.70767898,76.897,141.7,11.0567758032609,0,9.70304191167607,17.8844582557563,1,638,160.72,62.7083333333333,1734.53170413655,5.1
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2014,2015,34.2120300477225,0,4,14.4530149989988,1456.94378694496,1,344.137950356098,15.255965985893,80.7188884414015,3901874.11508531,12.46135761,5.020517921,10.25443712,-4.050899133,16.3689445715165,1.35703283,1.11690453890994,8.5,9.3,132229.959402273,104788.084245151,5.2,86.8,58.2514256905118,39.991412352949,15.7562861678701,13.89,121730.900896541,82.5,161.38,12.2411219475664,1,9.21896251783399,19.4687149960909,1,670,160.72,62.3416666666667,1706.95644935509,4.5
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2015,2016,33.8317167677539,0,5,14.4658994956845,1475.83723919869,1,344.643933444138,8.43382250513297,67.8456014362657,2719650.65716392,12.44367835,5.196376717,11.61963195,-5.916957761,16.1249500987588,1.29678663123569,1.44572243112389,8.3,9,138824.331262993,113783.487175248,4.2,87,58.1101075278196,38.8716713616102,16.0650345070777,8.19,130748.33777527,89.858,174.6,12.226311332377,1,10.4681714880615,14.5802946847677,1,704,160.72,62.1666666666667,1704.89119134813,4.1
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2016,2017,38.2611215465897,0,6,14.4721851258814,1485.14302688749,1,345.178409930055,8.5768240962335,68.9963215974777,2370951.67249353,12.07859331,5.258211859,10.38845378,-10.93674774,15.8159645876721,0.630542951596458,0.786601578351265,9.3,10.4,148693.410278019,120855.065501268,3.9,87.1,57.8959769863363,38.0307415812282,16.2159810509015,9.71,137655.877102127,95.328,191.54,13.4147767813952,1,9.64027612986733,14.6341362229616,1,704,160.72,62.225,2016.2409502437,3.6
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2017,2018,37.5400357184073,0,7,14.4743307515362,1488.33301055107,1,347.218901842681,11.8747429225459,73.6069277108434,3395809.93092091,11.72738429,5.296722663,9.285970704,-13.60364145,15.7774086550652,0.21479302705707,0.80720399140064,7.5,8.1,155605.531334246,128245.710811469,3.3,87.6,58.2728083469309,37.2708800505153,16.10416950848,4.04,143927.750994372,100,199.29,13.7915561924704,1,8.54846805449907,22.1214896688762,1,704,160.72,62.275,1974.16275783648,4.3
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2018,2019,50.3461884003544,0,8,14.4742412266931,1488.199773667,1,351.099213025471,12.0732501820347,76.1323403735808,3494569.42347662,11.29462564,5.551060624,6.86288487,-12.71615668,15.9335561033091,-0.008952088,1.10848817592741,7.3,7.1,161472.360946738,136620.596120444,2.7,88.1,58.2194569560017,36.7007081265957,16.3261064401861,11.81,155003.002553554,107.808,222.83,14.1042933179875,1,8.17662757583175,21.8388407405127,1,714,160.72,62.2833333333333,1927.15935063047,4.4
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2019,2020,49.7320784591495,0,9,14.4719175064326,1484.74562670149,1,355.974421273002,8.00855644895711,64.6288209606987,2388563.59497036,11.24970824,5.832875022,6.947328227,-14.72518574,15.6713274670462,-0.232102371,1.15323048985765,6.1,5.5,166796.370807791,141771.373946313,2.6,88.4,57.98529346,35.8889188185471,16.3973560188513,-1.89,163091.24644499,113.01,218.62,15.1124735714226,1,9.15007998539307,16.9930056871586,0,785,160.72,62.4416666666667,1892.83731482068,4.2
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2021,2022,53.3361416184126,0,11,14.448126643584,1449.83910338714,1,368.851353074164,5.8239591689193,51.6073194856578,1831039.00022826,9.921137992,6.238271449,3.5155827,-30.81011789,16.1022837376124,-2.527818639,0.71141807886661,6.9,7.4,167722.965626143,172318.798972761,4.9,89.2,58.2500275474541,34.9543378275713,16.4148969340031,4.85,202199.871161463,135.395,222.44,15.4461823955615,1,10.2415475360791,23.4471944109198,0,878,160.72,61.075,2017.50905443565,4.3
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2022,2023,52.3863758393167,0,12,14.4468631826017,1448.00844400319,1,371.745673618768,12.9825535312145,60.3041657482918,3223194.90690451,10.33465783,5.897393852,13.83376047,-19.83161466,20.7770546089117,-0.126266382,0.657427636155217,7.5,6.9,165589.668198673,156118.725195562,2.8,89.3,58.057527750973,34.51456783,17.1516389487567,15.71,195368.635836855,131.192,257.38,15.4034853675129,1,12.397940378193,23.4396067124396,0,925,199.72,61.7416666666667,2042.06206015028,3.9
"California","CA","CA-500","San Jose/Santa Clara City & County CoC",2023,2024,54.4784607240383,0,13,14.4522873670385,1455.88405311563,1,372.150105508055,8.29277445472947,69.4377785395955,2229308.14917182,9.919565642,5.99809894,17.40711115,-16.11180185,21.1434015542931,0.543892485231234,0.653276829,7.6,7.4,163328.284178065,157892.919050831,3.5,89.3,57.8763599769551,34.6354284395904,17.196520718104,6.24,198309.707206174,134.12,273.43,16.377947020243,1,15.1768668366151,23.0906321860666,0,1130,219.73,62.15,2066.79124978034,4.4
