"internal_id","generated_internal_id","award_id","recipient_name","recipient_state","action_date","modification_number","federal_action_obligation"
260039340,"ASST_NON_CA0365L9D001508_086","CA0365L9D001508","LOS ANGELES COUNTY DEVELOPMENT AUTHORITY LACDA","CA","2018-01-05","2018-01-0510500044754",-438871
260076528,"ASST_NON_CA1231L9D021502_086","CA1231L9D021502","PATHWAYS OF HOPE","CA","2018-01-05","2018-01-0510500044750",-0.01
260085297,"ASST_NON_CA1576L9T181600_086","CA1576L9T181600","CITY OF FAIRFIELD","CA","2018-01-05","2018-01-0510500042147",61055
260060809,"ASST_NON_CA0802L9D011507_086","CA0802L9D011507","ST. VINCENT DE PAUL VILLAGE, INC.","CA","2018-01-05","2018-01-0510500044759",-4588.91
260084756,"ASST_NON_CA1546L9T051600_086","CA1546L9T051600","SATELLITE AFFORDABLE HOUSING ASSOCIATES","CA","2018-01-05","2018-01-0510500042144",288075
260084745,"ASST_NON_CA1542L9T031600_086","CA1542L9T031600","SACRAMENTO STEPS FORWARD","CA","2018-01-05","2018-01-0510500042149",2619953
260085350,"ASST_NON_CA1592L9D001600_086","CA1592L9D001600","LOS ANGELES HOMELESS SERVICES AUTHORITY","CA","2018-01-09","2018-01-0910900024345",5e+05
260085352,"ASST_NON_CA1593L9D001600_086","CA1593L9D001600","LOS ANGELES HOMELESS SERVICES AUTHORITY","CA","2018-01-09","2018-01-0910900024348",1250000
260084818,"ASST_NON_CA1550L9T061600_086","CA1550L9T061600","COALITION OF HOMELESS SERVICES PROVIDERS","CA","2018-01-19","2018-01-1911900029800",59080
260085296,"ASST_NON_CA1575L9T171600_086","CA1575L9T171600","COUNTY OF NAPA","CA","2018-01-19","2018-01-1911900029797",20839
260085314,"ASST_NON_CA1582L9T211600_086","CA1582L9T211600","CITY OF WOODLAND","CA","2018-01-26","2018-01-2612600040638",24085
260084765,"ASST_NON_CA1547L9T051701_086","CA1547L9T051701","SHELTER, INC.","CA","2018-02-15","2018-02-1521500051453",541220
260076359,"ASST_NON_CA1229L9T181704_086","CA1229L9T181704","CHANGE AND NEW BEGINNINGS","CA","2018-02-15","2018-02-1521500050923",113055
260081004,"ASST_NON_CA1370L9D091703_086","CA1370L9D091703","INLAND VALLEY COUNCIL OF CHURCHES","CA","2018-02-15","2018-02-1521500054942",142145
260025740,"ASST_NON_CA0198L9T051710_086","CA0198L9T051710","SHELTER, INC.","CA","2018-02-15","2018-02-1521500050080",407235
260081330,"ASST_NON_CA1394L9T051702_086","CA1394L9T051702","COUNTY OF CONTRA COSTA","CA","2018-02-15","2018-02-1521500049904",550344
260070644,"ASST_NON_CA1070L9T051706_086","CA1070L9T051706","COUNTY OF CONTRA COSTA","CA","2018-02-15","2018-02-1521500051004",175596
260064230,"ASST_NON_CA0890L9T041708_086","CA0890L9T041708","SONOMA COUNTY COMMUNITY DEVELOPMENT COMMISSION","CA","2018-02-15","2018-02-1521500050565",63962
260065253,"ASST_NON_CA0938L9D091708_086","CA0938L9D091708","LUTHERAN SOCIAL SERVICES OF SOUTHERN CALIFORNIA","CA","2018-02-15","2018-02-1521500054850",76700
260079245,"ASST_NON_CA1318L9T131703_086","CA1318L9T131703","KINGS COMMUNITY ACTION ORGANIZATION, INCORPORATED","CA","2018-02-15","2018-02-1521500049999",78958
260074071,"ASST_NON_CA1173L9T041704_086","CA1173L9T041704","SONOMA COUNTY COMMUNITY DEVELOPMENT COMMISSION","CA","2018-02-15","2018-02-1521500050900",102198
260067698,"ASST_NON_CA1002L9D021705_086","CA1002L9D021705","AMERICAN FAMILY HOUSING","CA","2018-02-15","2018-02-1521500054727",509907
269289276,"ASST_NON_OR0221L0E011701_086","OR0221L0E011701","THE SALVATION ARMY","CA","2018-02-15","2018-02-1521500002689",150484
