"internal_id","generated_internal_id","award_id","recipient_name","recipient_state","action_date","modification_number","federal_action_obligation"
266835527,"ASST_NON_FL0929L4D062100_086","FL0929L4D062100","SOUTHWEST FLORIDA REGIONAL COALITION TO END HOMELESSNESS, INC.","FL","2023-01-04","2023-01-04230040281152",67811
266807360,"ASST_NON_FL0124L4H102013_086","FL0124L4H102013","CHANGING HOMELESSNESS, INC.","FL","2023-01-17","2023-01-17230170014884",-8686.09
266835465,"ASST_NON_FL0911L4H192100_086","FL0911L4H192100","COALITION FOR THE HOMELESS OF PASCO COUNTY, INC","FL","2023-01-17","2023-01-17230170015364",75031
266835524,"ASST_NON_FL0927L4D052100_086","FL0927L4D052100","COUNTY OF PALM BEACH","FL","2023-01-17","2023-01-17230170013736",236845
266835287,"ASST_NON_FL0892L4H072100_086","FL0892L4H072100","HOMELESS SERVICES NETWORK OF CENTRAL FLORIDA, INC.","FL","2023-01-17","2023-01-17230170015361",238050
266835478,"ASST_NON_FL0918L4D002100_086","FL0918L4D002100","MIAMI-DADE COUNTY","FL","2023-01-19","2023-01-19230190015712",655816
266835477,"ASST_NON_FL0917L4D002100_086","FL0917L4D002100","MIAMI-DADE COUNTY","FL","2023-01-19","2023-01-19230190015708",1031249
266835267,"ASST_NON_FL0884L4H032100_086","FL0884L4H032100","COMMUNITY ASSISTED & SUPPORTED LIVING INC","FL","2023-01-19","2023-01-19230190017627",184800
266835266,"ASST_NON_FL0883L4H032100_086","FL0883L4H032100","HOMELESS COALITION OF POLK COUNTY, INC.","FL","2023-01-19","2023-01-19230190017623",108313
266835519,"ASST_NON_FL0924L4D032100_086","FL0924L4D032100","COUNTY OF LEE","FL","2023-01-23","2023-01-23230230015404",99878
266820245,"ASST_NON_FL0412L4H072004_086","FL0412L4H072004","COUNTY OF OSCEOLA","FL","2023-01-25","2023-01-25230250019995",-139421.95
266835523,"ASST_NON_FL0926L4D042100_086","FL0926L4D042100","MONROE COUNTY HOMELESS SERVICES CONTINUUM-OF-CARE, INC.","FL","2023-01-25","2023-01-25230250017801",18462
266830906,"ASST_NON_FL0734L4H111901_086","FL0734L4H111901","90WORKS, INC.","FL","2023-01-25","2023-01-25230250019710",-6532.07
266805600,"ASST_NON_FL0106L4H072013_086","FL0106L4H072013","ORANGE COUNTY, FLORIDA","FL","2023-01-25","2023-01-25230250020000",-249362.17
266835464,"ASST_NON_FL0910L4H182100_086","FL0910L4H182100","UNITED WAY OF SUWANNEE VALLEY, INC.","FL","2023-02-15","2023-02-15230460022265",14357
266835515,"ASST_NON_FL0923L4D032100_086","FL0923L4D032100","COUNTY OF LEE","FL","2023-02-22","2023-02-22230530022030",171458
266835509,"ASST_NON_FL0920L4D012100_086","FL0920L4D012100","BROWARD, COUNTY OF","FL","2023-02-28","2023-02-28230590035354",344462
266807409,"ASST_NON_FL0127L4H102013_086","FL0127L4H102013","I.M. SULZBACHER CENTER FOR THE HOMELESS, INC","FL","2023-03-15","2023-03-15230740017810",-2971.61
266816116,"ASST_NON_FL0307L4H072012_086","FL0307L4H072012","SEMINOLE COUNTY","FL","2023-03-21","2023-03-21230800029262",-20180.07
266835474,"ASST_NON_FL0914L4H202100_086","FL0914L4H202100","MID FLORIDA HOMELESS COALITION, INC.","FL","2023-03-24","2023-03-24230830020763",43727
