"coc_year","state","state_abbr","year","coc_number","coc_name","count_type","total_homeless","homeless_rate_per_10k_estimated","sheltered_homeless","unsheltered_homeless","unsheltered_share_pct","homeless_individuals","homeless_people_in_families","chronically_homeless_individuals","homeless_veterans","homeless_unaccompanied_youth_under_25","pit_count_caution_flag","estimated_coc_population","population_denominator_status"
"CA-500 | 2010","California","CA",2010,"CA-500","San Jose/Santa Clara City & County CoC","No 2010 PIT Count",7086,39.6743633961165,2103,4983,70.3217612193057,6078,1008,2270,,,0,1786040,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2011","California","CA",2011,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered and Unsheltered Count",7067,38.999941502847,1898,5169,73.1427762841375,6450,617,2520,667,,0,1812054,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2012","California","CA",2012,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered-Only Count",7053,38.3763010425752,1884,5169,73.2879625691195,6270,783,2617,667,,0,1837853,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2013","California","CA",2013,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered and Unsheltered Count",7631,40.8856503743788,1957,5674,74.3546062115057,6564,1067,2509,718,,0,1866425,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2014","California","CA",2014,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered-Only Count",7567,39.9999365667717,1893,5674,74.9834809039249,6681,886,2513,813,,0,1891753,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2015","California","CA",2015,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered and Unsheltered Count",6556,34.2120300477225,1929,4627,70.5765710799268,5648,908,2169,703,882,0,1916285,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2016","California","CA",2016,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered-Only Count",6524,33.8317167677539,1897,4627,70.9227467811159,5585,939,2095,701,885,0,1928368,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2017","California","CA",2017,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered and Unsheltered Count",7394,38.2611215465897,1946,5448,73.6813632675142,6319,1075,2018,660,2530,0,1932510,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2018","California","CA",2018,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered-Only Count",7254,37.5400357184073,1806,5448,75.1033912324235,6267,987,2056,658,2517,0,1932337,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2019","California","CA",2019,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered and Unsheltered Count",9706,50.3461884003544,1784,7922,81.6196167319184,8785,921,2353,653,1868,0,1927852,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2020","California","CA",2020,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered-Only Count",9605,49.7320784591495,1683,7922,82.4778761061947,8802,803,2381,613,1848,0,1931349,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2021","California","CA",2021,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered-Only Count",2301,12.2229257679036,2301,0,,1650,651,872,167,85,1,1882528,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2022","California","CA",2022,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered and Unsheltered Count",10028,53.3361416184126,2320,7708,76.8647786198644,9130,898,2703,660,1155,0,1880151,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2023","California","CA",2023,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered and Unsheltered Count",9903,52.3863758393167,2502,7401,74.7349288094517,8677,1226,3485,479,764,0,1890377,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2024","California","CA",2024,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered-Only Count",10394,54.4784607240383,2993,7401,71.2045410813931,9019,1375,3710,450,772,0,1907910,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-500 | 2025","California","CA",2025,"CA-500","San Jose/Santa Clara City & County CoC","Sheltered and Unsheltered Count",10711,55.9499078296962,3239,7472,69.7600597516572,9032,1679,4097,378,349,0,1914391,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2010","California","CA",2010,"CA-501","San Francisco CoC","No 2010 PIT Count",5823,72.290054065462,2881,2942,50.5237849905547,5309,514,2816,,,0,805505,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2011","California","CA",2011,"CA-501","San Francisco CoC","Sheltered and Unsheltered Count",5669,69.5028504873414,2298,3371,59.4637502204974,5034,635,1738,919,,0,815650,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2012","California","CA",2012,"CA-501","San Francisco CoC","Sheltered and Unsheltered Count",5895,71.1204088428185,2524,3371,57.1840542832909,5177,718,1818,774,,0,828876,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2013","California","CA",2013,"CA-501","San Francisco CoC","Sheltered and Unsheltered Count",7008,83.4711019424183,2693,4315,61.5724885844749,6329,679,1977,716,,0,839572,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2014","California","CA",2014,"CA-501","San Francisco CoC","Sheltered-Only Count",6408,75.321774904496,2093,4315,67.3377028714107,5776,632,2136,720,,0,850750,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2015","California","CA",2015,"CA-501","San Francisco CoC","Sheltered and Unsheltered Count",6775,78.5043047009884,2417,4358,64.3247232472325,6175,600,1574,557,1473,0,863010,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2016","California","CA",2016,"CA-501","San Francisco CoC","Sheltered-Only Count",6996,80.2742819375981,2638,4358,62.292738707833,6309,687,1805,580,1488,0,871512,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2017","California","CA",2017,"CA-501","San Francisco CoC","Sheltered and Unsheltered Count",6858,78.1057810578106,2505,4353,63.4733158355206,6257,601,2112,684,1274,0,878040,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2018","California","CA",2018,"CA-501","San Francisco CoC","Sheltered-Only Count",6857,77.8588752532088,2504,4353,63.4825725535949,6211,646,1732,656,1292,0,880696,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2019","California","CA",2019,"CA-501","San Francisco CoC","Sheltered and Unsheltered Count",8035,91.1463798382166,2855,5180,64.4679527069073,7404,631,2855,608,1145,0,881549,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2020","California","CA",2020,"CA-501","San Francisco CoC","Sheltered-Only Count",8124,92.8309674234607,2944,5180,63.7616937469227,7609,515,2754,699,1178,0,875139,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2021","California","CA",2021,"CA-501","San Francisco CoC","Sheltered-Only Count",4000,49.0094576000804,4000,0,,3411,589,1600,333,179,1,816169,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2022","California","CA",2022,"CA-501","San Francisco CoC","Sheltered and Unsheltered Count",7754,95.3439588031468,3357,4397,56.706216146505,7149,605,2648,605,1073,0,813266,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2023","California","CA",2023,"CA-501","San Francisco CoC","Sheltered-Only Count*",7582,92.8113439895413,3185,4397,57.9926140859931,6958,624,2487,548,1113,0,816926,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2024","California","CA",2024,"CA-501","San Francisco CoC","Sheltered and Unsheltered Count",8323,101.383162087594,3969,4354,52.3128679562658,7220,1103,2899,587,1118,0,820945,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-501 | 2025","California","CA",2025,"CA-501","San Francisco CoC","Sheltered-Only Count",8671,104.965747827992,4317,4354,50.213354861031,7443,1228,3052,580,1118,0,826079,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-502 | 2010","California","CA",2010,"CA-502","Oakland, Berkeley/Alameda County CoC","No 2010 PIT Count",4341,28.691607192664,2378,1963,45.2199953927666,2771,1570,1026,,,0,1512986,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-502 | 2011","California","CA",2011,"CA-502","Oakland, Berkeley/Alameda County CoC","Sheltered and Unsheltered Count",4178,27.2908685328709,1966,2212,52.9439923408329,3042,1136,1116,488,,0,1530915,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-502 | 2012","California","CA",2012,"CA-502","Oakland, Berkeley/Alameda County CoC","Sheltered-Only Count",4257,27.3979832201029,2045,2212,51.9614752172892,3208,1049,1041,440,,0,1553764,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-502 | 2013","California","CA",2013,"CA-502","Oakland, Berkeley/Alameda County CoC","Sheltered and Unsheltered Count",4264,26.9942953659582,1927,2337,54.8076923076923,2922,1342,931,492,,0,1579593,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-502 | 2014","California","CA",2014,"CA-502","Oakland, Berkeley/Alameda County CoC","Sheltered-Only Count",4272,26.5706011722909,1935,2337,54.7050561797753,3162,1110,959,538,,0,1607792,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-502 | 2015","California","CA",2015,"CA-502","Oakland, Berkeley/Alameda County CoC","Sheltered and Unsheltered Count",4040,24.7164642241416,1643,2397,59.3316831683168,3055,985,660,388,299,0,1634538,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-502 | 2016","California","CA",2016,"CA-502","Oakland, Berkeley/Alameda County CoC","Sheltered-Only Count",4145,25.1067567158303,1748,2397,57.8287092882992,3148,997,668,401,271,0,1650950,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-502 | 2017","California","CA",2017,"CA-502","Oakland, Berkeley/Alameda County CoC","Sheltered and Unsheltered Count",5629,33.905635238249,1766,3863,68.6267543080476,4918,711,1620,531,991,0,1660196,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-502 | 2018","California","CA",2018,"CA-502","Oakland, Berkeley/Alameda County CoC","Sheltered-Only Count",5496,32.9742325811336,1633,3863,70.287481804949,4801,695,1625,526,935,0,1666756,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-502 | 2019","California","CA",2019,"CA-502","Oakland, Berkeley/Alameda County CoC","Sheltered and Unsheltered Count",8022,47.9977311468897,1710,6312,78.6836200448766,7498,524,2103,692,731,0,1671329,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-502 | 2020","California","CA",2020,"CA-502","Oakland, Berkeley/Alameda County CoC","Sheltered-Only Count",8137,48.42043000579,1825,6312,77.5715865798206,7646,491,2311,722,768,0,1680489,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-502 | 2021","California","CA",2021,"CA-502","Oakland, Berkeley/Alameda County CoC","Sheltered-Only Count",2546,15.4840279150385,2546,0,,2080,466,859,125,149,1,1644275,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-502 | 2022","California","CA",2022,"CA-502","Oakland, Berkeley/Alameda County CoC","Sheltered and Unsheltered Count",9747,59.6826477615486,2612,7135,73.2020108751411,8903,844,2601,550,832,0,1633138,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-502 | 2023","California","CA",2023,"CA-502","Oakland, Berkeley/Alameda County CoC","Sheltered-Only Count*",9759,59.7591630410488,2624,7135,73.1119991802439,8949,810,2684,552,863,0,1633055,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-502 | 2024","California","CA",2024,"CA-502","Oakland, Berkeley/Alameda County CoC","Sheltered and Unsheltered Count",9450,57.7408127951197,3107,6343,67.1216931216931,8751,699,3629,524,397,0,1636624,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-502 | 2025","California","CA",2025,"CA-502","Oakland, Berkeley/Alameda County CoC","Sheltered-Only Count",9262,56.5918992075179,2919,6343,68.4841286979054,8566,696,3669,510,388,0,1636630,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-503 | 2010","California","CA",2010,"CA-503","Sacramento City & County CoC","Sheltered-Only Count",2734,19.2347875273589,1540,1194,43.6722750548647,2163,571,432,,,0,1421383,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-503 | 2011","California","CA",2011,"CA-503","Sacramento City & County CoC","Sheltered and Unsheltered Count",2376,16.572157937687,1421,955,40.1936026936027,1772,604,353,297,,0,1433730,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-503 | 2012","California","CA",2012,"CA-503","Sacramento City & County CoC","Sheltered-Only Count",2812,19.4622009728332,1857,955,33.9615931721195,1985,827,454,329,,0,1444852,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-503 | 2013","California","CA",2013,"CA-503","Sacramento City & County CoC","Sheltered and Unsheltered Count",2538,17.4152789223661,1752,786,30.9692671394799,1737,801,432,302,,0,1457341,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-503 | 2014","California","CA",2014,"CA-503","Sacramento City & County CoC","Sheltered-Only Count",2449,16.6043241755299,1663,786,32.0947325438955,1683,766,420,277,,0,1474917,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-503 | 2015","California","CA",2015,"CA-503","Sacramento City & County CoC","Sheltered and Unsheltered Count",2659,17.8017425489096,1711,948,35.6525009402031,1925,734,466,313,246,0,1493674,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-503 | 2016","California","CA",2016,"CA-503","Sacramento City & County CoC","Sheltered-Only Count",2500,16.5454765659797,1552,948,37.92,1921,579,507,308,250,0,1510987,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-503 | 2017","California","CA",2017,"CA-503","Sacramento City & County CoC","Sheltered and Unsheltered Count",3665,23.9965795871279,1613,2052,55.9890859481583,3076,589,1091,469,205,0,1527301,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-503 | 2018","California","CA",2018,"CA-503","Sacramento City & County CoC","Sheltered-Only Count",3621,23.5321489056673,1569,2052,56.6694283347142,3104,517,1158,492,239,0,1538746,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-503 | 2019","California","CA",2019,"CA-503","Sacramento City & County CoC","Sheltered and Unsheltered Count",5561,35.8298465650124,1661,3900,70.131271354073,4429,1132,1412,667,371,0,1552058,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-503 | 2020","California","CA",2020,"CA-503","Sacramento City & County CoC","Sheltered-Only Count",5511,34.730953276753,1611,3900,70.7675557974959,4363,1148,1442,646,395,0,1586769,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-503 | 2021","California","CA",2021,"CA-503","Sacramento City & County CoC","Sheltered-Only Count",1885,11.8632398161796,1885,0,,1325,560,604,127,178,1,1588942,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-503 | 2022","California","CA",2022,"CA-503","Sacramento City & County CoC","Sheltered and Unsheltered Count",9278,58.3996923284155,2614,6664,71.825824531149,7901,1377,3955,625,553,0,1588707,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-503 | 2023","California","CA",2023,"CA-503","Sacramento City & County CoC","Sheltered-Only Count*",9281,58.128428691055,2617,6664,71.8026074776425,7996,1285,4003,624,542,0,1596637,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-503 | 2024","California","CA",2024,"CA-503","Sacramento City & County CoC","Sheltered and Unsheltered Count",6615,41.0895852343349,2671,3944,59.6220710506425,5535,1080,1341,318,360,0,1609897,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-503 | 2025","California","CA",2025,"CA-503","Sacramento City & County CoC","Sheltered-Only Count",6995,43.220098117964,3051,3944,56.3831308077198,5789,1206,1578,438,385,0,1618460,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-504 | 2010","California","CA",2010,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","Sheltered-Only Count",3345,69.0039298202185,1123,2222,66.4275037369208,2770,575,1025,,,0,484755,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-504 | 2011","California","CA",2011,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","Sheltered and Unsheltered Count",4541,93.1638152644223,1175,3366,74.1246421493063,3974,567,1015,404,,0,487421,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-504 | 2012","California","CA",2012,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","Sheltered-Only Count",4483,91.4911029341235,1117,3366,75.0836493419585,3890,593,1014,384,,0,489993,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-504 | 2013","California","CA",2013,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","Sheltered and Unsheltered Count",4280,86.6268749759651,971,3309,77.3130841121495,3829,451,1148,400,,0,494073,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-504 | 2014","California","CA",2014,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","Sheltered-Only Count",4266,85.566431322208,957,3309,77.5668073136428,3816,450,1219,421,,0,498560,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-504 | 2015","California","CA",2015,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","Sheltered and Unsheltered Count",3097,61.8332757660278,1037,2060,66.5159832095576,2730,367,702,215,678,0,500863,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-504 | 2016","California","CA",2016,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","Sheltered and Unsheltered Count",2906,57.8254372227871,1000,1906,65.5884377150723,2517,389,699,274,664,0,502547,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-504 | 2017","California","CA",2017,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","Sheltered and Unsheltered Count",2835,56.4213911704006,988,1847,65.1499118165785,2509,326,577,211,532,0,502469,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-504 | 2018","California","CA",2018,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","Sheltered and Unsheltered Count",2996,60.0830654396031,1067,1929,64.3858477970628,2657,339,715,207,505,0,498643,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-504 | 2019","California","CA",2019,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","Sheltered and Unsheltered Count",2951,59.6962389953392,994,1957,66.3165028803795,2672,279,653,210,657,0,494336,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-504 | 2020","California","CA",2020,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","Sheltered and Unsheltered Count",2745,56.1908154116361,1043,1702,62.0036429872495,2510,235,518,139,358,0,488514,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-504 | 2021","California","CA",2021,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","Sheltered-Only Count",787,16.2325943068352,787,0,,605,182,224,32,22,1,484827,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-504 | 2022","California","CA",2022,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","Sheltered and Unsheltered Count",2893,59.8672284349676,805,2088,72.1742136190805,2738,155,711,191,521,0,483236,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-504 | 2023","California","CA",2023,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","Sheltered and Unsheltered Count",2266,46.8758080698379,975,1291,56.972639011474,2063,203,539,110,294,0,483405,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-504 | 2024","California","CA",2024,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","Sheltered and Unsheltered Count",2522,51.9611095200911,945,1577,62.5297383029342,2324,198,579,162,151,0,485363,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-504 | 2025","California","CA",2025,"CA-504","Santa Rosa, Petaluma/Sonoma County CoC","Sheltered and Unsheltered Count",1952,40.1279489519862,829,1123,57.530737704918,1743,209,716,99,123,0,486444,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-505 | 2010","California","CA",2010,"CA-505","Richmond/Contra Costa County CoC","No 2010 PIT Count",2759,26.2127805119045,887,1872,67.8506705328017,2365,394,940,,,0,1052540,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-505 | 2011","California","CA",2011,"CA-505","Richmond/Contra Costa County CoC","Sheltered and Unsheltered Count",2415,22.6666916954498,925,1490,61.6977225672878,1948,467,719,77,,0,1065440,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-505 | 2012","California","CA",2012,"CA-505","Richmond/Contra Costa County CoC","Sheltered-Only Count",2386,22.1428650974249,896,1490,62.4476110645432,1960,426,721,82,,0,1077548,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-505 | 2013","California","CA",2013,"CA-505","Richmond/Contra Costa County CoC","Sheltered and Unsheltered Count",2000,18.2915508582853,671,1329,66.45,1703,297,714,188,,0,1093401,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-505 | 2014","California","CA",2014,"CA-505","Richmond/Contra Costa County CoC","Sheltered-Only Count",2009,18.1174450524675,680,1329,66.1523145843703,1660,349,716,176,,0,1108876,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-505 | 2015","California","CA",2015,"CA-505","Richmond/Contra Costa County CoC","Sheltered and Unsheltered Count",2031,18.0628865933538,704,1327,65.3372722796652,1634,397,551,122,140,0,1124405,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-505 | 2016","California","CA",2016,"CA-505","Richmond/Contra Costa County CoC","Sheltered and Unsheltered Count",1730,15.2118937664649,620,1110,64.1618497109827,1366,364,346,136,91,0,1137268,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-505 | 2017","California","CA",2017,"CA-505","Richmond/Contra Costa County CoC","Sheltered and Unsheltered Count",1607,14.028379752692,696,911,56.6894835096453,1352,255,311,99,61,0,1145535,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-505 | 2018","California","CA",2018,"CA-505","Richmond/Contra Costa County CoC","Sheltered and Unsheltered Count",2234,19.4173238338524,697,1537,68.8003581020591,1955,279,492,102,133,0,1150519,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-505 | 2019","California","CA",2019,"CA-505","Richmond/Contra Costa County CoC","Sheltered and Unsheltered Count",2295,19.8955203437114,668,1627,70.8932461873638,1976,319,454,114,116,0,1153526,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-505 | 2020","California","CA",2020,"CA-505","Richmond/Contra Costa County CoC","Sheltered and Unsheltered Count",2277,19.5241324965766,707,1570,68.9503732981994,2016,261,650,117,68,0,1166249,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-505 | 2021","California","CA",2021,"CA-505","Richmond/Contra Costa County CoC","Sheltered-Only Count",820,7.04243496483077,820,0,,650,170,351,34,37,1,1164370,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-505 | 2022","California","CA",2022,"CA-505","Richmond/Contra Costa County CoC","Sheltered and Unsheltered Count",3093,26.6600469072018,764,2329,75.2990623989654,2880,213,1510,130,209,0,1160163,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-505 | 2023","California","CA",2023,"CA-505","Richmond/Contra Costa County CoC","Sheltered and Unsheltered Count",2372,20.4139065865831,719,1653,69.6880269814502,2047,325,1494,110,84,0,1161953,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-505 | 2024","California","CA",2024,"CA-505","Richmond/Contra Costa County CoC","Sheltered and Unsheltered Count",2843,24.308827276505,884,1959,68.9060851213507,2515,328,1545,146,155,0,1169534,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-505 | 2025","California","CA",2025,"CA-505","Richmond/Contra Costa County CoC","Sheltered and Unsheltered Count",2118,18.1014811079679,840,1278,60.3399433427762,1825,293,1238,69,79,0,1170070,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-506 | 2010","California","CA",2010,"CA-506","Salinas/Monterey, San Benito Counties CoC","No 2010 PIT Count",2407,51.0077581804196,779,1628,67.6360614873286,1909,498,656,,,0,471889,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-506 | 2011","California","CA",2011,"CA-506","Salinas/Monterey, San Benito Counties CoC","Sheltered and Unsheltered Count",2699,56.6501480795831,788,1911,70.8040014820304,2115,584,792,296,,0,476433,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-506 | 2012","California","CA",2012,"CA-506","Salinas/Monterey, San Benito Counties CoC","Sheltered-Only Count",2673,55.527049961881,762,1911,71.4927048260382,1761,912,794,290,,0,481387,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-506 | 2013","California","CA",2013,"CA-506","Salinas/Monterey, San Benito Counties CoC","Sheltered and Unsheltered Count",2955,61.0599006924255,749,2206,74.653130287648,2292,663,866,250,,0,483951,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-506 | 2014","California","CA",2014,"CA-506","Salinas/Monterey, San Benito Counties CoC","Sheltered-Only Count",2962,60.9089039687436,756,2206,74.476704929102,2286,676,925,238,,0,486300,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-506 | 2015","California","CA",2015,"CA-506","Salinas/Monterey, San Benito Counties CoC","Sheltered and Unsheltered Count",2959,60.5399698834621,852,2107,71.2064886786076,2506,453,598,176,324,0,488768,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-506 | 2016","California","CA",2016,"CA-506","Salinas/Monterey, San Benito Counties CoC","Sheltered-Only Count",3022,61.2760504320955,915,2107,69.7220383851754,2536,486,631,204,322,0,493178,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-506 | 2017","California","CA",2017,"CA-506","Salinas/Monterey, San Benito Counties CoC","Sheltered and Unsheltered Count",3364,68.0010834893208,850,2514,74.7324613555291,2719,645,900,123,627,0,494698,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-506 | 2018","California","CA",2018,"CA-506","Salinas/Monterey, San Benito Counties CoC","Sheltered-Only Count",3299,66.5903673067335,785,2514,76.2049105789633,2683,616,935,167,623,0,495417,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-506 | 2019","California","CA",2019,"CA-506","Salinas/Monterey, San Benito Counties CoC","Sheltered and Unsheltered Count",2704,54.4207829427877,706,1998,73.8905325443787,2037,667,614,187,325,0,496869,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-506 | 2020","California","CA",2020,"CA-506","Salinas/Monterey, San Benito Counties CoC","Sheltered-Only Count",2683,53.1268192420864,685,1998,74.4688781215058,2012,671,574,199,316,0,505018,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-506 | 2021","California","CA",2021,"CA-506","Salinas/Monterey, San Benito Counties CoC","Sheltered-Only Count",678,13.4056738822673,678,0,,315,363,137,71,10,1,505756,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-506 | 2022","California","CA",2022,"CA-506","Salinas/Monterey, San Benito Counties CoC","Sheltered and Unsheltered Count",2404,47.7402801663363,779,1625,67.5956738768719,1996,408,650,160,214,0,503558,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-506 | 2023","California","CA",2023,"CA-506","Salinas/Monterey, San Benito Counties CoC","Sheltered-Only Count*",2212,44.0309410916966,587,1625,73.4629294755877,2016,196,590,143,216,0,502374,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-506 | 2024","California","CA",2024,"CA-506","Salinas/Monterey, San Benito Counties CoC","Sheltered and Unsheltered Count",3057,60.8319470202893,678,2379,77.8213935230618,2622,435,967,167,257,0,502532,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-506 | 2025","California","CA",2025,"CA-506","Salinas/Monterey, San Benito Counties CoC","Sheltered-Only Count",3047,60.479028842165,668,2379,78.07679684936,2704,343,803,164,272,0,503811,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-507 | 2010","California","CA",2010,"CA-507","Marin County CoC","No 2010 PIT Count",1026,40.5687533609591,597,429,41.812865497076,767,259,135,,,0,252904,"Estimated from county population allocated with ACS 2024 tract shares"
"CA-507 | 2011","California","CA",2011,"CA-507","Marin County CoC","Sheltered and Unsheltered Count",862,33.7541507424347,509,353,40.9512761020882,626,236,224,68,,0,255376,"Estimated from county population allocated with ACS 2024 tract shares"
