"state","state_abbr","coc_number","coc_name","predictor_year","target_year","target_total_homeless","target_estimated_coc_population","target_homeless_rate_per_10k","state_florida","time_index","log_estimated_coc_population","population_density_per_sq_mile_derived","housing_units_per_1000_residents","permits_per_1000_housing_units","multifamily_permit_share_pct","net_migration_rate_per_1000","poverty_all_pct","real_median_household_income_2025_usd","homeownership_rate_pct","housing_cost_burdened_households_pct","income_inequality_top_bottom_quintile_ratio","annual_hpi_change_pct","real_gdp_per_capita_2017_usd","real_state_minimum_wage_2025_usd","medicaid_expansion_status","contains_split_county_flag","contributing_counties","population_allocation_method","target_definition"
"California","CA","CA-501","San Francisco CoC",2011,2012,5895,828876,71.1204088428185,0,1,13.6117418463798,17197.5167712483,463.175381597499,4.81220999023264,95.4895489548955,8.596340264,13.8,99275.5131449025,43.584482181149,42.9863907981398,23.0559173042487,-4.92,136274.054396479,11.4514534873146,0,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-501","San Francisco CoC",2012,2013,7008,839572,83.4711019424183,0,2,13.6278270515773,17476.3794658067,458.236213860698,8.13277833505783,97.5720297831013,11.84414232,14.9,101100.204224447,43.2513836457258,43.3430830567203,24.3255480607083,3.22,147028.879273981,11.2188649909919,0,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-501","San Francisco CoC",2013,2014,6408,850750,75.321774904496,0,3,13.640648708241,17701.898547993,456.319410366234,11.6780166687113,97.228430934287,8.732666526,13.8,106328.866609033,42.7632493696145,43.0140219810504,24.8226683396069,11.04,151532.981605657,11.0567758032609,0,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-501","San Francisco CoC",2014,2015,6775,863010,78.5043047009884,0,4,13.6538747677959,17937.5803262913,455.51101968851,6.99565964606246,95.0202877167097,9.006567979,12.1,113962.125082522,42.763672297193,42.0828678695141,25.1212717141921,15.86,161416.128752203,12.2411219475664,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-501","San Francisco CoC",2015,2016,6996,871512,80.2742819375981,0,5,13.6681827162184,18196.0754597622,452.050381803224,9.39444894443818,94.8976807639836,10.1997946,12.4,122979.031776233,42.5830733072515,40.5478723248764,26.3084855866829,10.81,171066.894020404,12.226311332377,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-501","San Francisco CoC",2016,2017,6858,878040,78.1057810578106,0,6,13.6779860606411,18375.3352986504,451.522182138628,10.3860922423235,95.42451676046,5.9820515393,10.2,136660.355505108,42.8429102526726,38.8342383918296,26.7734999611892,10.49,182365.772038746,13.4147767813952,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-501","San Francisco CoC",2017,2018,6857,880696,77.8588752532088,0,7,13.6854485685657,18512.9744692293,452.685526855269,10.1490404452093,97.5706494794249,3.7952573,10.1,143958.890500091,43.3858440319685,36.9553171269513,26.3579638752052,4.63,196595.541064685,13.7915561924704,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-501","San Francisco CoC",2018,2019,8035,881549,91.1463798382166,0,8,13.6884689184065,18568.9747200041,455.789511931472,12.899464888942,97.5859405175744,-0.018194885,10.1,141813.54047843,43.7417310526341,35.2350596697634,26.2694638387564,7.32,212050.980978735,14.1042933179875,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-501","San Francisco CoC",2019,2020,8124,875139,92.8309674234607,0,9,13.6894370007089,18586.9597403018,461.02145201231,7.87376388058453,96.9375,-1.811325894,9.5,153385.309885951,43.6148627301385,33.9042398,26.18723483,1.48,229643.69552006,15.1124735714226,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-501","San Francisco CoC",2021,2022,7754,813266,95.3439588031468,0,11,13.6123779455812,17208.4595913357,504.619753997028,6.11623022665744,96.5065502183406,-64.39276584,11.4,142313.995585444,43.8712267938967,33.9299834458748,26.7571436591254,0.09,293048.696624639,15.4461823955615,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-501","San Francisco CoC",2022,2023,7582,816926,92.8113439895413,0,12,13.6088147478982,17147.2514859143,510.784909242486,4.84829226487949,95.5809334657398,-4.450622455,10.4,148936.300018482,44.4404573336861,33.6162233330104,28.0773696432341,11.32,279096.245774869,15.4034853675129,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-501","San Francisco CoC",2023,2024,8323,820945,101.383162087594,0,13,13.6133050185649,17224.4205061838,511.556738309223,2.71832765419809,94.7183098591549,4.316056023,11.9,132562.046540103,44.43470748,34.4501850052006,28.399332306112,-1.02,283073.302724406,16.377947020243,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-501","San Francisco CoC",2024,2025,8671,826079,104.965747827992,0,14,13.6182126128244,17309.1588374578,511.355815554026,1.83422861158423,91.5584415584416,4.242092326,11.3,140797.834447212,44.3460706525052,35.5998025621532,29.930123561994,2.58,282708.192854363,16.4214875725696,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-502","Oakland, Berkeley/Alameda County CoC",2011,2012,4257,1553764,27.3979832201029,0,1,14.241376807034,2057.55882626097,381.816103441406,3.715818574987,59.9907918968692,5.134201145,13.2,96328.1953036049,58.066237530051,46.3714679399831,15.8637709093412,-5.24,65168.3138929967,11.4514534873146,0,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-502","Oakland, Berkeley/Alameda County CoC",2012,2013,4264,1579593,26.9942953659582,0,2,14.2561915758232,2088.26801757547,377.559912573595,4.67919793944828,44.4808743169399,8.497480613,13.1,98458.1615190684,56.9765075754411,45.3709059805069,16.2549235642473,0.82,66180.6415823378,11.2188649909919,0,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-502","Oakland, Berkeley/Alameda County CoC",2013,2014,4272,1607792,26.5706011722909,0,3,14.2726784099574,2122.98234653789,373.103704561871,5.22777559081839,51.671535215839,10.1501361,13,99687.8906421999,56.1834802090318,44.0830085919527,16.6737352737353,13.74,67483.2116990958,11.0567758032609,0,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-502","Oakland, Berkeley/Alameda County CoC",2014,2015,4040,1634538,24.7164642241416,0,4,14.2903729890912,2160.88196953573,368.453133241116,5.80355032782126,51.7742873763816,11.19036452,12.5,104724.158386091,55.5761110099352,43.1141674346702,17.0068041237113,15.94,68900.1674568848,12.2411219475664,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-502","Oakland, Berkeley/Alameda County CoC",2015,2016,4145,1650950,25.1067567158303,0,5,14.3068713653695,2196.82875192872,364.482196192441,8.56217268698805,60.909625563615,10.41103157,11.5,110664.419306455,55.1505612099275,41.7445876737304,17.0932733015254,9.3,72593.1113265571,12.226311332377,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-502","Oakland, Berkeley/Alameda County CoC",2016,2017,5629,1660196,33.905635238249,0,6,14.3168620434794,2218.88657712254,363.709985160059,9.47928862035715,55.9908643710471,3.989666071,10.7,120024.6908185,55.0666480941196,40.4505795497832,17.1492988550109,11.43,74221.8607070234,13.4147767813952,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-502","Oakland, Berkeley/Alameda County CoC",2017,2018,5496,1666756,32.9742325811336,0,7,14.3224468279902,2231.31325587846,365.001481752757,15.2778832095106,70.1339382155973,-0.196910677,9.3,125503.161351481,55.383130713269,39.361650472342,16.7398186021697,7.03,78010.7628881024,13.7915561924704,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-502","Oakland, Berkeley/Alameda County CoC",2018,2019,8022,1671329,47.9977311468897,0,8,14.3263903802615,2240.12993472756,368.998221695317,13.0985480383071,72.2939424031778,-0.945009125,9,130457.019940484,55.5165283614619,38.46463008,16.5491812287065,8.99,80625.0392765498,14.1042933179875,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-502","Oakland, Berkeley/Alameda County CoC",2019,2020,8137,1680489,48.42043000579,0,9,14.3291302746146,2246.27607380941,372.710579425116,10.2773702004424,66.7447672602312,-1.848964301,8.9,135494.659922982,55.9187357971939,37.9430067508321,16.682189499974,1.15,82807.6429482166,15.1124735714226,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-502","Oakland, Berkeley/Alameda County CoC",2021,2022,9747,1633138,59.6826477615486,0,11,14.3128107237191,2209.9153375924,383.014398443083,7.9789641160975,70.4676616915423,-23.38150918,9.4,129475.841678979,56.7353243200115,37.4007702724091,17.085226741468,9.81,88708.9745087161,15.4461823955615,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-502","Oakland, Berkeley/Alameda County CoC",2022,2023,9759,1633055,59.7591630410488,0,12,14.3060144877423,2194.94714363776,390.46241040255,7.96011786494459,72.9511426319937,-10.84208795,10.1,133339.17083492,57.2122009711819,37.3662757074742,18.0392554693013,13.19,90947.6986207069,15.4034853675129,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-502","Oakland, Berkeley/Alameda County CoC",2023,2024,9450,1636624,57.7408127951197,0,13,14.3059636640774,2194.83559114622,394.957303948734,4.47140795085792,63.4188626907073,-3.754830165,9.5,125983.395046682,57.2541318811582,38.0931756650659,18.6158760305607,-0.29,90087.7353733681,16.377947020243,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-502","Oakland, Berkeley/Alameda County CoC",2024,2025,9262,1636630,56.5918992075179,0,14,14.3081467525301,2199.63234828226,397.407101447859,2.67986457689505,49.1107286288009,-1.415429466,8.8,131403.717212729,57.8980874742051,38.3240904506954,19.1775407509354,1.41,90399.0849332347,16.4214875725696,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-503","Sacramento City & County CoC",2011,2012,2812,1444852,19.4622009728332,0,1,14.1757906953763,1441.85850538417,388.638725561996,2.30795598731522,42.0684292379471,1.686798386,17.7,74772.265545421,59.7135140034442,46.8141433905005,12.4309153713299,-9.77,52982.0649802612,11.4514534873146,0,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-503","Sacramento City & County CoC",2012,2013,2538,1457341,17.4152789223661,0,2,14.18351814425,1453.04356135488,386.505330649783,2.7684114582867,20.2457956015524,1.644559717,19.5,73787.8774038773,58.0044773272565,46.2678886639474,12.9701369038664,0.6,52841.4283872916,11.2188649909919,0,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-503","Sacramento City & County CoC",2013,2014,2449,1474917,16.6043241755299,0,3,14.1921247865278,1465.60336750648,384.2237334982,3.39497629231442,5.8916359810626,2.590454873,18.9,73223.497757095,57.040485346997,45.2936124062918,13.6276436826795,17.32,53915.9619782031,11.0567758032609,0,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-503","Sacramento City & County CoC",2014,2015,2659,1493674,17.8017425489096,0,4,14.2041129529904,1483.27901430932,380.938724009554,3.13427177571358,4.03180011357183,6.032211354,18.1,75899.0364488942,56.266179542176,43.8744334396508,14.3481797680412,15.3,54512.8118167889,12.2411219475664,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-503","Sacramento City & County CoC",2015,2016,2500,1510987,16.5454765659797,0,5,14.2167500841964,1502.14235676954,377.332001494302,5.34056290597593,21.6943521594684,6.873294435,16.9,79790.2662341293,55.8725427380834,42.2675368009008,14.8467093385853,6.23,55621.5065361688,12.226311332377,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-503","Sacramento City & County CoC",2016,2017,3665,1527301,23.9965795871279,0,6,14.2282742994629,1519.5535124988,374.815931573203,5.91515374102574,16.6865671641791,6.04926812,16.3,80123.7787599175,55.8292990319739,40.814800971781,15.1199904007679,9.46,55218.7756672755,13.4147767813952,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-503","Sacramento City & County CoC",2017,2018,3621,1538746,23.5321489056673,0,7,14.2390133380581,1535.96000441627,372.960536266263,8.47578135012104,33.6164043082022,5.615004239,14.1,82695.4844115949,56.4209968006365,40.059958742216,15.0370873933077,9.66,56205.4901828984,13.7915561924704,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-503","Sacramento City & County CoC",2018,2019,5561,1552058,35.8298465650124,0,8,14.2464790068445,1547.46989162943,373.274731502145,8.1253536452666,22.2841225626741,3.025393936,14.3,89081.4343879255,57.0483884647436,39.2888101356898,15.03910574,6.84,57930.7140391428,14.1042933179875,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-503","Sacramento City & County CoC",2019,2020,5511,1586769,34.730953276753,0,9,14.2550929944666,1560.85736376413,373.01247762648,9.65217286164125,26.7895490336435,4.204731196,12.6,90537.5697935951,57.5453914872096,38.8261199352436,14.5369947629918,4.35,59724.2754751864,15.1124735714226,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-503","Sacramento City & County CoC",2021,2022,9278,1588707,58.3996923284155,0,11,14.2785795732581,1597.95047691136,373.402553397166,10.5087516749113,31.0344827586207,-1.973731237,13,94591.2328225421,59.0736132004726,38.2974476913133,14.02197349,16.03,61345.188642669,15.4461823955615,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-503","Sacramento City & County CoC",2022,2023,9281,1596637,58.128428691055,0,12,14.2784316652591,1597.71414458326,376.61444180708,8.67581434994067,26.5266807936814,-2.520102126,12.2,92404.408470755,60.0595696360935,38.2324579643085,14.1520047875524,14.27,62633.9357592764,15.4034853675129,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-503","Sacramento City & County CoC",2023,2024,6615,1609897,41.0895852343349,0,13,14.2834107264868,1605.68910356975,377.897418135744,11.4855850107315,39.97113997114,2.142311788,11.9,95080.8506238415,60.6318098025867,38.3283641244134,14.1939465936677,-0.94,64142.6686384372,16.377947020243,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-503","Sacramento City & County CoC",2024,2025,6995,1618460,43.220098117964,0,14,14.2916813809164,1619.02428089142,378.304326301621,11.0782538163082,25.9670964873277,5.630378471,12,95789.6160397185,61.08239503,38.7930354325061,14.36570006602,3.64,66194.6741342489,16.4214875725696,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-504","Santa Rosa, Petaluma/Sonoma County CoC",2011,2012,4483,489993,91.4911029341235,0,1,13.0968855566187,306.67477176914,420.720485986447,3.08190453898219,23.8924050632911,2.555092905,12.2,87019.595050104,61.3184414917517,47.8288031503969,12.7592101942972,-7.53,49716.4479452645,11.4514534873146,0,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-504","Santa Rosa, Petaluma/Sonoma County CoC",2012,2013,4280,494073,86.6268749759651,0,2,13.1021484251139,308.293018650153,419.673342272237,2.7232453303637,42.5,2.971105386,12.1,83938.1455044772,60.566740985493,47.4553347804308,12.9094600596409,-0.37,50535.2204200989,11.2188649909919,0,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-504","Santa Rosa, Petaluma/Sonoma County CoC",2013,2014,4266,498560,85.566431322208,0,3,13.1104405825224,310.860066579598,417.241986508067,5.07402448726158,56.5009560229445,5.993500436,12.4,84335.5574393722,59.2929343705361,46.2457545552102,12.8186413902054,13.85,51500.440944818,11.0567758032609,0,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-504","Santa Rosa, Petaluma/Sonoma County CoC",2014,2015,3097,500863,61.8332757660278,0,4,13.1194812279991,313.683190123574,415.488607188703,3.20064109372134,34.9924585218703,7.037847825,11.3,91058.9859186248,58.8241879905955,45.414909584733,13.3376606766004,16.81,53127.6416129668,12.2411219475664,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-504","Santa Rosa, Petaluma/Sonoma County CoC",2015,2016,2906,502547,57.8254372227871,0,5,13.12408988613,315.1321880112,414.822017198316,2.988896322358,24.1545893719807,2.679546098,11,90288.5922315303,58.4528770718743,43.69568189898,13.5620775969962,7.35,55430.8692162502,12.226311332377,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-504","Santa Rosa, Petaluma/Sonoma County CoC",2016,2017,2835,502469,56.4213911704006,0,6,13.1274464367415,316.19172446051,414.53635182381,4.41139763061385,27.6387377584331,1.670304263,9.4,98593.2434325425,58.7219778174552,42.182978931311,13.8329979879276,8.98,56640.5183643912,13.4147767813952,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-504","Santa Rosa, Petaluma/Sonoma County CoC",2017,2018,2996,498643,60.0830654396031,0,7,13.1272912156406,316.142648544212,416.362004422163,5.63073290346018,27.7589134125637,-1.393012649,9.3,104436.230897097,59.6905677999655,41.3187026607108,14.0437584207135,7.71,57610.2507786918,13.7915561924704,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-504","Santa Rosa, Petaluma/Sonoma County CoC",2018,2019,2951,494336,59.6962389953392,0,8,13.1196476932699,313.735411931943,411.344388670853,15.9862320465692,0.853918877706618,-8.246829526,9.9,103861.451576693,60.25392329,40.5138917450456,14.1301755363611,8.59,60954.9396875738,14.1042933179875,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
"California","CA","CA-504","Santa Rosa, Petaluma/Sonoma County CoC",2019,2020,2745,488514,56.1908154116361,0,9,13.1109727498216,311.025540502501,421.38343151217,11.6607858668779,14.4092219020173,-8.936744886,7.2,109671.220707814,60.9571947366707,39.8221803738217,13.5880848887752,0.13,62136.501970121,15.1124735714226,1,0,1,"FY2024 CoC boundaries and ACS 2024 tract-population shares","Next-year PIT homelessness per 10,000 estimated CoC residents"
