,total_homeless,sheltered_homeless,unsheltered_homeless,homeless_rate_per_10k,shelter_beds_per_10k,psh_beds_per_10k,state_homeless_funding_musd,state_homeless_funding_per_capita,anticamping_strictness,medicaid_expansion,tanf_max_benefit_3person,ssi_state_supplement,minimum_wage,personal_income_per_capita,median_household_income,poverty_rate,labor_force_participation,unemployment_rate,substance_use_disorder_rate,serious_mental_illness_rate,uninsured_rate,high_school_graduation_rate,average_student_debt_per_borrower,avrg_in-state_tution,state_population,population_density,population_growth_rate_pct,pct_age_18_24,pct_age_65plus,avg_household_size,avg_temp_f,precip_in,cooling_degree_days,median_rent,median_home_price,rent_as_pct_income,rental_vacancy_rate,homeownership_rate,housing_units_per_capita,new_housing_permits,housing_supply_growth_rate,eviction_filing_rate
Florida 2011,56687,20824,35863,29.75,12.581,6.185,10,0.52,1,0,303,0,$7.25,"$40,437.00","$45,110.00",17,61.08,10.2,7.60%,3.80%,20.50%,72.00%,"$22,500","$4,400",19055607,355.4,1.14,9.4,17.6,2.62,69.4,48.13,3390,1002,114997.5,45.13,14.9,69,,43677,,5.76
Florida 2012,55170,19832,35338,28.58,12.057,7.197,10,0.52,1,0,303,0,$7.67,"$41,211.00","$46,070.00",17.2,60.51,8.7,7.70%,3.80%,19.80%,73.00%,"$23,000","$4,600",19302016,360.2,1.36,9.4,18.2,2.62,72.1,43.66,3699,1002,126600,45.13,13.1,67,,63844,,5.7
Florida 2013,47862,19670,28192,24.48,11.988,7.463,10,0.51,1,0,303,0,$7.79,"$40,743.00","$48,530.00",17.1,60.09,7.5,7.80%,3.80%,19.00%,74.00%,"$23,500","$4,800",19551678,364.6,1.22,9.2,18.6,2.65,72.3,54.76,3627,1002,145858,45.13,10.3,66.1,,86895,,5.57
Florida 2014,41542,19851,21691,20.92,11.24,7.929,11,0.55,1,0,303,0,$7.93,"$42,877.00","$46,140.00",16.6,59.87,6.5,7.90%,3.90%,17.50%,75.00%,"$24,000","$5,000",19853880,371,1.74,9,19.1,2.66,70.9,59.98,3506,1002,155416.5,45.13,10.1,64.9,,84951,,5.28
Florida 2015,35900,18883,17017,17.76,10.894,8.047,11,0.54,1,0,303,0,$8.05,"$44,957.00","$48,830.00",15.8,59.33,5.5,8.00%,3.90%,16.00%,76.00%,"$24,500","$5,200",20219111,378,1.9,8.8,19.5,2.66,71,58.06,3482,1002,169686.5,45.13,8,64.8,,106021,,4.85
Florida 2016,33559,18198,15361,16.27,10.459,8.128,12,0.58,1,0,303,0,$8.05,"$45,730.00","$51,180.00",14.8,59.35,4.9,8.10%,3.90%,14.50%,77.00%,"$25,000","$5,400",20627237,384.4,1.68,8.6,19.8,2.66,73.2,56.07,4122,1175,186500,43.54,8.1,64.3,,112253,,4.55
Florida 2017,32190,17111,15079,15.35,9.526,8.494,12,0.57,1,0,303,0,$8.10,"$48,447.00","$53,090.00",14.1,59.35,4.3,8.20%,3.90%,13.20%,78.00%,"$25,500","$5,600",20977089,391.3,1.8,8.4,20.1,2.67,73,51.07,3905,1175,202983.5,43.54,8.5,64.1,,117715,,4.38
Florida 2018,31030,17637,13393,14.6,9.2,8.764,13,0.61,1,0,303,0,$8.25,"$51,015.00","$54,640.00",13.7,59.28,3.6,8.30%,4.00%,13.00%,79.00%,"$26,000","$5,800",21254926,397.2,1.5,8.3,20.5,2.67,72.2,57.88,3808,1175,219117,43.54,8.2,65.5,,142546,,4.12
Florida 2019,28328,15852,12476,13.18,8.662,8.63,13,0.6,1,0,303,0,$8.46,"$53,666.00","$58,370.00",12.7,59.5,3.2,8.40%,4.00%,13.20%,80.00%,"$26,500","$6,000",21492056,400.5,0.84,8.2,20.9,2.66,72.6,61.54,3851,,232316.5,,8.4,66,,153041,,
Florida 2020,27487,14815,12672,12.73,8.241,8.263,14,0.65,1,0,303,0,$8.56,"$56,599.00","$57,760.00",12.4,57.53,8,8.50%,4.00%,13.00%,86.10%,"$27,000","$6,200",21591325,,,,,,73.5,49.69,4097,,250562.5,,7.3,68.7,0.4585298031,161531,,
Florida 2021,21121,13393,7728,9.67,7.937,7.965,15,0.69,1,0,303,0,$10.00,"$62,604.00","$59,730.00",13.2,58.02,4.7,8.60%,4.00%,12.80%,87.00%,"$27,500","$6,400",21836698,406.2,,7.9,21.1,2.49,73,58.2,4032,1301,299954,33.5,6.5,67.2,0.4602956454,209219,1.525928697,
Florida 2022,25959,14213,11746,11.58,8.206,7.728,16,0.71,1,0,303,0,$10.00,"$65,328.00","$65,370.00",12.7,58.76,3,8.70%,4.00%,12.50%,87.30%,"$28,000","$6,600",22413989,414.8,2.13,8.3,21.6,2.47,72.1,55.86,3753,1444,350000,33.9,7.2,67.3,0.4573679411,205901,1.99080978,
Florida 2023,30756,15274,15482,13.41,8.206,7.686,19,0.83,1,0,303,0,$11.00,"$69,983.00","$72,200.00",12.4,59.01,2.9,8.80%,4.00%,12.00%,88.00%,"$28,500","$6,800",22929248,421.6,1.64,8,21.7,2.47,72.9,54.3,3949,1564,363800,34.5,8.5,67.3,0.4556160324,190773,1.906980873,
Florida 2024,31362,14494,16868,13.48,7.725,7.438,94,4.04,1,0,303,0,$12.00,"$73,340.00","$75,630.00",12.1,58.47,3.4,8.90%,4.00%,11.50%,88.50%,"$29,000","$7,000",23265838,435.8,3.37,8.2,21.8,2.5,73,56.22,4004,1669,375833,35.2,10,68.4,0.4567987192,174492,1.731340672,
Florida 2025,27888,14726,13162,11.89,7.503,7.162,94,4.01,3,0,303,0,$13.00,"$76,440.00",,,57.78,3.9,9.00%,4.00%,11.00%,89.70%,"$29,500","$7,200",23462518,,,,,,72.5,55.9,3957,,375833.5,,10.2,66.2,0.4598418209,174133,1.517171232,
