"measure","value"
"residual standard error","0.4210"
"adjusted R-squared","0.6449"
"F statistic","81.4"
"model p-value","<2e-16"
"n observations","887"
"n predictors","20"
"mean residual","9.14e-18"
"residual SD","0.4162"
