"term","estimate","std_error","t_value","p_value","logged_variable","direction"
"(Intercept)",5.54113036676556,1.34493258106367,4.1200060469821,4.15652304755396e-05,FALSE,""
"control_state_florida",-0.432760885606747,0.170147867048391,-2.54343996850496,0.0111515616115944,FALSE,"decreases"
"control_predictor_year2012",0.0509029469033317,0.079762374495958,0.638182441596084,0.523525612989899,FALSE,"increases"
"control_predictor_year2013",0.0767235645297094,0.0945784048506388,0.811216520841874,0.417466836358402,FALSE,"increases"
"control_predictor_year2014",-0.121852802800523,0.113773982869119,-1.07100762166952,0.284467879663637,FALSE,"decreases"
"control_predictor_year2015",-0.1222514053588,0.136893616966244,-0.893039486194198,0.37208701638879,FALSE,"decreases"
"control_predictor_year2016",-0.241388441664064,0.156837815612838,-1.53909591714758,0.124150435617618,FALSE,"decreases"
"control_predictor_year2017",-0.292177320371196,0.155314710950585,-1.88119540372551,0.0602845325638835,FALSE,"decreases"
"control_predictor_year2018",-0.295710789625455,0.163498521810112,-1.80864503453367,0.0708569438626454,FALSE,"decreases"
"control_predictor_year2019",-0.426219056790173,0.181069747010076,-2.3538943629631,0.0188030564955653,FALSE,"decreases"
"control_predictor_year2021",-0.62523601208545,0.208687891608125,-2.99603396856163,0.00281405376072517,FALSE,"decreases"
"control_predictor_year2022",-0.477096344806113,0.205930109716401,-2.31678769784153,0.0207505288607143,FALSE,"decreases"
"control_predictor_year2023",-0.624785255709213,0.21237800628742,-2.94185479292834,0.00335052227384713,FALSE,"decreases"
"control_predictor_year2024",-0.797108405732778,0.209649424846734,-3.8021015622414,0.000153652730661653,FALSE,"decreases"
"coc_log_estimated_population",-0.105121292804358,0.0209252174758653,-5.02366548522627,6.1717223976401e-07,FALSE,"decreases"
"coc_population_density_per_sq_mile",-0.0688840566153978,0.0164651916124816,-4.18361706542057,3.16508091720596e-05,TRUE,"decreases"
"coc_housing_units_per_1000_residents",0.00112401530623849,0.000355716475457807,3.15986293519828,0.00163389504749793,FALSE,"increases"
"coc_multifamily_permit_share_pct",0.00220029499729628,0.000993501965940482,2.21468610302488,0.0270442923097912,FALSE,"increases"
"coc_permits_value_per_1000_housing_units_2025_usd",-0.103034822864706,0.0271822712159116,-3.79051559180944,0.00016087523001229,TRUE,"decreases"
"coc_death_rate_per_1000",0.0357805924657692,0.0128472386325212,2.78508039659162,0.0054696122249223,FALSE,"increases"
"coc_poverty_child_pct",-0.0230965410922167,0.00510491692327234,-4.52437158907013,6.91275516233639e-06,FALSE,"decreases"
"coc_real_per_capita_personal_income_2025_usd",0.455457363930937,0.109728735620426,4.15075742334678,3.64514960191476e-05,TRUE,"increases"
"coc_unemployment_rate_pct",0.0236413106796723,0.0087435853223876,2.70384628364518,0.00699016641795988,FALSE,"increases"
"coc_homeownership_rate_pct",-0.0280000510174227,0.00493434299770028,-5.67452465920439,1.90313307130621e-08,FALSE,"decreases"
"coc_housing_cost_burdened_households_pct",-0.013368416225577,0.00467773945545704,-2.85787961319253,0.00436827282912869,FALSE,"decreases"
"coc_real_gdp_per_capita_2017_usd",-0.539492563102053,0.104550707912199,-5.16010435390944,3.06919544883524e-07,TRUE,"decreases"
"coc_real_gdp_quantity_index",0.00703735808580748,0.00216552447404754,3.24972456794917,0.00120024150050758,FALSE,"increases"
"state_real_minimum_wage_2025_usd",0.120164038086453,0.02657911879315,4.520994056335,7.02136110267174e-06,FALSE,"increases"
"coc_hic_temporary_beds_per_10k",0.349847201044229,0.0348799910571016,10.0300255373202,1.84641886621334e-22,TRUE,"increases"
"coc_hic_psh_beds_per_10k",0.201031448564623,0.0247832101392504,8.1115984343868,1.72621298618827e-15,TRUE,"increases"
"state_rental_vacancy_rate",0.0668983351168037,0.0221676935092013,3.01783020813761,0.00262134095965031,FALSE,"increases"
