"step","dropped","p_value","n_predictors","adj_r2"
1,"state_medicaid_expansion",0.784068496271033,24,0.644501005629832
2,"coc_contributing_counties",0.680913541921074,23,0.644847652410948
3,"coc_group_quarters_per_1000_residents",0.767098147078792,22,0.645227463772967
4,"coc_high_school_graduate_pct",0.432228080108392,21,0.645386399364181
5,"coc_international_migration_rate_per_1000",0.229712046962984,20,0.645201955136704
6,"coc_relative_home_price_index_2000_base",0.173674848458235,19,0.644847976348398
