"term","estimate","std_error","t_value","p_value","logged_variable"
"(Intercept)",5.74201055084613,1.73881984791782,3.3022458063853,0.000999169440181348,FALSE
"control_state_florida",-0.38343543017402,0.222887975162024,-1.72030559250803,0.0857408706167794,FALSE
"control_predictor_year2012",0.0426376272133631,0.0823165731162329,0.517971358612777,0.604613039555528,FALSE
"control_predictor_year2013",0.0384100817258244,0.102829389044142,0.373532139817887,0.708845571038828,FALSE
"control_predictor_year2014",-0.217250657524667,0.162523381601638,-1.33673478476574,0.181666890067689,FALSE
"control_predictor_year2015",-0.246520562114852,0.191683067929465,-1.28608418457475,0.198763897497609,FALSE
"control_predictor_year2016",-0.393047880152723,0.206520427455054,-1.90319129684284,0.0573531748023398,FALSE
"control_predictor_year2017",-0.453928427687292,0.201081266089953,-2.25743768434514,0.0242337771085479,FALSE
"control_predictor_year2018",-0.468928460882523,0.20963537596102,-2.23687657072591,0.0255529936395508,FALSE
"control_predictor_year2019",-0.612315681277233,0.22342184191655,-2.74062587625582,0.00626086861685108,FALSE
"control_predictor_year2021",-0.837116784045516,0.258812118359204,-3.2344574487184,0.00126579653441814,FALSE
"control_predictor_year2022",-0.765907992269047,0.271513236416373,-2.82088638615948,0.00490068123129182,FALSE
"control_predictor_year2023",-0.927491997988062,0.276434078313813,-3.35520136896854,0.000828214840748241,FALSE
"control_predictor_year2024",-1.09202001029378,0.272528182364884,-4.00699847192938,6.68869283653349e-05,FALSE
"coc_log_estimated_population",-0.107055487078865,0.02138117351381,-5.00699772207162,6.72301828003975e-07,FALSE
"coc_population_density_per_sq_mile",-0.0703504337611401,0.0184900905239188,-3.80476416111293,0.000152109645066753,TRUE
"coc_contributing_counties",-0.00531215594803503,0.0128202776978739,-0.414355763051528,0.67871812324138,FALSE
"coc_housing_units_per_1000_residents",0.00120009277367606,0.000378525209933309,3.17044345312563,0.00157660187605481,FALSE
"coc_multifamily_permit_share_pct",0.00207055050153402,0.00103629015307962,1.99804127770665,0.0460303891939772,FALSE
"coc_permits_value_per_1000_housing_units_2025_usd",-0.110745790114982,0.0283387952292229,-3.90792160426005,0.000100494563576171,TRUE
"coc_death_rate_per_1000",0.0353243344774623,0.0130031990025874,2.71658800810734,0.00672989262001314,FALSE
"coc_international_migration_rate_per_1000",0.0074653012992102,0.00613714966540784,1.21641180453664,0.224165759390556,FALSE
"coc_group_quarters_per_1000_residents",0.000624877970464473,0.00141426639523884,0.441838943899212,0.658718139817925,FALSE
"coc_poverty_child_pct",-0.025240873239678,0.00570067979396094,-4.42769531914723,1.07660285766558e-05,FALSE
"coc_real_per_capita_personal_income_2025_usd",0.42959770794887,0.11355804258391,3.78306721544123,0.000165763999763283,TRUE
"coc_unemployment_rate_pct",0.0210851924635486,0.0102731844502044,2.05244951706568,0.0404317344073213,FALSE
"coc_high_school_graduate_pct",-0.00464716685403986,0.00575583788588677,-0.807383207479599,0.41967160754635,FALSE
"coc_homeownership_rate_pct",-0.0250844308864429,0.00550890818758526,-4.55343055870356,6.04824696005837e-06,FALSE
"coc_housing_cost_burdened_households_pct",-0.0176072994089776,0.00543091020729395,-3.24205312496794,0.00123294263885074,FALSE
"coc_real_gdp_per_capita_2017_usd",-0.566488565811163,0.110274819584202,-5.13706182378847,3.46261845906782e-07,TRUE
"coc_real_gdp_quantity_index",0.00676653044171641,0.00223962128786732,3.02128332069921,0.00259247650533024,FALSE
"coc_relative_home_price_index_2000_base",0.190942354108557,0.165429205138336,1.15422397120802,0.248732768299898,TRUE
"state_real_minimum_wage_2025_usd",0.124483011123672,0.0322236270701049,3.86309743632677,0.000120468315011346,FALSE
"state_medicaid_expansion",0.0363624964281309,0.132657723904635,0.274107646037039,0.784068496271143,FALSE
"coc_hic_temporary_beds_per_10k",0.365773721687944,0.0365674393464929,10.0027163023933,2.40761209961413e-22,TRUE
"coc_hic_psh_beds_per_10k",0.209397985180491,0.0258562191425085,8.0985539311211,1.92293213930602e-15,TRUE
"state_rental_vacancy_rate",0.0571163415166255,0.0275926700332838,2.0699824064771,0.0387555379081096,FALSE
