"term","role","selection_freq","mean_coef","sd_coef","sign_consistency"
"control_state_florida","Unpenalized control (never standardised; not on the standardized-coefficient scale)",1,-5.15184,6.01198,0.75
"control_time_index","Unpenalized control (never standardised; not on the standardized-coefficient scale)",1,-0.32641,0.92806,0.625
