state_year_county,data_status_note,state_fips,county_fips,fips,state,county_name,year,population,population_change,births,deaths,natural_change,international_migration,domestic_migration,net_migration,group_quarters_population,birth_rate_per_1000,death_rate_per_1000,natural_change_rate_per_1000,international_migration_rate_per_1000,domestic_migration_rate_per_1000,net_migration_rate_per_1000,housing_units,permits_one_unit_units,permits_two_unit_units,permits_three_four_unit_units,permits_five_plus_unit_units,permits_total_units_authorized,permits_total_value_authorized,permits_total_reported_units,poverty_all_estimate,poverty_all_ci_low,poverty_all_ci_high,poverty_all_pct,poverty_all_pct_ci_low,poverty_all_pct_ci_high,poverty_child_estimate,poverty_child_ci_low,poverty_child_ci_high,poverty_child_pct,poverty_child_pct_ci_low,poverty_child_pct_ci_high,poverty_age_5_17_estimate,poverty_age_5_17_pct,median_household_income,median_household_income_ci_low,median_household_income_ci_high,civilian_labor_force,employed_people,unemployed_people,unemployment_rate_pct,bea_personal_income_thousands_usd,bea_population,bea_per_capita_personal_income_usd,bea_real_gdp_thousands_2017_usd,bea_real_gdp_quantity_index,bea_current_gdp_thousands_usd,annual_hpi_change_pct,hpi,hpi_1990_base,hpi_2000_base,land_area_sq_miles,high_school_graduate_or_higher_pct_age_18plus,homeownership_rate_pct,housing_cost_burdened_households_pct,income_inequality_top_bottom_quintile_ratio,state_minimum_wage_usd_per_hour,medicaid_expansion_status,housing_units_per_capita,population_density_per_sq_mile,permits_total_units_per_1000_population,population_growth_rate_pct,housing_supply_growth_rate_pct,foreclosure_rate_per_100_mortgages
California | Alameda County | 2010,,06,001,06001,California,Alameda County,2010,1512986,,4879,2153,,1687,-1592,95,37446,,,,,,,582867,879,44,29,775,1727,397632529,1699,200273,185384,215162,13.5,12.5,14.5,57722,51479,63965,17.2,15.3,19.1,40580,17,66937,65510,68364,783073,696994,86079,11,72075011,1513413,47624,97503433,74.755,88040021,-0.95,1113.82,200.75,136.99,737.459,85.9,59.00586104271847,46.907443395555454,15.638258780298212,8,0,0.38524282445442326,2051.6204968683005,1.1414514080103848,,,
California | Alameda County | 2011,,06,001,06001,California,Alameda County,2011,1530915,,19220,9076,,9020,-1206,7814,37394,12.62853161,5.963400255,,5.926605366,-0.792404221,5.134201145,584528,820,26,23,1303,2172,516025562,2142,198382,185035,211729,13.2,12.3,14.1,56573,51002,62144,16.8,15.1,18.5,37420,15.6,67295,65680,68910,783564,704558,79006,10.1,77301332,1532981,50425,99901787,76.594,91204292,-5.24,1055.42,190.22,129.81,737.459,86,58.06623753005105,46.37146793998313,15.863770909341229,8,0,0.38181610344140593,2075.9323569174694,1.4187593693967333,1.1850076603484805,0.2849706708391464,
California | Alameda County | 2012,,06,001,06001,California,Alameda County,2012,1553764,,18979,9207,,9087,4019,13106,36524,12.30533226,5.969502824,,5.891698942,2.605781671,8.497480613,586639,1373,104,47,1221,2745,758613275,2697,200101,189366,210836,13.1,12.4,13.8,58641,53903,63379,17.3,15.9,18.7,39621,16.4,70209,68893,71525,796119,726694,69425,8.7,81435436,1557493,52286,103075886,79.028,95914097,0.82,1064.1,191.79,130.88,737.459,86.2,56.97650757544109,45.37090598050688,16.25492356424735,8,0,0.3775599125735955,2106.915774300673,1.766677564932641,1.4925061156236596,0.36114608709933993,
California | Alameda County | 2013,,06,001,06001,California,Alameda County,2013,1579593,,19469,9620,,10177,5725,15902,36528,12.42692741,6.140379153,,6.495908382,3.654227718,10.1501361,589352,1391,84,14,1592,3081,796597852,2895,201303,189228,213378,13,12.2,13.8,52179,47057,57301,15.4,13.9,16.9,37025,15.3,72128,70566,73690,800580,742070,58510,7.3,85777177,1584943,54120,106957044,82.003,100944214,13.74,1210.34,218.15,148.86,737.459,86.4,56.183480209031785,44.08300859195267,16.673735273735275,8,0,0.3731037045618713,2141.9400942967677,1.950502439552467,1.6623502668358991,0.462464991,
California | Alameda County | 2014,,06,001,06001,California,Alameda County,2014,1607792,,19496,9248,,11514,6320,17834,37084,12.23322567,5.802876025,,7.224731245,3.96563327,11.19036452,592396,1613,4,41,1780,3438,889511669,3438,197984,186953,209015,12.5,11.8,13.2,48750,43470,54030,14.3,12.8,15.8,33524,13.8,76996,75788,78204,807190,759594,47596,5.9,92038123,1614744,56999,111256132,85.299,106556287,15.94,1403.31,252.92,172.6,737.459,86.7,55.57611100993518,43.11416743467015,17.00680412371134,9,1,0.3684531332411158,2180.178152,2.1383363022082458,1.785206695648811,0.5164994773921183,
California | Alameda County | 2015,,06,001,06001,California,Alameda County,2015,1634538,,19489,9602,,14029,2849,16878,36747,12.02160175,5.922901124,,8.653653391,1.757378182,10.41103157,595760,1905,14,75,3107,5101,1186659834,5101,184716,172690,196742,11.5,10.8,12.2,47108,41834,52382,13.8,12.3,15.3,32636,13.4,81462,80249,82675,819367,780345,39022,4.8,101231136,1643103,61610,119277959,91.45,116681306,9.3,1533.87,276.46,188.66,737.459,86.9,55.150561209927496,41.74458767373041,17.093273301525436,9,1,0.36448219619244093,2216.445931231431,3.120759505132337,1.6635236398738096,0.5678633886792017,
California | Alameda County | 2016,,06,001,06001,California,Alameda County,2016,1650950,,19503,9569,,12725,-6171,6554,36393,11.87220894,5.825009862,,7.74618565,-3.756519579,3.989666071,600467,2398,22,85,3187,5692,1460017786,5335,173386,162673,184099,10.7,10,11.4,42498,37518,47478,12.4,10.9,13.9,30141,12.3,89472,87862,91082,878166,842046,36120,4.1,108327158,1661218,65209,123298691,94.532,122106447,11.43,1709.18,308.05,210.22,737.459,87.3,55.06664809411957,40.45057954978324,17.149298855010937,10,1,0.36370998516005937,2238.700727769273,3.4477119234380207,1.0040757694222968,0.7900832550020054,
California | Alameda County | 2017,,06,001,06001,California,Alameda County,2017,1660196,,19594,9974,,11386,-11712,-326,36437,11.83517731,6.024500279,,6.877377198,-7.074287875,-0.196910677,605974,2595,26,144,6493,9258,2335440977,8718,152087,142181,161993,9.3,8.7,9.9,35658,31083,40233,10.5,9.2,11.8,24513,10.1,95550,93504,97596,885684,854374,31310,3.5,115789437,1671949,69254,130430017,100,130430017,7.03,1829.39,329.72,225,737.459,87.5,55.38313071326897,39.36165047234197,16.73981860216966,10.5,1,0.36500148175275693,2251.2383739299407,5.5764500095169485,0.5600411884066681,0.9171195086491002,
California | Alameda County | 2018,,06,001,06001,California,Alameda County,2018,1666756,,18497,10330,,8473,-10045,-1572,36410,11.11948715,6.20988821,,5.093551094,-6.03856022,-0.945009125,615030,1965,58,209,5824,8056,2034825812,7338,147394,137363,157425,9,8.4,9.6,33305,28853,37757,9.8,8.5,11.1,22809,9.4,101744,100351,103137,888859,862930,25929,2.9,124671796,1680392,74192,135481671,103.873,137388106,8.99,1993.82,359.35,245.23,737.459,88,55.51652836146187,38.46463008,16.549181228706452,11,1,0.36899822169531715,2260.133783708654,4.833340932925995,0.3951340685075744,1.4944535574133555,
California | Alameda County | 2019,,06,001,06001,California,Alameda County,2019,1671329,,18628,10944,,8540,-11626,-3086,36951,11.16089015,6.557052921,,5.116706135,-6.965670437,-1.848964301,622922,1972,56,101,4273,6402,1485707291,5959,146315,135008,157622,8.9,8.2,9.6,32720,28023,37417,9.8,8.4,11.2,22189,9.2,107589,105354,109824,889297,864097,25200,2.8,134683858,1683879,79984,139438051,106.906,144158659,1.15,2016.67,363.47,248.04,737.459,88.4,55.918735797193925,37.94300675083212,16.682189499973983,12,1,0.3727105794251162,2266.3348064095767,3.830484602373321,0.2743652940202512,1.283189438,
California | Alameda County | 2020,,06,001,06001,California,Alameda County,2020,1680489,-1757,4374,2660,1714,160,-3826,-3666,53682,,,,,,,623339,1342,36,81,2661,4120,1157616092,3282,139636,124941,154331,8.6,7.7,9.5,29982,24183,35781,9.1,7.3,10.9,21299,8.9,113518,110514,116522,860047,787096,72951,8.5,148199107,1680614,88182,136209080,104.431,143534210,0,2016.74,363.49,248.05,737.459,88.8,56.356974816316566,37.36253531489637,16.886229329095695,12,1,0.3709271527513718,2278.755835917658,2.4516673420653157,,,
California | Alameda County | 2021,,06,001,06001,California,Alameda County,2021,1644275,-36214,16770,11645,5125,4233,-43102,-38869,44443,10.08793406,7.005008476,3.082925585,2.546346147,-25.92785533,-23.38150918,629781,1368,54,62,3541,5025,1267192200,4872,152654,140318,164990,9.4,8.6,10.2,32470,27762,37178,9.9,8.5,11.3,25200,10.5,108971,106170,111772,848295,798842,49453,5.8,162177784,1643856,98657,145824780,111.803,156893980,9.81,2214.53,399.14,272.37,737.459,89,56.735324320011514,37.400770272409126,17.085226741467977,13,1,0.3830143984430828,2229.6493771179144,3.0560581411260284,-2.154967988,1.033466540678507,
California | Alameda County | 2022,,06,001,06001,California,Alameda County,2022,1633138,-11137,16981,11038,5943,15793,-33560,-17767,50906,10.36244135,6.735800462,3.62664089,9.637479317,-20.47956727,-10.84208795,637679,1228,56,89,3703,5076,1054688504,4552,161918,152173,171663,10.1,9.5,10.7,32186,27511,36861,10.3,8.8,11.8,21718,9.4,121190,118039,124341,858860,831428,27432,3.2,163748943,1635693,100110,148762514,114.055,168731055,13.19,2506.65,451.78,308.3,737.459,89.2,57.212200971181886,37.36627570747423,18.039255469301345,14,1,0.3904624104025502,2214.5475206079254,3.1081268086346654,-0.677319791,1.2540867380883114,
California | Alameda County | 2023,,06,001,06001,California,Alameda County,2023,1633055,-83,16585,10868,5717,20121,-26253,-6132,50181,10.15555419,6.654842503,3.500711685,12.3207661,-16.07559627,-3.754830165,644987,975,42,38,1829,2884,771266437,2731,151872,138959,164785,9.5,8.7,10.3,28117,22066,34168,9,7.1,10.9,21236,9.2,119230,115954,122506,869167,836018,33149,3.8,171119975,1638142,104460,147576503,113.146,175675407,-0.29,2499.29,450.46,307.4,737.459,88.9,57.25413188115822,38.093175665065935,18.615876030560713,15.5,1,0.39495730394873413,2214.4349719781035,1.7660152291257796,-0.00508224,1.146031153605498,
California | Alameda County | 2024,,06,001,06001,California,Alameda County,2024,1636624,3569,16179,10477,5702,19919,-22233,-2314,49839,9.896384324,6.40858017,3.487804155,12.18407067,-13.59950013,-1.415429466,650406,826,28,33,856,1743,469802380,1469,142324,130410,154238,8.8,8.1,9.5,24998,19695,30301,8,6.3,9.7,16854,7.3,128031,124696,131366,870727,832168,38559,4.4,183486862,1649060,111268,149073515,114.294,182539223,1.41,2534.52,456.81,311.73,737.459,88.8,57.89808747420511,38.324090450695394,19.17754075093544,16,1,0.3974071014478585,2219.274563060455,1.0649972137766524,0.21854744635054768,0.840171972,
California | Alameda County | 2025,2025 is complete only for sources that had published county data by 2026-07-24; blanks from lagged sources are not zero.,06,001,06001,California,Alameda County,2025,1636630,6,16073,10480,5593,10373,-15960,-5587,50793,9.820808284,6.403413851,3.417394434,6.338035484,-9.751763841,-3.413728357,655191,1117,40,17,1604,2778,828595616,2534,,,,,,,,,,,,,,,,,,873291,832615,40676,4.7,,,,,,,-1.91,2486.02,448.07,305.76,737.459,,,,,16.5,1,0.4003293352804238,2219.282699105984,1.6973903692343413,3.666083352005245e-4,0.7356943201630939,
California | Alpine County | 2010,,06,003,06003,California,Alpine County,2010,1161,,2,4,,0,-13,-13,24,,,,,,,1760,4,0,0,0,4,1236638,4,196,150,242,16.9,12.9,20.9,77,58,96,29.2,21.9,36.5,51,26.7,44241,39968,48514,542,472,70,12.9,48691,1164,41831,94445,82.218,82178,-15.67,183.2,,124.17,738.34,92.1,78.40136054,36.464088397790064,11.084078616183795,8,0,1.5159345391903531,1.572446298453287,3.4453057708871664,,,
California | Alpine County | 2011,,06,003,06003,California,Alpine County,2011,1093,,5,8,,0,-65,-65,24,4.436557232,7.098491571,,0,-57.67524401,-57.67524401,1761,3,0,0,0,3,1625233,3,191,146,236,17.4,13.3,21.5,61,46,76,29.3,22.3,36.3,40,25.3,46706,42096,51316,589,515,74,12.6,59552,1105,53893,106013,92.288,93437,-13.31,158.81,,107.64,738.34,92,78.25711820534944,35.41666666666667,11.442355210028325,8,0,1.6111619396157366,1.4803478072432754,2.7447392497712717,-5.857019811,0.056818182,
California | Alpine County | 2012,,06,003,06003,California,Alpine County,2012,1110,,5,6,,0,17,17,24,4.539264639,5.447117567,,0,15.43349977,15.43349977,1764,1,0,0,0,1,295805,1,217,174,260,19.3,15.4,23.2,66,51,81,29.1,22.4,35.8,44,23.5,46336,41770,50902,543,482,61,11.2,63498,1132,56094,105258,91.631,95001,2.59,162.92,,110.43,738.34,91.1,76.24683009298394,34.72222222222222,13.370644465001542,8,0,1.5891891891891892,1.5033724300457783,0.9009009009009009,1.5553522415370447,0.17035775127767216,
California | Alpine County | 2013,,06,003,06003,California,Alpine County,2013,1128,,6,7,,1,17,18,24,5.361930295,6.255585344,,0.893655049,15.19213584,16.08579089,1765,0,0,0,0,0,0,0,227,178,276,19.7,15.5,23.9,76,59,93,31.9,24.7,39.1,48,23.8,49392,44466,54318,523,472,51,9.8,63059,1160,54361,101992,88.788,93880,5.42,171.75,,116.41,738.34,90.4,76.48601398601399,36.339522546419104,12.831557543716958,8,0,1.5647163120567376,1.527751442424899,0,1.6216216216216273,0.056689342,
California | Alpine County | 2014,,06,003,06003,California,Alpine County,2014,1080,,6,9,,0,-46,-46,24,5.434782609,8.152173913,,0,-41.66666667,-41.66666667,1764,3,0,0,0,3,1485659,3,211,164,258,19,14.7,23.3,62,47,77,28.2,21.4,35,40,21.7,53003,48227,57779,509,467,42,8.3,68364,1122,60930,109676,95.477,102992,17.2,201.28,,136.43,738.34,91.4,78.51662404092072,42.41573033707865,12.046447247000923,9,1,1.6333333333333333,1.4627407427472439,2.7777777777777777,-4.255319149,-0.056657224,
California | Alpine County | 2015,,06,003,06003,California,Alpine County,2015,1077,,5,12,,2,1,3,24,4.636068614,11.12656467,,1.854427446,0.927213723,2.781641168,1766,4,0,0,0,4,1953127,4,210,163,257,19,14.7,23.3,75,59,91,35.7,28,43.4,49,26.9,50882,45513,56251,548,508,40,7.3,71467,1128,63357,112863,98.251,109227,-8.73,183.72,,124.52,738.34,89.5,76.78244972577697,42.21556886227545,15.574347562209184,9,1,1.639740018570102,1.4586775740173903,3.714020427112349,-0.277777778,0.11337868480725266,
California | Alpine County | 2016,,06,003,06003,California,Alpine County,2016,1047,,3,8,,2,-26,-24,24,2.824858757,7.532956686,,1.883239171,-24.48210923,-22.59887006,1769,2,0,0,0,2,429566,2,199,156,242,18.6,14.5,22.7,65,50,80,33.9,26.1,41.7,43,26.9,57481,51404,63558,411,375,36,8.8,77273,1110,69615,111940,97.448,110320,6.3,195.3,,132.37,738.34,91.1,78.72711421098518,39.751552795031046,21.387770897832816,10,1,1.6895893027698186,1.4180458867188557,1.9102196752626552,-2.78551532,0.1698754246885592,
California | Alpine County | 2017,,06,003,06003,California,Alpine County,2017,1111,,8,10,,1,66,67,24,7.414272475,9.267840593,,0.926784059,61.16774792,62.09453197,1770,9,0,0,0,9,3368473,9,202,155,249,18.1,13.9,22.3,67,50,84,35.3,26.5,44.1,45,28.7,55755,49538,61972,406,371,35,8.6,80393,1183,67957,114872,100,114872,10.14,215.1,,145.79,738.34,89.8,85.68980291345329,43.389830508474574,17.729615915196398,10.5,1,1.593159315931593,1.5047268196223962,8.100810081,6.112702960840499,0.056529112492942346,
California | Alpine County | 2018,,06,003,06003,California,Alpine County,2018,1089,,8,9,,1,-23,-22,24,7.272727273,8.181818182,,0.909090909,-20.90909091,-20,1778,4,0,0,0,4,1256629,4,190,143,237,17.3,13,21.6,66,48,84,34.7,25.1,44.3,44,29.7,55384,49477,61291,400,375,25,6.3,85025,1157,73487,115488,100.537,118346,2.06,219.54,,148.8,738.34,88.9,82.70270270270271,37.02422145,15.87140363354238,11,1,1.6326905417814508,1.4749302489368041,3.6730945821854912,-1.98019802,0.4519774011299438,
California | Alpine County | 2019,,06,003,06003,California,Alpine County,2019,1129,,10,5,,1,35,36,24,9.017132552,4.508566276,,0.901713255,31.55996393,32.46167719,1782,5,0,0,0,5,2313746,5,193,145,241,17.2,13,21.4,58,40,76,29.6,20.3,38.9,38,25.5,58112,50969,65255,394,366,28,7.1,93899,1198,78380,133602,116.305,140189,9.84,241.14,,163.44,738.34,91.2,80.45862412761716,29.15451895043732,14.367509836987072,12,1,1.578387953941541,1.529105832001517,4.428697962798937,3.673094582185499,0.22497187851517886,
California | Alpine County | 2020,,06,003,06003,California,Alpine County,2020,1180,2,2,3,-1,0,3,3,29,,,,,,,1543,8,0,0,0,8,2298588,8,159,116,202,14.3,10.4,18.2,51,34,68,24.5,16.3,32.7,32,20,64542,55068,74016,378,318,60,15.9,89328,1179,75766,107836,93.875,115174,-2.92,234.09,,158.67,738.34,95.3,76.33451957295374,18.829516539440203,11.183361121798985,12,1,1.3076271186440678,1.5981797004090257,6.779661016949152,,,
California | Alpine County | 2021,,06,003,06003,California,Alpine County,2021,1194,14,7,36,-29,0,48,48,29,5.897219882,30.32855939,-24.43133951,0,40.43807919,40.43807919,1545,12,0,0,0,12,6152981,12,194,148,240,15.8,12.1,19.5,59,42,76,27.2,19.3,35.1,38,22.6,87570,80899,94241,376,333,43,11.4,89807,1203,74653,106959,93.112,116954,18.15,276.58,,187.46,738.34,93.7,77.41194486983154,19.76744186046512,10.724538343681962,13,1,1.2939698492462313,1.617141154481675,10.050251256281408,1.186440677966094,0.12961762799741372,
California | Alpine County | 2022,,06,003,06003,California,Alpine County,2022,1149,-45,10,21,-11,1,-35,-34,29,8.536064874,17.92573624,-9.389671362,0.853606487,-29.87622706,-29.02262057,1545,4,0,0,0,4,2474934,4,193,148,238,16.3,12.5,20.1,50,34,66,26.6,18.1,35.1,35,24.1,71646,62602,80690,356,327,29,8.1,81025,1169,69311,102892,89.571,117911,9.11,301.78,,204.55,738.34,93.3,79.32226833,17.674418604651162,20.98096036905012,14,1,1.3446475195822454,1.5561936235338731,3.4812880765883376,-3.768844221,0,
California | Alpine County | 2023,,06,003,06003,California,Alpine County,2023,1105,-44,4,15,-11,2,-37,-35,29,3.549245785,13.3096717,-9.760425909,1.774622893,-32.83052351,-31.05590062,1551,7,0,0,0,7,4470129,7,177,134,220,15.6,11.8,19.4,49,34,64,26.8,18.5,35.1,32,22.4,83265,75129,91401,412,378,34,8.3,88360,1126,78472,109499,95.323,133746,,,,,738.34,96.3,78.76543209876543,15.53610503282276,18.070591012827567,15.5,1,1.4036199095022623,1.4966004821626893,6.334841628959276,-3.829416884,0.3883495145631022,
California | Alpine County | 2024,,06,003,06003,California,Alpine County,2024,1086,-19,3,14,-11,5,-14,-9,29,2.738475582,12.77955272,-10.04107713,4.56412597,-12.77955272,-8.215426746,1558,3,0,0,0,3,1707337,3,173,130,216,15.8,11.8,19.8,44,30,58,26.2,17.6,34.8,30,23.8,74440,65383,83497,473,438,35,7.4,96872,1099,88146,115535,100.578,146275,,,,,738.34,96.3,77.45222929936307,27.40384615384616,18.581286836935167,16,1,1.434622467771639,1.4708670802069506,2.7624309392265194,-1.719457014,0.45132172791746417,
California | Alpine County | 2025,2025 is complete only for sources that had published county data by 2026-07-24; blanks from lagged sources are not zero.,06,003,06003,California,Alpine County,2025,1043,-43,3,14,-11,1,-33,-32,29,2.818224519,13.15171442,-10.3334899,0.939408173,-31.0004697,-30.06106153,1566,4,0,0,0,4,4290506,4,,,,,,,,,,,,,,,,,,489,453,36,7.4,,,,,,,,,,,738.34,,,,,16.5,1,1.501438159,1.4126283284123844,3.8350910834132312,-3.959484346,0.5134788189987249,
California | Amador County | 2010,,06,005,06005,California,Amador County,2010,37886,,79,84,,1,-217,-216,4371,,,,,,,18046,29,0,0,0,29,4113905,27,4286,3409,5163,12.8,10.2,15.4,1039,794,1284,17,13,21,701,14.9,49516,45821,53211,15523,13323,2200,14.2,1300768,37893,34327,1516280,94.268,1324708,-14.85,248.47,152.84,126.34,594.585,87.4,76.81360127290942,42.018196856906535,9.705821939790743,8,0,0.47632370796600326,63.718391819504355,0.7654542575093702,,,
California | Amador County | 2011,,06,005,06005,California,Amador County,2011,37543,,264,441,,13,-179,-166,4192,6.999960228,11.69311538,,0.344695011,-4.746185154,-4.401490143,18070,80,0,0,0,80,11315952,79,4670,3796,5544,14,11.4,16.6,1155,921,1389,19.3,15.4,23.2,757,16.5,51553,46598,56508,15036,12988,2048,13.6,1309908,37593,34844,1490526,92.667,1321268,-12.79,216.69,133.29,110.18,594.585,87.3,77.51813533119277,41.642897889332566,11.730714527599051,8,0,0.4813147590762592,63.14151887450911,2.1308899128998746,-0.905347622,0.1329934611548289,
California | Amador County | 2012,,06,005,06005,California,Amador County,2012,37104,,279,426,,2,-298,-296,3873,7.475183196,11.41372058,,0.053585543,-7.98424585,-7.930660308,18141,110,0,0,0,110,16234722,110,4425,3607,5243,13.3,10.8,15.8,1084,857,1311,18.5,14.6,22.4,746,16.7,51388,46902,55874,14632,12832,1800,12.3,1325416,37201,35629,1410001,87.661,1273355,-3.73,208.61,128.32,106.07,594.585,87.5,75.31889290012033,42.863284608770414,12.460515563479682,8,0,0.4889230271668823,62.403188778728016,2.9646399310047435,-1.16932584,0.39291643608190263,
California | Amador County | 2013,,06,005,06005,California,Amador County,2013,36620,,253,420,,19,-345,-326,3294,6.863436601,11.39384732,,0.51543595,-9.359231729,-8.843795779,18241,14,0,0,0,14,4868209,14,4746,3876,5616,14.3,11.7,16.9,1235,1013,1457,22.1,18.1,26.1,841,19.8,52357,47826,56888,14411,12912,1499,10.4,1336888,36763,36365,1442873,89.705,1333101,8.92,227.22,139.77,115.53,594.585,88.1,74.73142684,41.850789096126256,13.117091816834389,8,0,0.4981157837247406,61.589175643516064,0.3823047515019115,-1.30444157,0.5512375282509252,
California | Amador County | 2014,,06,005,06005,California,Amador County,2014,36726,,287,425,,24,221,245,3284,7.825920977,11.58890737,,0.654432416,6.026231833,6.680664249,18239,22,0,0,0,22,4926046,19,4313,3381,5245,12.9,10.1,15.7,1032,801,1263,18.6,14.4,22.8,700,16.8,54610,49602,59618,14337,13131,1206,8.4,1399961,36916,37923,1471869,91.507,1394969,12.42,255.44,157.13,129.88,594.585,88.4,74.62143052225898,40.96217407271392,13.93366647860079,9,1,0.49662364537384956,61.76745124750876,0.5990306594782987,0.2894593118514477,-0.010964311,
California | Amador County | 2015,,06,005,06005,California,Amador County,2015,37031,,307,439,,33,403,436,3284,8.324633594,11.90395488,,0.894830321,10.92777635,11.82260667,18249,27,0,0,0,27,5771626,5,4404,3592,5216,13.1,10.7,15.5,1084,887,1281,19.5,16,23,726,17.2,55879,51082,60676,14322,13373,949,6.6,1481210,37263,39750,1509231,93.83,1462842,9.85,280.59,172.6,142.67,594.585,88.4,74.96956045294047,39.29338567513517,14.044707805476094,9,1,0.4928033269422916,62.280414070317946,0.7291188463719587,0.830474323,0.054827567,
California | Amador County | 2016,,06,005,06005,California,Amador County,2016,37429,,306,450,,27,514,541,3238,8.219178082,12.08702659,,0.725221596,13.80607037,14.53129197,18274,41,0,0,0,41,7138666,36,3846,3021,4671,11.3,8.9,13.7,960,738,1182,16.8,12.9,20.7,671,16,59789,56168,63410,14859,13959,900,6.1,1519574,37711,40295,1553868,96.605,1526577,9.94,308.48,189.76,156.85,594.585,88.3,74.87417379,36.80230464530068,12.403584764749814,10,1,0.4882310507894948,62.94978850795092,1.0954073044965134,1.0747751883557033,0.13699380787988158,
California | Amador County | 2017,,06,005,06005,California,Amador County,2017,38529,,296,444,,22,1212,1234,3976,7.793780774,11.69067116,,0.57926749,31.91237263,32.49164012,18318,116,0,4,11,131,25699730,131,3762,2896,4628,10.9,8.4,13.4,908,683,1133,15.7,11.8,19.6,635,15.2,60588,55422,65754,14984,14229,755,5,1602167,38859,41230,1608472,100,1608472,8.21,333.79,205.33,169.72,594.585,89.7,75.74340027411954,33.80728978708048,11.983071101374229,10.5,1,0.47543408860858055,64.79981836070536,3.400036336266189,2.938897646210159,0.24077924920651306,
California | Amador County | 2018,,06,005,06005,California,Amador County,2018,39405,,313,409,,17,952,969,4410,8.032437704,10.49606077,,0.436266585,24.43092874,24.86719532,18452,172,0,0,0,172,40249994,172,4130,3311,4949,11.8,9.5,14.1,804,603,1005,13.8,10.3,17.3,577,13.7,58515,52610,64420,14930,14316,614,4.1,1660611,39702,41827,1630629,101.378,1668518,4.51,348.86,214.59,177.38,594.585,90.3,76.86473189445631,34.64870768110666,12.018076136944302,11,1,0.4682654485471387,66.27311486162617,4.364928309,2.273612084403953,0.7315209083961216,
California | Amador County | 2019,,06,005,06005,California,Amador County,2019,39752,,307,427,,17,451,468,4368,7.756736612,10.78868578,,0.429526132,11.39507561,11.82460174,18625,119,0,0,0,119,34449077,119,3462,2620,4304,9.8,7.4,12.2,737,495,979,12.5,8.4,16.6,514,12,62640,58769,66511,15047,14452,595,4,1759900,40089,43900,1680454,104.475,1757401,5.23,367.1,225.81,186.66,594.585,90,76.11373316449868,34.297782470960925,12.71003456,12,1,0.4685298852887905,66.85671518790416,2.993560072449185,0.8805989087679267,0.9375677433340668,
California | Amador County | 2020,,06,005,06005,California,Amador County,2020,40567,80,53,116,-63,0,157,157,4314,,,,,,,18816,103,0,0,0,103,25241507,34,3678,2642,4714,10.3,7.4,13.2,769,514,1024,13,8.7,17.3,546,12.6,68141,59644,76638,14672,13306,1366,9.3,1920057,40584,47311,1578079,98.11,1697911,1.5,372.59,229.19,189.45,594.585,91.2,77.77401608125265,33.008163830081635,13.409994248833792,12,1,0.46382527670273865,68.22741912426314,2.5390095397737076,,,
California | Amador County | 2021,,06,005,06005,California,Amador County,2021,41225,658,314,504,-190,8,888,896,4170,7.67801252,12.32394366,-4.645931142,0.195618153,21.71361502,21.90923318,18915,141,0,0,0,141,38688068,53,4104,3139,5069,11.1,8.5,13.7,831,589,1073,13.5,9.6,17.4,572,12.5,68159,61507,74811,14686,13651,1035,7,2063918,41245,50040,1583924,98.474,1787266,13.49,422.86,260.11,215.01,594.585,91.3,79.06379022776365,34.37605112680794,14.463183982260484,13,1,0.4588235294117647,69.33407334527443,3.4202546998180714,1.6220080360884515,0.5261479591836649,
California | Amador County | 2022,,06,005,06005,California,Amador County,2022,41465,240,324,580,-256,37,442,479,4145,7.836497763,14.02829846,-6.191800701,0.894908695,10.6905309,11.58543959,19033,185,0,0,0,185,46735994,185,3767,2928,4606,10.1,7.9,12.3,746,516,976,12,8.3,15.7,540,11.8,74356,67892,80820,14619,13953,666,4.6,2000871,41486,48230,1599691,99.454,1914892,11.3,470.62,289.49,239.29,594.585,90.5,80.53135076078557,36.909306305120445,14.743987399285151,14,1,0.45901362594959605,69.73771622223903,4.461594115519112,0.5821710127349888,0.6238435104414464,
California | Amador County | 2023,,06,005,06005,California,Amador County,2023,41783,318,317,540,-223,41,498,539,4195,7.615798578,12.97328464,-5.357486066,0.985008649,11.96425139,12.94926004,19127,91,0,0,0,91,25949761,91,4400,3493,5307,11.7,9.3,14.1,886,613,1159,13.9,9.6,18.2,631,13.5,80767,73729,87805,14876,14117,759,5.1,2116519,41798,50637,1659732,103.187,2077248,-1.52,463.49,285.11,235.67,594.585,91,79.96499509400938,36.602824530857035,14.501758229088605,15.5,1,0.4577699064212718,70.27254303421714,2.1779192494555204,0.7669118533703223,0.49387905217255224,
California | Amador County | 2024,,06,005,06005,California,Amador County,2024,41974,191,303,506,-203,32,358,390,4308,7.235216161,12.0825722,-4.847356042,0.764115238,8.548539227,9.312654465,19207,57,0,0,0,57,16934420,57,4082,3122,5042,10.8,8.3,13.3,831,565,1097,12.9,8.8,17,577,12.2,85625,78787,92463,15061,14241,820,5.4,2256906,42026,53703,1649007,102.52,2112319,0.59,466.23,286.79,237.06,594.585,90.7,81.53415098329457,35.85454075700814,15.378537323861652,16,1,0.45759279554009624,70.59377549046813,1.3579835136036593,0.4571237106000048,0.41825691430961154,
