observation_date,HC01ESTVC1606037,HOWNRATEACS006037,DP04ACS006037,2020RATIO006037,HC01ESTVC1606039,HOWNRATEACS006039,DP04ACS006039,2020RATIO006039,HC01ESTVC1606041,HOWNRATEACS006041,DP04ACS006041,2020RATIO006041
2009-01-01,,51.753747111460925,,,,61.268240089797366,,,,66.84775284684321,,
2010-01-01,75.9,51.384776444382226,51.430150434228842,16.808201485308363,67.9,58.659419245076272,46.876318598128520,11.821459497756436,91.8,66.16047806237846,46.485757626832971,17.816913823498911
2011-01-01,76.1,50.869767403150526,51.918514393843914,17.296781979082866,67.8,57.467405452696120,46.180512257774893,11.299298166176138,92.0,65.22829132817243,46.411274315204444,18.082071097372488
2012-01-01,76.4,50.225849593990176,52.123100024760575,17.638238664265838,68.0,56.314909998519369,46.265284089482542,11.965084251458196,92.1,64.32293701749263,45.747966031237006,18.977303700597545
2013-01-01,76.6,49.648200023503406,51.809607831450677,17.900658388199016,68.5,56.021716981395407,45.653850939405245,12.608948740225893,92.4,64.21916357861302,44.694868238557561,19.864235638798785
2014-01-01,76.8,49.072919513615446,51.375039321790481,18.253601340033502,69.5,56.432080151743591,43.685496335443993,13.185680494905386,92.5,63.67690782953419,44.053330689928629,21.064797941901599
2015-01-01,77.3,48.640453977908415,50.499426204607168,18.506490243698181,70.8,56.894521781286791,41.560879229439365,14.090838584585557,92.9,63.50367879083218,42.129036075662242,21.311262055376961
2016-01-01,77.7,48.357867422110765,49.526140629475705,18.756905623150281,71.7,57.118183382074655,41.161708452111199,14.591739626950895,93.1,64.18593754963311,40.932515817369278,21.516015119864718
2017-01-01,78.2,48.613635876131312,48.634148813251201,18.899063065900322,71.6,58.905559615108835,40.004243981798034,14.070920092543156,93.2,64.68029165959362,40.372567932267458,21.470878625338205
2018-01-01,78.7,48.629000424572304,47.991865991556018,18.947459410703548,71.9,59.580206219268014,37.403263403263402,13.301820222917168,93.2,64.87563409596315,39.892566245949347,20.847631068836492
2019-01-01,79.1,48.719108045466250,47.348239038277448,18.914088853800330,71.9,59.867052730312800,36.293803666744026,12.905146316851663,93.3,64.59306838161916,39.919715407643558,21.075956521739126
2020-01-01,79.8,49.172646424738844,46.901324729836638,18.971363195118567,72.0,62.049966494967478,35.823014616888557,11.701658890616899,93.6,64.98499736413399,39.304266619973149,19.959415124144360
2021-01-01,80.0,49.501119382160816,46.784143659907159,19.153769709818473,71.8,61.981596375984829,36.736053288925895,12.926188003116074,93.4,65.48541392081788,38.884503039393699,20.360312715566799
2022-01-01,80.3,49.697791584306337,46.806465718954499,19.515982016382338,72.1,61.682193310032304,36.330807060891878,14.329189088884766,93.4,66.21427191775692,39.542693466344005,21.251712390173928
2023-01-01,80.7,49.809476574942003,46.792411942595294,19.657214048410061,73.0,62.411417387477918,38.005695323715614,15.845308105343902,92.7,65.36692518754658,40.603760873442049,22.218869270554663
2024-01-01,80.9,49.738690414812517,47.110369893681614,20.033885320289940,73.1,63.780770176051327,39.849006682936846,15.168539325842696,92.8,65.95600811423571,40.409851513137674,22.540011896847336
