observation_date,HC01ESTVC1606055,HOWNRATEACS006055,DP04ACS006055,2020RATIO006055,HC01ESTVC1606057,HOWNRATEACS006057,DP04ACS006057,2020RATIO006057,HC01ESTVC1606059,HOWNRATEACS006059,DP04ACS006059,2020RATIO006059
2009-01-01,,66.744878194730958,,,,75.55052116349881,,,,61.792084113366045,,
2010-01-01,82.2,64.983162364579528,45.539886602006277,13.800191720088671,94.1,73.32765188463236,48.895781637717121,11.725563648976760,83.3,61.147287309368387,47.696023725220165,13.552409804461581
2011-01-01,82.6,62.985355985195056,45.780425461741423,13.288156424581006,94.9,72.75441116126386,49.320551465138109,12.558024867800484,83.4,60.375503587851505,47.727188112750170,13.830753068671902
2012-01-01,82.6,61.237315279348479,44.476816781819686,13.428120597351366,95.0,73.16915632016568,48.446439139869803,12.394819521050060,83.6,59.077579500007218,47.462765990359685,14.160537761961249
2013-01-01,83.1,58.900578642819568,43.998092987583689,13.117551249648974,94.3,72.43958750192397,47.513381750559134,12.479893311448503,83.8,58.199880888440703,46.705930792870440,14.489132947976881
2014-01-01,82.8,58.864305031353091,43.774950873926976,13.587342497136312,94.3,72.32075994296324,45.592667001506783,12.004551751434793,84.0,57.738165040516606,46.110050923043957,14.859518548668451
2015-01-01,83.2,57.594848103037954,42.266711063015066,14.516872381383759,93.9,72.39556062052750,43.212505323279643,12.367647058823527,84.3,57.093316273336555,44.916484191886056,15.302930446039779
2016-01-01,83.9,59.218008089571491,39.980892248899217,14.562911364633612,93.3,72.08810608859876,41.182727618082815,12.575088454986240,84.5,56.511822063211355,44.176462592568363,15.443146684987976
2017-01-01,84.7,61.315191418153127,39.574983299933201,14.724059293044469,93.5,74.23821863509265,41.219580705293531,14.122484807562458,84.7,56.697091319255811,43.424208986014825,15.586671824059236
2018-01-01,85.1,61.990558845950865,38.600663370674006,14.620916315118221,94.2,74.73687437411866,40.697557543471710,14.653376729048006,85.1,56.802178424865275,42.938220344197255,15.682054547384061
2019-01-01,85.5,63.495857586555424,37.590543576392527,14.609639338166945,94.4,74.64415080863222,41.505957189014552,15.004599637211712,85.5,56.834546650428649,42.156140510264144,15.644551689103380
2020-01-01,85.5,64.001159239360632,37.406546990496302,15.431627090455512,94.6,75.77677716427945,39.830211359310830,14.697028035134160,86.0,56.981321799102112,41.669604851846529,15.532841724862040
2021-01-01,85.2,64.676263254546527,38.031959629941127,15.530689287617694,95.1,76.56666567557656,41.490480961923851,15.703837712794352,86.6,57.035248213895592,41.345756496939480,15.986526875088950
2022-01-01,84.4,64.032916254088278,38.496099843993761,15.381740196078431,95.1,76.09146166126266,42.459028587013123,16.191480753670096,86.8,56.877753541897050,41.335367210093118,16.333111849390921
2023-01-01,84.7,63.869011522134628,39.004029341874158,16.466630963170470,95.1,75.51691682766136,42.129994095650474,17.460932065847437,86.9,56.983951432083906,41.508267286470243,16.135927686301137
2024-01-01,85.1,63.416741206241447,40.135143486949175,17.210925216690182,94.8,76.61295913011617,41.668475508284494,18.979391851763868,87.1,56.938115688375902,41.967303841528526,16.275885047896711
