observation_date,HC01ESTVC1612049,HOWNRATEACS012049,DP04ACS012049,2020RATIO012049,HC01ESTVC1612051,HOWNRATEACS012051,DP04ACS012051,2020RATIO012051,HC01ESTVC1612053,HOWNRATEACS012053,DP04ACS012053,2020RATIO012053
2009-01-01,,71.71799341468139,,,,66.76160883825307,,,,84.46789808450636,,
2010-01-01,59.9,71.85604851579956,31.708963282937365,9.330200068989306,62.0,66.85213719112025,36.261366832286491,11.362096774193548,85.6,82.36720877706331,36.469853080086608,10.609578608901677
2011-01-01,63.2,70.77049629832739,32.269597457627121,11.392342342342342,63.5,67.71011886362997,36.353254663113816,11.183675483616266,86.0,80.79167500029413,37.004539015293879,10.698661300201245
2012-01-01,63.1,67.48692344270091,34.205788671929085,11.110183318936558,64.3,66.86654975391751,37.116802483507954,12.525819584315403,85.7,78.41421560014525,36.771339600128051,10.675075681130172
2013-01-01,64.2,65.32974001268231,32.160381326230194,13.567482736974265,64.4,68.98158608224129,35.252468790758343,12.757578829970598,86.5,76.77235753354215,35.907602390707375,11.101765711030948
2014-01-01,65.3,66.17224692135186,32.594542180357394,14.204665084116009,65.7,69.47686623562012,34.840450274444137,12.308178473728894,86.6,75.50969319438784,35.635566411135471,10.986039539023706
2015-01-01,69.3,67.08755869470859,28.940104885454044,14.966096005370931,63.0,69.82973767400587,33.026848105921296,13.856450635978195,87.1,74.99305330431159,33.161216293746406,11.045087670470361
2016-01-01,68.9,66.20549419879590,28.898186889818689,14.758624577226607,62.9,69.18884699017369,30.387377005584607,14.858991897295590,87.0,75.83873792910009,30.883449031786625,11.307573975205864
2017-01-01,72.0,68.51173895742141,25.465416496806636,14.463404932378680,65.1,67.29009687836384,28.596399230903693,14.321384169084128,87.8,75.74802437963544,29.441580756013742,11.077455866204916
2018-01-01,75.8,66.65202284436279,24.645658456034127,15.916854438936458,65.7,67.65784647629029,30.095807330579241,14.644266337854500,87.4,76.04301646897255,28.566399594463299,11.508879160816058
2019-01-01,77.2,66.01587556125722,22.929850545307666,15.795654238898123,66.3,66.07271976035534,30.848241033981001,15.101304019829724,87.9,76.60171667761533,27.394999587424707,11.806967908819011
2020-01-01,76.2,66.57684108916865,23.483732762083282,20.190585672797681,69.1,70.80822403403049,32.937540663630450,16.176989150090417,88.4,78.64395815327187,27.249336548435327,12.092036395845076
2021-01-01,76.2,67.68825876559980,25.835543766578247,22.521588519114193,69.3,69.31057474329910,34.362240731667484,12.786134786046921,89.0,78.94767295068171,26.938845685869968,11.829029647612742
2022-01-01,77.9,67.57444642402646,27.821625887924228,21.687248163071818,69.5,71.09258866001275,32.924830224026223,14.386962005360241,89.4,80.55269922879177,26.948128077534321,11.935099872217364
2023-01-01,78.4,72.37031395447237,25.353743246719837,19.892804409882864,69.5,72.39630737225329,29.408694355379911,13.308684684684684,90.1,82.40329358433041,26.891692820085822,11.867913760304376
2024-01-01,76.9,71.22720428308516,24.627735336009323,22.735552889422120,68.0,75.31450866618313,29.792284866468844,16.175488978578080,90.4,83.00596196442336,27.342411624213771,11.843614978396545
