observation_date,HC01ESTVC1612131,HOWNRATEACS012131,DP04ACS012131,2020RATIO012131,HC01ESTVC1612133,HOWNRATEACS012133,DP04ACS012133,2020RATIO012133
2009-01-01,,72.76750119598150,,,,76.15143699336772,,
2010-01-01,84.3,74.13400361322755,36.386261821801888,15.837006043700605,78.7,79.49901120632829,30.478920339185478,13.215082193355558
2011-01-01,86.2,72.31075316128785,39.325686800481002,14.672634271099744,79.8,77.31162872772191,31.921313058170409,12.645654142145768
2012-01-01,85.7,70.42073868432406,40.633416922076712,15.157670586056849,80.2,75.99204595669465,30.153280196198647,12.869865548291600
2013-01-01,84.5,70.61627011768157,38.712378471414624,15.990885674658212,80.3,77.87192293970746,27.724736515809049,13.059169377032774
2014-01-01,84.8,70.87039162243580,37.477335069040869,15.699674703406046,80.4,75.85009470551097,28.224987303199597,14.558737057394859
2015-01-01,85.2,69.61009573542211,35.050808003939302,15.667973173068548,80.3,76.77107994900747,27.355662713410663,15.087017994858613
2016-01-01,84.9,69.67582473013417,31.335646140503041,16.753239691889444,79.8,75.98275079437131,25.750517598343688,14.776653504442251
2017-01-01,85.9,69.56366004558777,30.745532963647570,16.842432909901571,80.5,77.36767851454057,26.164331692540703,14.493575645329321
2018-01-01,88.5,73.28472406940902,30.638415404040405,16.830265378125478,81.2,76.49056776977096,26.170622193713921,13.213490576435580
2019-01-01,89.1,73.31225058354039,30.490203494969364,15.558127902822436,81.3,77.69438469635257,25.938271604938272,11.815363881401618
2020-01-01,89.3,74.68624679034073,30.918363656092890,14.203873121869783,82.1,77.31371405499978,25.876361913784933,11.145367568095285
2021-01-01,91.2,75.18394369723354,31.373214346306540,14.963962840576096,83.6,79.67383918459797,25.610482430017868,11.590080428954424
2022-01-01,91.9,77.32761148279447,30.316727367325701,15.427152317880797,83.1,78.05929919137466,22.994095171934699,12.069224620303755
2023-01-01,91.4,76.69074867335848,31.198340614098498,17.254502049924749,83.1,80.92038371424782,24.363386097728839,12.470646690108548
2024-01-01,92.1,78.46473743786603,30.886053199137308,18.637138941063000,84.3,80.76032335590997,21.228030130107278,12.649826789838338
