observation_date,HC01ESTVC1612055,HOWNRATEACS012055,DP04ACS012055,2020RATIO012055,HC01ESTVC1612057,HOWNRATEACS012057,DP04ACS012057,2020RATIO012057,HC01ESTVC1612059,HOWNRATEACS012059,DP04ACS012059,2020RATIO012059
2009-01-01,,76.82167248758952,,,,66.278428082001000,,,,76.30746217133651,,
2010-01-01,78.8,77.25346490060802,32.357153818609646,9.986588753712040,85.8,65.956883237776893,43.306168157979350,14.410878661087866,74.1,77.09478956824741,29.899267399267401,10.642274580879022
2011-01-01,79.3,76.65660795664490,33.520871143375679,10.660934874987648,86.0,64.800414117678443,43.503443506325105,14.897849919265743,72.0,76.91545028917653,30.474144545036054,10.450248756218905
2012-01-01,80.4,76.05854140507606,33.496172836280991,11.151515151515152,86.4,63.197230777313003,43.314930044710515,15.313443313443312,75.9,75.00827357970216,30.441494288360605,10.579171868497712
2013-01-01,81.0,75.57525052483531,31.339650298398080,11.440106841997125,86.8,62.021419463689206,41.979638602690358,15.785568835768039,75.5,77.72722228387526,28.746130030959755,11.542725173210162
2014-01-01,81.6,74.38789659954054,30.125127882269613,11.469497607655502,87.1,61.057660607707199,40.181527238803554,16.056405269206966,75.7,79.29991598991879,29.206049149338376,13.062477728946432
2015-01-01,82.6,73.98534677235756,28.480963581379719,12.647052675585284,87.5,60.104375614897833,38.756278077768656,16.094563687543982,75.8,78.47308430199752,29.881101376720903,13.482754264055592
2016-01-01,83.3,73.41888175985335,27.749149747500773,12.744246809365892,87.8,59.506785652030011,37.431824606328682,16.094579692934090,78.3,78.17195797085074,27.115962664135424,13.817241793916075
2017-01-01,84.0,71.30065352834158,25.850770437466792,13.485683038377411,88.2,59.607665955241082,36.150509164969449,16.192934782608695,76.1,77.53853127833182,27.925285581969742,13.723374175306317
2018-01-01,84.7,71.84115523465704,26.680275580505231,13.442029661412182,88.4,59.604336071302576,35.565622402876286,16.151346259518014,77.4,73.52005453925690,28.508101498012842,13.506748327095384
2019-01-01,85.7,70.75819026618365,26.238518295437437,14.239952394030944,88.7,60.235670076166016,35.081196229769475,16.169604357364399,78.7,73.13348095156987,26.387844140213630,13.899242086491306
2020-01-01,85.3,73.14914868140534,23.642102172636523,14.967964989059080,88.9,61.423443554329992,34.995339368327151,16.237587881423497,80.3,72.10285907629843,24.706956918861319,11.487983911513323
2021-01-01,85.9,74.43726992939472,23.987820543317952,13.885446748927976,89.2,62.179749693210162,35.159905700250775,16.428074810540220,80.5,72.50419228619340,21.961262772609423,11.894253938832252
2022-01-01,86.2,77.03831432900088,22.912580554777247,13.997539291951105,89.3,62.982071080657263,35.550476834356324,16.439467849223949,82.7,73.49059253018815,20.979653353428787,11.887058423913045
2023-01-01,86.4,78.84734254962177,23.966361410826003,14.889256198347107,89.6,63.687701163971937,36.555993754907185,16.752273554019645,84.2,74.57722029342591,20.752998330044026,12.015944961554029
2024-01-01,86.6,78.31077443666847,26.058827452811311,15.102325977677433,89.7,64.608839619153756,37.358653355167007,17.075641025641026,87.5,75.71993224167137,23.197060174552131,11.836153497507176
