"scope","model","lambda_rule","fold","group","n_exported","n_recomputed","rmse_exported","rmse_recomputed","mae_exported","mae_recomputed","r2_exported","r2_recomputed","rmse_abs_diff","mae_abs_diff","r2_abs_diff","n_match","max_abs_diff","status"
"overall_raw_target","pooled_lasso","1se",NA,"all",555,555,15.8054158550639,15.8054158550639,9.80500824195748,9.80500824195747,0.579235270402194,0.579235270402194,2.8421709430404e-14,7.105427357601e-15,3.33066907387547e-16,TRUE,2.8421709430404e-14,"PASS"
"overall_raw_target","pooled_lasso","min",NA,"all",555,555,15.2967624581015,15.2967624581015,10.1581957463234,10.1581957463234,0.605881773925377,0.605881773925377,3.5527136788005e-15,1.4210854715202e-14,1.11022302462516e-16,TRUE,1.4210854715202e-14,"PASS"
"overall_raw_target","pooled_lasso_state_interactions","1se",NA,"all",555,555,15.1265539068463,15.1265539068463,9.91126798513561,9.91126798513561,0.614603760280068,0.614603760280068,3.01980662698043e-14,1.77635683940025e-15,4.44089209850063e-16,TRUE,3.01980662698043e-14,"PASS"
"overall_raw_target","pooled_lasso_state_interactions","min",NA,"all",555,555,14.6922042228507,14.6922042228507,10.1412971620357,10.1412971620357,0.636418826533998,0.636418826533997,3.5527136788005e-14,3.73034936274053e-14,7.7715611723761e-16,TRUE,3.73034936274053e-14,"PASS"
"overall_raw_target","separate_lasso_CA","1se",NA,"all",347,347,15.6257218402124,15.6257218402124,11.8771617374655,11.8771617374655,0.582431719825526,0.582431719825525,2.48689957516035e-14,4.61852778244065e-14,6.66133814775094e-16,TRUE,4.61852778244065e-14,"PASS"
"overall_raw_target","separate_lasso_CA","min",NA,"all",347,347,15.8351784432386,15.8351784432386,12.188017405043,12.188017405043,0.571162015422629,0.571162015422629,4.2632564145606e-14,4.2632564145606e-14,1.11022302462516e-16,TRUE,4.2632564145606e-14,"PASS"
"overall_raw_target","separate_lasso_FL","1se",NA,"all",208,208,10.4093278023429,10.4093278023429,7.34697458140855,7.34697458140855,0.373038999925975,0.373038999925975,1.24344978758018e-14,8.88178419700125e-16,0,TRUE,1.24344978758018e-14,"PASS"
"overall_raw_target","separate_lasso_FL","min",NA,"all",208,208,10.4406935389008,10.4406935389008,7.88574148368405,7.88574148368405,0.369254947450166,0.369254947450166,0,3.5527136788005e-15,2.77555756156289e-16,TRUE,3.5527136788005e-15,"PASS"
"overall_raw_target","separate_state_lasso","1se",NA,"all",555,555,13.9019914583725,13.9019914583725,10.1793618663667,10.1793618663667,0.674477127803313,0.674477127803313,2.8421709430404e-14,7.105427357601e-15,3.33066907387547e-16,TRUE,2.8421709430404e-14,"PASS"
"overall_raw_target","separate_state_lasso","min",NA,"all",555,555,14.0581116370246,14.0581116370246,10.5756329155967,10.5756329155967,0.667124792884515,0.667124792884515,1.77635683940025e-15,3.90798504668055e-14,2.22044604925031e-16,TRUE,3.90798504668055e-14,"PASS"
"overall_raw_target","state_time_baseline","none",NA,"all",555,555,21.9314762498759,21.9314762498759,14.983185050086,14.983185050086,0.189854160857864,0.189854160857863,0,4.79616346638068e-14,7.7715611723761e-16,TRUE,4.79616346638068e-14,"PASS"
"by_fold_raw_target","state_time_baseline","none",1,"all",68,68,22.5982355390499,22.5982355390499,14.8583492131783,14.8583492131783,0.0691862923583655,0.0691862923583657,0,1.77635683940025e-15,2.08166817117217e-16,TRUE,1.77635683940025e-15,"PASS"
"by_fold_raw_target","pooled_lasso","min",1,"all",68,68,15.156663662781,15.156663662781,10.2817639212253,10.2817639212253,0.581282670690317,0.581282670690317,4.08562073062058e-14,1.06581410364015e-14,1.11022302462516e-16,TRUE,4.08562073062058e-14,"PASS"
"by_fold_raw_target","pooled_lasso","1se",1,"all",68,68,17.2763693649305,17.2763693649305,10.8568866690574,10.8568866690574,0.455975235506436,0.455975235506437,2.8421709430404e-14,2.66453525910038e-14,6.10622663543836e-16,TRUE,2.8421709430404e-14,"PASS"
"by_fold_raw_target","pooled_lasso_state_interactions","min",1,"all",68,68,14.178180528825,14.178180528825,9.79490889718682,9.79490889718681,0.633600635142762,0.633600635142763,4.44089209850063e-14,1.06581410364015e-14,5.55111512312578e-16,TRUE,4.44089209850063e-14,"PASS"
"by_fold_raw_target","pooled_lasso_state_interactions","1se",1,"all",68,68,15.6111241476508,15.6111241476508,10.3736547155756,10.3736547155756,0.555796410781539,0.555796410781539,1.95399252334028e-14,2.1316282072803e-14,2.22044604925031e-16,TRUE,2.1316282072803e-14,"PASS"
"by_fold_raw_target","separate_lasso_CA","min",1,"California",42,42,14.8882545482631,14.8882545482631,10.995963534174,10.995963534174,0.650766303934479,0.650766303934479,3.5527136788005e-14,4.44089209850063e-14,1.11022302462516e-16,TRUE,4.44089209850063e-14,"PASS"
"by_fold_raw_target","separate_lasso_CA","1se",1,"California",42,42,16.1320648581834,16.1320648581834,11.2610275673912,11.2610275673912,0.589976745736819,0.589976745736819,4.2632564145606e-14,1.24344978758018e-14,1.11022302462516e-16,TRUE,4.2632564145606e-14,"PASS"
"by_fold_raw_target","separate_lasso_FL","min",1,"Florida",26,26,11.1500178690624,11.1500178690624,8.45903739513518,8.45903739513518,0.473165096105659,0.473165096105659,4.2632564145606e-14,3.5527136788005e-15,1.66533453693773e-16,TRUE,4.2632564145606e-14,"PASS"
"by_fold_raw_target","separate_lasso_FL","1se",1,"Florida",26,26,11.7995176727897,11.7995176727897,8.35705224910869,8.35705224910869,0.410000119715167,0.410000119715167,3.73034936274053e-14,1.77635683940025e-15,3.88578058618805e-16,TRUE,3.73034936274053e-14,"PASS"
"by_fold_raw_target","separate_state_lasso","min",1,"all",68,68,13.5809774767511,13.5809774767511,10.025962363365,10.025962363365,0.663816986086832,0.663816986086832,4.61852778244065e-14,1.24344978758018e-14,1.11022302462516e-16,TRUE,4.61852778244065e-14,"PASS"
"by_fold_raw_target","separate_state_lasso","1se",1,"all",68,68,14.6278198622849,14.6278198622849,10.150684063342,10.150684063342,0.609992538951419,0.609992538951419,1.95399252334028e-14,1.4210854715202e-14,3.33066907387547e-16,TRUE,1.95399252334028e-14,"PASS"
"by_fold_raw_target","state_time_baseline","none",2,"all",69,69,24.162499934654,24.162499934654,15.6709484965641,15.6709484965641,0.0560796524537296,0.0560796524537288,3.19744231092045e-14,1.59872115546023e-14,7.91033905045424e-16,TRUE,3.19744231092045e-14,"PASS"
"by_fold_raw_target","pooled_lasso","min",2,"all",69,69,15.9886544120104,15.9886544120104,10.4526361077836,10.4526361077836,0.586690443265286,0.586690443265286,3.19744231092045e-14,1.06581410364015e-14,3.33066907387547e-16,TRUE,3.19744231092045e-14,"PASS"
"by_fold_raw_target","pooled_lasso","1se",2,"all",69,69,17.6916201315099,17.6916201315099,10.5716502527753,10.5716502527753,0.493957691982407,0.493957691982407,2.48689957516035e-14,2.1316282072803e-14,1.11022302462516e-16,TRUE,2.48689957516035e-14,"PASS"
"by_fold_raw_target","pooled_lasso_state_interactions","min",2,"all",69,69,15.9593562822518,15.9593562822518,10.1379131798978,10.1379131798978,0.588203779168223,0.588203779168223,2.8421709430404e-14,7.105427357601e-15,4.44089209850063e-16,TRUE,2.8421709430404e-14,"PASS"
"by_fold_raw_target","pooled_lasso_state_interactions","1se",2,"all",69,69,16.1603141278102,16.1603141278102,10.3354166566483,10.3354166566483,0.577767933146476,0.577767933146476,3.90798504668055e-14,1.77635683940025e-15,3.33066907387547e-16,TRUE,3.90798504668055e-14,"PASS"
"by_fold_raw_target","separate_lasso_CA","min",2,"California",43,43,16.8268972707581,16.8268972707581,11.6840882499884,11.6840882499884,0.479097796986274,0.479097796986274,2.48689957516035e-14,3.19744231092045e-14,2.77555756156289e-16,TRUE,3.19744231092045e-14,"PASS"
