"feature_set","variable","n_folds","mean_permutation_importance","sd_permutation_importance","positive_fold_share"
"factors_plus_prior","coc_income_inequality_ratio",7,2.21537709583433,0.797758511696659,1
"factors_plus_prior","coc_relative_home_price_index_2000_base",7,2.20591936886324,1.33454786880811,1
"factors_plus_prior","control_state_florida",7,2.04070255697042,0.73549372928276,1
"factors_plus_prior","control_time_index",7,1.99436245414666,0.777162392782466,1
"factors_plus_prior","coc_real_gdp_quantity_index",7,1.86738843135376,1.06098278040525,1
"factors_plus_prior","coc_housing_supply_growth_rate_pct",7,1.8491764876891,1.24558910711998,1
"factors_plus_prior","coc_contains_split_county_flag",7,1.59857874823378,0.886178512393017,1
"factors_plus_prior","state_medicaid_expansion",7,1.58810620644713,0.579159149597285,1
"factors_plus_prior","coc_population_growth_rate_pct",7,1.36590890703939,1.60173597158331,0.714285714285714
"factors_plus_prior","state_ssi_state_supplement",7,1.31827789581744,0.581906211082161,1
"factors_plus_prior","coc_permits_per_1000_housing_units",7,1.17433475394717,1.21369622157235,0.857142857142857
"factors_plus_prior","coc_unemployment_rate_pct",7,1.10475421507249,1.46350225076879,0.714285714285714
"factors_plus_prior","coc_permits_value_per_1000_housing_units_2025_usd",7,1.05446005735872,1.37050380252724,0.714285714285714
"factors_plus_prior","coc_annual_hpi_change_pct",7,0.895814006519153,1.02575815769649,0.714285714285714
"factors_plus_prior","state_anticamping_strictness",7,0.403958684158558,0.71213487345257,0.285714285714286
"prior_only","prior_homeless_rate_per_10k",7,93.938286448417,16.1393638177393,1
