"feature_set","model","n","rmse","mae","r2"
"factors","random_forest",555,11.2681353434474,8.02959334092641,0.786139004753116
"factors","decision_tree",555,17.7895375431587,12.6385888602599,0.466963693784997
"factors_plus_prior","random_forest",485,9.1085002515219,5.47877471828716,0.859640971096762
"factors_plus_prior","decision_tree",485,9.948078909172,6.01959898295661,0.83257317234137
"prior_only","decision_tree",485,9.38233908686872,5.48188800522154,0.851074572670718
"prior_only","random_forest",485,11.0279798858459,6.46537284357282,0.794250619553472
