"node","split_variable","n_training_rows","deviance"
"1","coc_hic_temporary_beds_per_10k",887,591550.234196479
"2","coc_log_estimated_population",642,187532.558617744
"3","coc_hic_psh_beds_per_10k",245,208808.964869558
