"feature_set","fold","validation_year","variable","permutation_importance","selected_mtry","oob_mse"
"factors",2,2018,"coc_annual_hpi_change_pct",1.99453762214289,13,207.212286331781
"factors",2,2018,"coc_real_gdp_per_capita_2017_usd",10.6146235718388,13,207.212286331781
"factors",2,2018,"coc_real_gdp_quantity_index",3.52893597502559,13,207.212286331781
"factors",2,2018,"coc_relative_home_price_index_2000_base",3.09381065442085,13,207.212286331781
"factors",2,2018,"state_real_minimum_wage_2025_usd",2.72040627503665,13,207.212286331781
"factors",2,2018,"state_medicaid_expansion",1.73688869159788,13,207.212286331781
"factors",2,2018,"coc_hic_temporary_beds_per_10k",22.5092388626233,13,207.212286331781
"factors",2,2018,"coc_hic_psh_beds_per_10k",16.4877293359955,13,207.212286331781
"factors",2,2018,"state_anticamping_strictness",0,13,207.212286331781
"factors",2,2018,"state_tanf_max_benefit_3person",2.80231020593793,13,207.212286331781
"factors",2,2018,"state_ssi_state_supplement",1.76392216575119,13,207.212286331781
"factors",2,2018,"state_labor_force_participation_pct",4.58769770099269,13,207.212286331781
"factors",2,2018,"state_real_median_rent_2025_usd",2.42680596759358,13,207.212286331781
"factors",2,2018,"state_rental_vacancy_rate",2.54484110535497,13,207.212286331781
"factors",3,2019,"control_state_florida",2.60046529202166,20,194.573319604534
"factors",3,2019,"control_time_index",1.91679226334681,20,194.573319604534
"factors",3,2019,"coc_log_estimated_population",17.379182606632,20,194.573319604534
"factors",3,2019,"coc_population_density_per_sq_mile",9.57078671276556,20,194.573319604534
"factors",3,2019,"coc_contributing_counties",3.6194174567291,20,194.573319604534
"factors",3,2019,"coc_contains_split_county_flag",3.98338092000815,20,194.573319604534
"factors",3,2019,"coc_housing_units_per_1000_residents",7.45857400025658,20,194.573319604534
"factors",3,2019,"coc_permits_per_1000_housing_units",3.45155023738419,20,194.573319604534
"factors",3,2019,"coc_multifamily_permit_share_pct",4.07105852850299,20,194.573319604534
"factors",3,2019,"coc_permits_value_per_1000_housing_units_2025_usd",3.58821988112776,20,194.573319604534
"factors",3,2019,"coc_birth_rate_per_1000",7.62796409479783,20,194.573319604534
"factors",3,2019,"coc_death_rate_per_1000",8.58469303667036,20,194.573319604534
"factors",3,2019,"coc_international_migration_rate_per_1000",8.42864060499031,20,194.573319604534
"factors",3,2019,"coc_domestic_migration_rate_per_1000",2.59215733568796,20,194.573319604534
"factors",3,2019,"coc_group_quarters_per_1000_residents",10.4914167831008,20,194.573319604534
"factors",3,2019,"coc_population_growth_rate_pct",4.60558594785725,20,194.573319604534
"factors",3,2019,"coc_housing_supply_growth_rate_pct",1.90051234134783,20,194.573319604534
"factors",3,2019,"coc_poverty_all_pct",5.30832103841807,20,194.573319604534
"factors",3,2019,"coc_poverty_child_pct",6.4420979530872,20,194.573319604534
"factors",3,2019,"coc_real_median_household_income_2025_usd",7.91420184567087,20,194.573319604534
"factors",3,2019,"coc_real_per_capita_personal_income_2025_usd",7.47164284445267,20,194.573319604534
"factors",3,2019,"coc_unemployment_rate_pct",4.32607608724428,20,194.573319604534
"factors",3,2019,"coc_high_school_graduate_pct",6.86051389136504,20,194.573319604534
"factors",3,2019,"coc_homeownership_rate_pct",10.322783650152,20,194.573319604534
"factors",3,2019,"coc_housing_cost_burdened_households_pct",8.17996014607335,20,194.573319604534
"factors",3,2019,"coc_income_inequality_ratio",6.11290541734535,20,194.573319604534
"factors",3,2019,"coc_annual_hpi_change_pct",4.89242837979794,20,194.573319604534
"factors",3,2019,"coc_real_gdp_per_capita_2017_usd",12.1481080097264,20,194.573319604534
"factors",3,2019,"coc_real_gdp_quantity_index",4.14997756539479,20,194.573319604534
"factors",3,2019,"coc_relative_home_price_index_2000_base",3.8716793307987,20,194.573319604534
"factors",3,2019,"state_real_minimum_wage_2025_usd",4.19341234463724,20,194.573319604534
"factors",3,2019,"state_medicaid_expansion",2.33316258915258,20,194.573319604534
"factors",3,2019,"coc_hic_temporary_beds_per_10k",23.6451289297747,20,194.573319604534
"factors",3,2019,"coc_hic_psh_beds_per_10k",18.2517402484822,20,194.573319604534
"factors",3,2019,"state_anticamping_strictness",0,20,194.573319604534
"factors",3,2019,"state_tanf_max_benefit_3person",3.47027354929216,20,194.573319604534
"factors",3,2019,"state_ssi_state_supplement",2.18889789284146,20,194.573319604534
"factors",3,2019,"state_labor_force_participation_pct",5.26117794357676,20,194.573319604534
"factors",3,2019,"state_real_median_rent_2025_usd",4.00352504921672,20,194.573319604534
"factors",3,2019,"state_rental_vacancy_rate",4.875021978278,20,194.573319604534
"factors",4,2020,"control_state_florida",2.9821458259563,13,193.238673372189
"factors",4,2020,"control_time_index",3.54381767086377,13,193.238673372189
"factors",4,2020,"coc_log_estimated_population",14.9877488999232,13,193.238673372189
"factors",4,2020,"coc_population_density_per_sq_mile",9.56646600002272,13,193.238673372189
"factors",4,2020,"coc_contributing_counties",5.15344781620424,13,193.238673372189
"factors",4,2020,"coc_contains_split_county_flag",3.14493191666019,13,193.238673372189
"factors",4,2020,"coc_housing_units_per_1000_residents",6.03106557618974,13,193.238673372189
"factors",4,2020,"coc_permits_per_1000_housing_units",4.57097219662329,13,193.238673372189
"factors",4,2020,"coc_multifamily_permit_share_pct",6.6130856159624,13,193.238673372189
"factors",4,2020,"coc_permits_value_per_1000_housing_units_2025_usd",5.12390093029801,13,193.238673372189
"factors",4,2020,"coc_birth_rate_per_1000",6.94491870413908,13,193.238673372189
"factors",4,2020,"coc_death_rate_per_1000",7.22270564785553,13,193.238673372189
"factors",4,2020,"coc_international_migration_rate_per_1000",9.39680605530712,13,193.238673372189
"factors",4,2020,"coc_domestic_migration_rate_per_1000",1.25362205245831,13,193.238673372189
"factors",4,2020,"coc_group_quarters_per_1000_residents",8.59573659974997,13,193.238673372189
"factors",4,2020,"coc_population_growth_rate_pct",6.3698946222648,13,193.238673372189
"factors",4,2020,"coc_housing_supply_growth_rate_pct",4.42421080034905,13,193.238673372189
"factors",4,2020,"coc_poverty_all_pct",4.61462136246625,13,193.238673372189
"factors",4,2020,"coc_poverty_child_pct",6.32951677492963,13,193.238673372189
"factors",4,2020,"coc_real_median_household_income_2025_usd",7.57993169809169,13,193.238673372189
